"","interval","meanP","meanPET","meanSF","siteID","group","PET.P","AET.P"
"99",1990,2.53698035582077,2.14155218683401,0.500276156648034,"06910800","Reference",0.84413431973192,0.802806452363647
"100",1995,2.74874642625094,2.14289007128385,0.824040056397219,"06910800","Reference",0.779588124542493,0.700212413728851
"101",2000,2.31312318208047,2.2304285748705,0.343386656252938,"06910800","Reference",0.964249803966083,0.85154847830279
"102",2005,2.77852969971143,2.18214535488605,0.667764828813041,"06910800","Reference",0.785359737242572,0.75966971708728
"103",2010,2.16005544684759,2.24284827129262,0.285843959357673,"06910800","Reference",1.03832902741726,0.867668230565638
"104",2015,2.73368115233707,2.26021151339926,0.619200930960063,"06910800","Reference",0.82680144005345,0.773491897388729
"105",2020,2.15087542861758,2.23205991063508,0.576422719038221,"06910800","Reference",1.03774485539113,0.732005530692821
"106",1990,2.53046809931772,2.14445261902728,0.493078230363805,"06911900","Reference",0.847452935528207,0.805143471084756
"107",1995,2.73644539424987,2.14548869237003,0.766921482022953,"06911900","Reference",0.784042209239174,0.71973806470449
"108",2000,2.34207749109636,2.22870336158842,0.374705192009508,"06911900","Reference",0.951592494296646,0.840011616424313
"109",2005,2.77316601584092,2.18119379373788,0.69531397517029,"06911900","Reference",0.786535599123327,0.749270699554766
"110",2010,2.18761589712904,2.23848150277623,0.283633047412926,"06911900","Reference",1.0232516163893,0.870346047592195
"111",2015,2.75341526826615,2.27652204553668,0.742045843454188,"06911900","Reference",0.826799383214807,0.730499844318267
"112",2020,2.17979209741981,2.26758095957771,0.572096586158303,"06911900","Reference",1.04027396110933,0.737545343505242
"113",1990,3.16758653366133,2.21863120290545,1.05014777425826,"06917000","Reference",0.700416919736363,0.668470691140229
"114",1995,3.09909881137212,2.22417808632585,1.01356622903225,"06917000","Reference",0.717685437509848,0.67294807596551
"115",2000,2.60088806015102,2.28546074514571,0.447874095110378,"06917000","Reference",0.878723225409787,0.827799549710581
"116",2005,3.0499241136621,2.26258451336641,1.01302453682969,"06917000","Reference",0.741849445771843,0.667852543513506
"117",2010,2.69479832966346,2.34533611503543,0.716053421958978,"06917000","Reference",0.87031971528954,0.734283113479441
"118",2015,3.14112444872907,2.32975276253682,1.0501179601913,"06917000","Reference",0.741693874459341,0.665687247566334
"119",2020,2.44668446257844,2.2673354250857,0.822885987921264,"06917000","Reference",0.926697111852446,0.663673023429403
"183",1990,1.19355751735278,1.74105613434854,0.00505367533103179,"07137500","Impacted",1.45871154848915,0.995765871977213
