"","PET.P","AET.P"
"1",0,0
"2",0.01,0.15603
"3",0.02,0.20613
"4",0.03,0.2425
"5",0.04,0.27205
"6",0.05,0.29736
"7",0.06,0.31972
"8",0.07,0.33988
"9",0.08,0.35832
"10",0.09,0.37538
"11",0.1,0.39128
"12",0.11,0.4062
"13",0.12,0.42029
"14",0.13,0.43365
"15",0.14,0.44636
"16",0.15,0.4585
"17",0.16,0.47012
"18",0.17,0.48128
"19",0.18,0.49202
"20",0.19,0.50237
"21",0.2,0.51236
"22",0.21,0.52203
"23",0.22,0.53138
"24",0.23,0.54046
"25",0.24,0.54926
"26",0.25,0.55782
"27",0.26,0.56613
"28",0.27,0.57422
"29",0.28,0.5821
"30",0.29,0.58978
"31",0.3,0.59726
"32",0.31,0.60455
"33",0.32,0.61167
"34",0.33,0.61861
"35",0.34,0.62539
"36",0.35,0.63202
"37",0.36,0.63848
"38",0.37,0.6448
"39",0.38,0.65098
"40",0.39,0.65701
"41",0.4,0.66291
"42",0.41,0.66868
"43",0.42,0.67432
"44",0.43,0.67983
"45",0.44,0.68523
"46",0.45,0.69051
"47",0.46,0.69567
"48",0.47,0.70072
"49",0.48,0.70566
"50",0.49,0.7105
"51",0.5,0.71523
"52",0.51,0.71987
"53",0.52,0.7244
"54",0.53,0.72884
"55",0.54,0.73319
"56",0.55,0.73745
"57",0.56,0.74162
"58",0.57,0.7457
"59",0.58,0.7497
"60",0.59,0.75361
"61",0.6,0.75745
"62",0.61,0.7612
"63",0.62,0.76489
"64",0.63,0.76849
"65",0.64,0.77203
"66",0.65,0.77549
"67",0.66,0.77888
"68",0.67,0.78221
"69",0.68,0.78547
"70",0.69,0.78867
"71",0.7,0.79181
"72",0.71,0.79488
"73",0.72,0.79789
"74",0.73,0.80085
"75",0.74,0.80375
"76",0.75,0.80659
"77",0.76,0.80938
"78",0.77,0.81212
"79",0.78,0.8148
"80",0.79,0.81744
"81",0.8,0.82002
"82",0.81,0.82256
"83",0.82,0.82505
"84",0.83,0.8275
"85",0.84,0.8299
"86",0.85,0.83225
"87",0.86,0.83457
"88",0.87,0.83684
"89",0.88,0.83907
"90",0.89,0.84126
"91",0.9,0.84341
"92",0.91,0.84553
"93",0.92,0.8476
"94",0.93,0.84965
"95",0.94,0.85165
"96",0.95,0.85362
"97",0.96,0.85556
"98",0.97,0.85746
"99",0.98,0.85933
"100",0.99,0.86117
"101",1,0.86298
"102",1.01,0.86476
"103",1.02,0.86651
"104",1.03,0.86822
"105",1.04,0.86991
"106",1.05,0.87158
"107",1.06,0.87321
"108",1.07,0.87482
"109",1.08,0.8764
"110",1.09,0.87796
"111",1.1,0.87949
"112",1.11,0.881
"113",1.12,0.88248
"114",1.13,0.88394
"115",1.14,0.88538
"116",1.15,0.88679
"117",1.16,0.88818
"118",1.17,0.88955
"119",1.18,0.8909
"120",1.19,0.89223
"121",1.2,0.89354
"122",1.21,0.89483
"123",1.22,0.89609
"124",1.23,0.89734
"125",1.24,0.89857
"126",1.25,0.89978
"127",1.26,0.90098
"128",1.27,0.90215
"129",1.28,0.90331
"130",1.29,0.90445
"131",1.3,0.90557
"132",1.31,0.90668
"133",1.32,0.90777
"134",1.33,0.90885
"135",1.34,0.90991
"136",1.35,0.91095
"137",1.36,0.91198
"138",1.37,0.913
"139",1.38,0.914
"140",1.39,0.91498
"141",1.4,0.91595
"142",1.41,0.91691
"143",1.42,0.91786
"144",1.43,0.91879
"145",1.44,0.91971
"146",1.45,0.92061
"147",1.46,0.92151
"148",1.47,0.92239
"149",1.48,0.92326
"150",1.49,0.92411
"151",1.5,0.92496
"152",1.51,0.92579
"153",1.52,0.92662
"154",1.53,0.92743
"155",1.54,0.92823
"156",1.55,0.92902
"157",1.56,0.9298
"158",1.57,0.93057
"159",1.58,0.93132
"160",1.59,0.93207
"161",1.6,0.93281
"162",1.61,0.93354
"163",1.62,0.93426
"164",1.63,0.93497
"165",1.64,0.93567
"166",1.65,0.93636
"167",1.66,0.93705
"168",1.67,0.93772
"169",1.68,0.93838
"170",1.69,0.93904
"171",1.7,0.93969
"172",1.71,0.94033
"173",1.72,0.94096
"174",1.73,0.94159
"175",1.74,0.9422
"176",1.75,0.94281
"177",1.76,0.94341
"178",1.77,0.944
"179",1.78,0.94459
"180",1.79,0.94517
"181",1.8,0.94574
"182",1.81,0.9463
"183",1.82,0.94686
"184",1.83,0.94741
"185",1.84,0.94796
"186",1.85,0.94849
"187",1.86,0.94902
"188",1.87,0.94955
"189",1.88,0.95006
"190",1.89,0.95058
"191",1.9,0.95108
"192",1.91,0.95158
"193",1.92,0.95207
"194",1.93,0.95256
"195",1.94,0.95304
"196",1.95,0.95352
"197",1.96,0.95399
"198",1.97,0.95445
"199",1.98,0.95491
"200",1.99,0.95536
"201",2,0.95581
"202",2.01,0.95625
"203",2.02,0.95669
"204",2.03,0.95712
"205",2.04,0.95755
"206",2.05,0.95797
"207",2.06,0.95839
"208",2.07,0.9588
"209",2.08,0.95921
"210",2.09,0.95961
"211",2.1,0.96001
"212",2.11,0.9604
"213",2.12,0.96079
"214",2.13,0.96118
"215",2.14,0.96156
"216",2.15,0.96193
"217",2.16,0.9623
"218",2.17,0.96267
"219",2.18,0.96303
"220",2.19,0.96339
"221",2.2,0.96375
"222",2.21,0.9641
"223",2.22,0.96445
"224",2.23,0.96479
"225",2.24,0.96513
"226",2.25,0.96546
"227",2.26,0.9658
"228",2.27,0.96612
"229",2.28,0.96645
"230",2.29,0.96677
"231",2.3,0.96709
"232",2.31,0.9674
"233",2.32,0.96771
"234",2.33,0.96802
"235",2.34,0.96832
"236",2.35,0.96862
"237",2.36,0.96892
"238",2.37,0.96921
"239",2.38,0.9695
"240",2.39,0.96979
"241",2.4,0.97007
"242",2.41,0.97035
"243",2.42,0.97063
"244",2.43,0.9709
"245",2.44,0.97118
"246",2.45,0.97144
"247",2.46,0.97171
"248",2.47,0.97197
"249",2.48,0.97223
"250",2.49,0.97249
"251",2.5,0.97275
"252",2.51,0.973
"253",2.52,0.97325
"254",2.53,0.97349
"255",2.54,0.97374
"256",2.55,0.97398
"257",2.56,0.97422
"258",2.57,0.97445
"259",2.58,0.97469
"260",2.59,0.97492
"261",2.6,0.97515
"262",2.61,0.97537
"263",2.62,0.9756
"264",2.63,0.97582
"265",2.64,0.97604
"266",2.65,0.97625
"267",2.66,0.97647
"268",2.67,0.97668
"269",2.68,0.97689
"270",2.69,0.9771
"271",2.7,0.9773
"272",2.71,0.97751
"273",2.72,0.97771
"274",2.73,0.97791
"275",2.74,0.97811
"276",2.75,0.9783
"277",2.76,0.97849
"278",2.77,0.97868
"279",2.78,0.97887
"280",2.79,0.97906
"281",2.8,0.97925
"282",2.81,0.97943
"283",2.82,0.97961
"284",2.83,0.97979
"285",2.84,0.97997
"286",2.85,0.98015
"287",2.86,0.98032
"288",2.87,0.98049
"289",2.88,0.98066
"290",2.89,0.98083
"291",2.9,0.981
"292",2.91,0.98116
"293",2.92,0.98133
"294",2.93,0.98149
"295",2.94,0.98165
"296",2.95,0.98181
"297",2.96,0.98197
"298",2.97,0.98212
"299",2.98,0.98228
"300",2.99,0.98243
"301",3,0.98258
"302",3.01,0.98273
"303",3.02,0.98288
"304",3.03,0.98302
"305",3.04,0.98317
"306",3.05,0.98331
"307",3.06,0.98346
"308",3.07,0.9836
"309",3.08,0.98374
"310",3.09,0.98387
"311",3.1,0.98401
"312",3.11,0.98414
"313",3.12,0.98428
"314",3.13,0.98441
