"","site_no","station_nm","dec_lat_va","dec_long_va","huc_cd","startDate","endDate","yearsAvail"
"1","04100222","NB ELKHART RIVER AT COSPERVILLE, IN",41.48171619,-85.475537,"04050001",1971-10-01,2021-12-17,50
"3","04100500","ELKHART RIVER AT GOSHEN, IN",41.5933827,-85.8486057,"04050001",1931-10-01,2021-12-17,90
"31","04101000","ST. JOSEPH RIVER AT ELKHART, IN",41.6917158,-85.9750004,"04050001",1947-10-01,2021-12-17,74
"4","04101500","ST. JOSEPH RIVER AT NILES, MI",41.8292138,-86.2597325,"04050001",1930-10-01,2021-12-18,91
"5","04099510","PIGEON CREEK NR ANGOLA, IN",41.6344947,-85.109691,"04050001",1945-10-01,2021-12-17,76
"6","04099750","PIGEON RIVER NEAR SCOTT, IN",41.7489396,-85.5763747,"04050001",1968-06-01,2021-12-17,53
"7","04097540","PRAIRIE RIVER NEAR NOTTAWA, MI",41.88838304,-85.409428,"04050001",1962-10-01,2021-12-18,59
"8","04099000","ST. JOSEPH RIVER AT MOTTVILLE, MI",41.80088279,-85.7561047,"04050001",1923-12-01,2021-12-18,98
"9","04097500","ST. JOSEPH RIVER AT THREE RIVERS, MI",41.94032575,-85.6327707,"04050001",1953-05-09,2021-12-18,68
"10","04096405","ST. JOSEPH RIVER AT BURLINGTON, MI",42.1031014,-85.0799764,"04050001",1962-10-01,2021-12-18,59
"11","04096515","SOUTH BRANCH HOG CREEK NEAR ALLEN, MI",41.94865859,-84.8277403,"04050001",1969-10-01,2021-12-18,52
"12","04096900","NOTTAWA CREEK NEAR ATHENS, MI",42.05525,-85.30838889,"04050001",1966-10-01,1997-09-29,31
"13","04097170","PORTAGE RIVER AT W AVENUE NEAR VICKSBURG, MI",42.1147685,-85.4855509,"04050001",1946-03-01,1979-12-31,33
"14","04100252","FORKER CREEK NEAR BURR OAK, IN",41.33282574,-85.4235905,"04050001",1969-06-01,2003-09-30,34
"15","04101800","DOWAGIAC RIVER AT SUMNERVILLE, MI",41.9133797,-86.2130676,"04050001",1960-10-01,2021-12-18,61
"16","04102000","ST. JOSEPH RIVER AT BERRIEN SPRINGS, MI",41.94893417,-86.333905,"04050001",1901-04-01,1956-09-29,55
"17","04102500","PAW PAW RIVER AT RIVERSIDE, MI",42.18642675,-86.3689124,"04050001",1951-10-01,2021-12-18,70
"18","04102700","SOUTH BRANCH BLACK RIVER NEAR BANGOR, MI",42.35420009,-86.1875265,"04050002",1966-06-01,2021-12-18,55
"2","04108800","MACATAWA RIVER AT STATE ROAD NEAR ZEELAND, MI",42.77919167,-86.0183722,"04050002",1960-10-01,2021-12-18,61
"32","04108801","MACATAWA RIVER NEAR ZEELAND, MI",42.7836111,-86.03638889,"04050002",1960-10-01,2007-09-30,47
"19","04103500","KALAMAZOO RIVER AT MARSHALL, MI",42.2647643,-84.96387,"04050003",1948-10-01,2021-12-18,73
"21","04105000","BATTLE CREEK AT BATTLE CREEK, MI",42.33142969,-85.1536025,"04050003",1930-10-30,2021-12-18,91
"33","04105500","KALAMAZOO RIVER NEAR BATTLE CREEK, MI",42.32392989,-85.1974929,"04050003",1937-07-27,2021-12-18,84
"41","04105700","AUGUSTA CREEK NEAR AUGUSTA, MI",42.3533734,-85.3538894,"04050003",1964-10-01,2021-12-18,57
"51","04106000","KALAMAZOO RIVER AT COMSTOCK, MI",42.28559716,-85.513893,"04050003",1931-04-24,2021-12-18,90
"61","04106500","PORTAGE CREEK AT KALAMAZOO, MI",42.2742075,-85.5763942,"04050003",1947-10-01,2021-12-18,74
"71","04106400","WEST FORK PORTAGE CREEK AT KALAMAZOO, MI",42.2444854,-85.6144495,"04050003",1959-09-10,2021-12-18,62
"81","04106320","WEST FORK PORTAGE CREEK NEAR OSHTEMO, MI",42.23531839,-85.6483389,"04050003",1972-05-01,2021-12-18,49
"91","04108600","RABBIT RIVER NEAR HOPKINS, MI",42.6422537,-85.7219681,"04050003",1965-10-01,2021-12-18,56
"101","04106300","PORTAGE CREEK NEAR KALAMAZOO, MI",42.2461111,-85.575,"04050003",1964-10-01,2008-12-31,44
"111","04108500","KALAMAZOO RIVER NEAR FENNVILLE, MI",42.59364079,-85.9841986,"04050003",1929-04-01,1993-09-29,64
"110","04109000","GRAND RIVER AT JACKSON, MI",42.28364676,-84.4088483,"04050004",1935-04-01,2021-12-18,86
"22","04111000","GRAND RIVER NEAR EATON RAPIDS, MI",42.5347591,-84.62303529,"04050004",1950-10-01,2021-12-18,71
"34","04112850","SYCAMORE CREEK AT HOLT ROAD NEAR HOLT, MI",42.6403134,-84.4827533,"04050004",1975-04-01,2021-12-18,46
"42","04111379","RED CEDAR RIVER NEAR WILLIAMSTON, MI",42.6830899,-84.2191329,"04050004",1975-07-10,2021-12-18,46
"52","04112000","SLOAN CREEK NEAR WILLIAMSTON, MI",42.67586828,-84.3638605,"04050004",1954-06-01,2021-12-18,67
"62","04112500","RED CEDAR RIVER AT EAST LANSING, MI",42.7272571,-84.4780317,"04050004",1902-08-31,2021-12-18,119
"72","04113000","GRAND RIVER AT LANSING, MI",42.75059039,-84.555257,"04050004",1901-03-01,2021-12-18,120
"82","04114498","LOOKING GLASS RIVER NEAR EAGLE, MI",42.82809018,-84.7594339,"04050004",1944-08-01,2021-12-18,77
"92","04114000","GRAND RIVER AT PORTLAND, MI",42.85642289,-84.9122182,"04050004",1952-08-20,2021-12-18,69
"102","04111500","DEER CREEK NEAR DANSVILLE, MI",42.60920199,-84.3191359,"04050004",1954-05-01,2011-09-30,57
"113","04114500","LOOKING GLASS RIVER AT HINMAN RD NEAR EAGLE, MI",42.829479,-84.7786013,"04050004",1944-08-01,1996-09-30,52
"112","04115000","MAPLE RIVER AT MAPLE RAPIDS, MI",43.10975485,-84.6930521,"04050005",1944-08-01,2021-12-18,77
"23","04115265","FISH CREEK NEAR CRYSTAL, MI",43.2497545,-84.9811245,"04050005",1987-10-01,2021-12-18,34
"114","04116000","GRAND RIVER AT IONIA, MI",42.971977,-85.0691725,"04050006",1931-03-19,2021-12-18,90
"24","04116500","FLAT RIVER AT SMYRNA, MI",43.05280928,-85.2647392,"04050006",1950-10-01,1986-09-29,36
"35","04118500","ROGUE RIVER NEAR ROCKFORD, MI",43.0822491,-85.5908648,"04050006",1952-02-01,2021-12-18,69
"43","04119000","GRAND RIVER AT GRAND RAPIDS, MI",42.963082,-85.6772533,"04050006",1901-03-01,2021-12-18,120
"115","04117500","THORNAPPLE RIVER NEAR HASTINGS, MI",42.6158688,-85.2363933,"04050007",1944-10-01,2021-12-18,77
"25","04118000","THORNAPPLE RIVER NEAR CALEDONIA, MI",42.8111429,-85.4833523,"04050007",1951-10-01,1994-09-30,43
"36","04117000","QUAKER BROOK NEAR NASHVILLE, MI",42.5658695,-85.0936085,"04050007",1954-08-01,2015-07-31,61
