"","Year","MeanDischarge","Q10","Q50","Q90","MAM7","MeanBaseflow"
"1",1962,2775.14130434783,537.6,1595,6007,226.428571428571,NA
"2",1963,2016.35342465753,248.4,1140,4780,185.857142857143,1327.14903289947
"3",1964,2155.93989071038,149,1600,3250,136.714285714286,1198.06293247361
"4",1965,1721.61369863014,189,850,4460,169.714285714286,1295.49609389138
"5",1966,1712.82739726027,170,1130,3994,148,994.089520891269
"6",1967,1561.12876712329,236,898,3266,191.428571428571,1001.45003069721
"7",1968,1494.67213114754,190.5,1145,2570,148,822.841313624628
"8",1969,2274.10684931507,220.6,1520,5280,186.285714285714,1468.87192521093
"9",1970,2607.83287671233,154.4,1430,4506,115,1111.48801271788
"10",1971,2966.28493150685,299.6,2030,5158,226.857142857143,1646.95504743693
"11",1972,2437.42349726776,205,988.5,4355,184.142857142857,1032.14518579042
"12",1973,2181.51232876712,171,1570,5752.00000000001,134.142857142857,1354.08691742643
"13",1974,2719.93424657534,195.6,1700,4976,168.714285714286,1777.32328984562
"14",1975,2363.78904109589,249.8,1630,5240,175.428571428571,1590.60010814941
"15",1976,1062.30601092896,185,691.5,2220,173.428571428571,837.478910297353
"16",1977,843.356164383562,98.4,360,1684,80.7142857142857,451.120279221388
"17",1978,1545.18630136986,207.6,1190,3100,177.285714285714,1273.40091462991
"18",1979,1342.94794520548,191,1080,3066,154.285714285714,967.255348223034
"19",1980,1828.6393442623,201,1465,3465,151,1234.63540324937
"20",1981,1778.14794520548,141.8,1000,4214,120.714285714286,895.758515664534
"21",1982,2766.43835616438,242,2230,5474,213.142857142857,1757.55563416636
"22",1983,3559.67397260274,377.6,2850,7474,285.428571428571,2302.40401879684
"23",1984,2132.51092896175,256.5,1905,4410,219.714285714286,1565.60804452096
"24",1985,1070.78630136986,181.4,853,2186,156.571428571429,850.926559767899
"25",1986,2037.44109589041,199.4,772,3966,138.857142857143,1206.74223810034
"26",1987,1150.92328767123,125,680,2722,113,711.342247907881
"27",1988,1121.04371584699,157,1065,2050,134.142857142857,780.387785359217
"28",1989,1537.90410958904,226.8,809,4128,180,1238.00322226524
"29",1990,1042.44931506849,198,582,2198,178.857142857143,620.660405104789
"30",1991,719.528767123288,133.8,470,1566,122,502.428781922862
"31",1992,752.767759562842,107,449,1690,95.8571428571428,492.550305750716
"32",1993,2097.45479452055,213.4,1070,5100,199.142857142857,1576.6473569353
"33",1994,680.613698630137,110,590,1396,94,515.472945538768
"34",1995,2890.78082191781,216.4,2340,6380,192,1671.88279794026
"35",1996,2890.27049180328,242.5,2690,6270,219.571428571429,1814.26922660159
"36",1997,1798.41643835616,259,1090,3096,197,1061.83937877706
"37",1998,3083.78904109589,258,2760,5696,207.142857142857,2184.35595784653
"38",1999,2067.45753424658,214.4,1160,4780,176.142857142857,1422.02583204921
"39",2000,1432.65300546448,184,571,3190,151.285714285714,1083.0151577074
"40",2001,667.28301369863,83.7,392,1592,61,427.302349316263
"41",2002,1526.1397260274,125,1050,3438,114.142857142857,917.714126696341
"42",2003,2028.17534246575,174.4,1380,4568,153.714285714286,1484.85618260943
"43",2004,1684.40163934426,178.5,1210,3625,147,1251.27469641773
"44",2005,2099.57808219178,202,1250,3788,176,1270.01980767933
"45",2006,2919.43561643836,198.4,2360,6278,177.857142857143,1968.94871996322
"46",2007,1443.52602739726,163.8,1040,3232,134.857142857143,1057.94246419233
"47",2008,1559.75956284153,172.5,1210,3190,137.428571428571,1199.54975529935
"48",2009,1190.57808219178,139,822,2806,108.142857142857,858.637962789113
"49",2010,2118.68493150685,251.4,1830,4196,184.571428571429,1487.61570769369
"50",2011,2089.53424657534,251.4,1520,4520,208.714285714286,1540.49099021643
"51",2012,1971.29781420765,182.5,1195,4645,153,1188.07355098605
"52",2013,918.13698630137,178,501,1976,127.571428571429,718.68791240695
"53",2014,1176.85753424658,128,510,2612,102.285714285714,582.225920223796
"54",2015,1082.70136986301,120,561,2276,107.142857142857,538.90514024788
"55",2016,2611.12568306011,162.5,1700,5955,143.285714285714,1575.19952486039
"56",2017,3281.14246575342,253,1690,7828,226.714285714286,2087.88309534773
"57",2018,1145.31232876712,158,696,2646,144.857142857143,851.189428571429
"58",2019,1914.80273972603,215,797,4694,205.285714285714,1206.12953589655
"59",2020,878.172131147541,138,629.5,1745,132.571428571429,618.192824716204
"60",2021,1075.86446886447,111,973,2066,104.142857142857,NA
