"","Year","Q90","MeanDischarge","MeanBaseflow","MAM7","Q10","Q50","Q95"
"1",1962,2080,999.227397260274,NA,123.571428571429,234,792,2250
"2",1963,2300,1310.91780821918,909.141301003589,63.8571428571428,461.2,1130,2622
"3",1964,2310,1030.26775956284,591.199027748208,89.2857142857143,187.5,689.5,2507.5
"4",1965,6250,2352.06849315068,2135.90203061369,102.571428571429,190,1770,6356
"5",1966,1930,898.654794520548,641.498095861492,99.8571428571428,171.2,743,2060
"6",1967,2150,1255.55342465753,729.610991519896,107.714285714286,389,1130,2450
"7",1968,1380,693.016393442623,230.120694381674,72.8571428571428,117,600,1650
"8",1969,2262,1270.81917808219,719.771908041349,122.285714285714,182.6,986,4072
"9",1970,3086,1415.10684931507,706.744053961222,94.2857142857143,209.2,1020,3746
"10",1971,3728.00000000001,1952.96438356164,1183.51719178082,253.142857142857,408,1990,4804
"11",1972,3220,1854.05464480874,1434.64384729418,382.142857142857,408.5,1525,6945
"12",1973,2272,1147.1095890411,932.305212230692,111.857142857143,224.2,907,2760
"13",1974,4256,1976.19452054795,1465.60788432268,248.714285714286,516,1930,5258
"14",1975,2936,1761.27397260274,1344.90196559706,205.714285714286,540,1920,3578
"15",1976,2210,1175.19672131148,964.17410532519,256.142857142857,459,925,2310
"16",1977,1040,781.353424657534,446.455979627678,90.0714285714286,251,677,2176
"17",1978,2582,1400.90410958904,963.295792061819,414.714285714286,689.6,1070,3124
"18",1979,1310,816.397260273973,488.817091599548,286.714285714286,399.2,740,1776
"19",1980,1950,979.101092896175,585.614159143106,347.285714285714,442,753.5,2592.5
"20",1981,1206,786.442465753425,452.057236947743,101.285714285714,255.4,692,1674
"21",1982,4390,2091.23287671233,1577.96077749063,403.428571428571,474.6,1850,6254
"22",1983,4276,2345.8301369863,1864.35580857499,425.428571428571,628.6,2070,4800
"23",1984,3925,2164.17759562842,1725.51827555871,379.428571428571,704,2060,4087.5
"24",1985,2326,1273.43835616438,921.448098267641,329.285714285714,531,1010,2658
"25",1986,3116,1699.81369863014,1376.19511759783,475.285714285714,619,1120,6378
"26",1987,1562,941.446575342466,635.121325621026,283,517.4,889,1824
"27",1988,1120,777.786885245902,509.817779017577,241.714285714286,424,799,1150
"28",1989,2966,1223.52602739726,793.83559790846,120.285714285714,413,768,4590
"29",1990,1120,815.484931506849,522.933004893928,225,364.6,802,1472
"30",1991,788.4,494.26301369863,327.319133240428,136.285714285714,175.2,453,968.2
"31",1992,890.5,554.83606557377,400.644063948227,96.4285714285714,102.5,597.5,978.25
"32",1993,3370,1397.13698630137,889.396529201792,113.857142857143,484.8,875,5114
"33",1994,1030,614.950684931507,484.46046582295,190,200.8,616,1088
"34",1995,2424,1091.86301369863,663.706532713862,140.142857142857,276.6,865,3462
"35",1996,3920,1891.42076502732,1398.03120120999,570.428571428571,887.5,1410,4790
"36",1997,4166,1705.0904109589,1294.32386480627,405.714285714286,666.2,1030,5922
"37",1998,3644,1832.3095890411,1107.71509861995,207,662.8,1390,4280
"38",1999,2938,1725.64657534247,1258.45601217656,532.285714285714,744,1260,4372
"39",2000,2570,1376.92076502732,1054.23429891694,163.142857142857,576.5,1195,2955
"40",2001,1464,911.482191780822,696.070811565841,485.428571428571,545.4,785,1578
"41",2002,1396,892.706849315068,628.247721372595,369.142857142857,491.2,832,1578
"42",2003,1732,972.73698630137,669.926723072791,283.571428571429,382.4,858,1870
"43",2004,1150,757.243169398907,569.038160291439,307.857142857143,481,707,1277.5
"44",2005,1402,939.797260273973,578.657534246575,224.714285714286,279.4,914,2608
"45",2006,3466,1929.05753424658,1302.19119551681,606.714285714286,749.4,1410,4258
"46",2007,1886,1164.78082191781,888.617045009785,523,580.6,1020,2060
"47",2008,1785,1079.89617486339,801.036431403162,388.428571428571,555.5,1020,2025
"48",2009,1320,996.446575342466,797.352892078376,277.428571428571,643.4,996,1480
"49",2010,1112,848.304109589041,645.207156818988,419.714285714286,617,840,1210
"50",2011,2622,1390.6602739726,1002.07954853895,370.285714285714,512.6,1160,2810
"51",2012,2235,1034.31420765027,727.213584138994,236,321.5,895,2640
"52",2013,1116,771.58904109589,558.983062988583,190.571428571429,440,752,1228
"53",2014,1160,789.53698630137,608.926432400238,329.857142857143,417.4,791,1238
"54",2015,1250,857.01095890411,661.331854264457,267.142857142857,409.8,875,1308
"55",2016,1795,1061.44808743169,628.455375826359,333.714285714286,404.5,935,2140
"56",2017,3692,1690.11506849315,1087.62444242211,328.428571428571,522.2,1150,5102
"57",2018,1676,966.550684931507,591.368893332199,326.142857142857,394,854,2176
"58",2019,2030,1128.75342465753,749.653982926345,267,348.2,948,2718
"59",2020,1365,916.136612021858,707.697677595628,340.428571428571,465,815.5,1510
"60",2021,1150,853.583561643836,NA,437.142857142857,555.4,854,1220
