"","Year","MeanDischarge","Q10","Q50","Q90","Q95","MAM7","MeanBaseflow"
"1",1964,638.04347826087,29,116,827.4,2807,28.7142857142857,NA
"2",1965,359.128767123288,34.4,274,801.2,1014.6,31.1428571428571,252.378672194963
"3",1966,432.958904109589,31,232,1222,1660,27.7142857142857,282.857003642606
"4",1967,442.364383561644,45,206,1190,1704,35.8571428571429,251.147682011383
"5",1968,310.314207650273,37,134,766.5,935.25,30,184.312429559112
"6",1969,584.252054794521,44.4,218,1692,2266,40.4285714285714,321.334345659808
"7",1970,454.441095890411,33,292,902.4,1200,29.5714285714286,289.068097896985
"8",1971,445.424657534247,49,203,1136,1534,41.4285714285714,299.231512080325
"9",1972,415.281420765027,39.5,147,1165,1632.5,34,264.834176644732
"10",1973,542.983561643836,40.4,319,1220,1786,35.2857142857143,287.291699934768
"11",1974,659.679452054795,43,305,1586,2034,42,359.431682472778
"12",1975,454.591780821918,53,170,1366,2034,41,303.254077478842
"13",1976,185.147540983607,33,81,506,743.25,32,150.690972461054
"14",1977,124.567123287671,21,54,249.6,411.4,16.4285714285714,66.1359713650125
"15",1978,562.446575342466,57,373,1362,1626,47.1428571428571,322.745073059361
"16",1979,297.753424657534,37.4,152,794.8,1120,29.7142857142857,198.038839951746
"17",1980,371.325136612022,42,212.5,851,1337.5,32.4285714285714,186.879896636437
"18",1981,416.745205479452,27.4,245,915.8,1208,25,200.68581371445
"19",1982,458.128767123288,56.4,302,1180,1338,47,311.973020078514
"20",1983,867.361643835616,93,664,1894,2628,76.4285714285714,593.879785939737
"21",1984,370.871584699454,55,305.5,852.5,970,42.4285714285714,282.430067321871
"22",1985,203.909589041096,38,107,422.800000000001,694,32.8571428571429,137.176109426428
"23",1986,454.487671232877,48.8,116,1132,1426,32.7142857142857,286.503957142841
"24",1987,315.958904109589,34,96,919.8,1170,28.4285714285714,173.989291693846
"25",1988,250.639344262295,36,155.5,560.5,605.5,34.7142857142857,191.188274430488
"26",1989,332.331506849315,37,116,853.2,1308,29.4285714285714,195.845348271051
"27",1990,213.265753424658,33,102,507.2,600.8,28,115.312757516456
"28",1991,151.939726027397,22.4,56,459.6,519.6,20,116.365737965388
"29",1992,279.090163934426,30,88,820,1045,27.7142857142857,178.978957051674
"30",1993,563.761643835616,41,155,1612,2076,36.4285714285714,354.754717937388
"31",1994,176.723287671233,24,76,455.6,590.8,21,132.160603678145
"32",1995,704.975342465753,42,421,1820,2156,40,383.478971991636
"33",1996,528.713114754098,39,271,1140,1605,35,276.315803758125
"34",1997,329.715068493151,42,177,649.400000000001,818,36,184.566641921532
"35",1998,800.654794520548,65,450,2076,2746,56.4285714285714,467.687570726486
"36",1999,430.087671232877,37,207,1152,1644,23.8571428571429,278.068226189665
"37",2000,502.66393442623,43,148.5,1305,1705,36.7142857142857,345.32503325821
"38",2001,251.12602739726,29,99,759,996,25.7142857142857,161.599100274275
"39",2002,387.093698630137,32.6,204,839.2,1338,27.4857142857143,212.208976410374
"40",2003,542.60904109589,37.64,311,1278,1726,24.0285714285714,334.667674006051
"41",2004,423.908196721311,40.3,219,1245,1400,32.6571428571429,274.742658817187
"42",2005,528.098904109589,46.74,299,1426,1738,41.0714285714286,344.378141566089
"43",2006,696.897808219178,44.68,345,2014,2998,39.2285714285714,479.593482089919
"44",2007,220.633150684932,29.58,86.3,568.6,740.4,25.4571428571429,143.233727828213
"45",2008,288.430601092896,31.25,104.5,749.5,1077.5,26.3,184.457266621129
"46",2009,266.946849315069,28.48,93.3,748.8,960.4,21.6857142857143,181.104871256597
"47",2010,576.971232876712,47.78,410,1280,1808,38.6714285714286,402.401479849371
"48",2011,545.565205479452,56.4,296,1466,1760,51.3285714285714,362.335773826793
"49",2012,396.359016393443,33.45,161,1150,1550,29.5428571428571,218.787890178642
"50",2013,207.528219178082,31.84,80,518.2,689.400000000001,23.6571428571429,155.556442850316
"51",2014,204.883287671233,17.54,59,516.6,879.8,14.1714285714286,100.119676317594
"52",2015,199.289863013699,24,77.3,318,532,21.9142857142857,107.707189088537
"53",2016,580.763114754098,31.55,347.5,1310,1890,27.8857142857143,316.185016494485
"54",2017,635.054246575343,40.8,222,1630,2014,38.0714285714286,390.81857809997
"55",2018,179.156164383562,23.78,88.6,432.6,577.2,21.4857142857143,120.658142631088
"56",2019,559.912054794521,41.58,195,1630,2024,36.4,346.454511592934
"57",2020,152.515300546448,21.9,62.2,402,565.5,20.5,119.284893176988
"58",2021,152.201465201465,16.92,81.2,485.8,559.8,14.0285714285714,NA
