"","Year","MeanDischarge","Q10","Q50","Q90","MAM7","MeanBaseflow"
"1",1910,9258.69565217391,2800,10000,15000,2800,NA
"2",1911,13713.095890411,2580,8500,30100,2482.85714285714,11443.0063113527
"3",1912,18751.7486338798,3900,16000,34900,3594.28571428571,11819.5818371064
"4",1913,15798.8493150685,3720,13600,30700,3300,13098.7604104015
"5",1914,22335.9452054795,3540,12800,45700,3065.71428571428,15711.1880182918
"6",1915,20011.3150684931,3220,16800,39100,3067.14285714286,14898.3956326579
"7",1916,18927.1584699454,3220,13000,43600,3081.42857142857,15143.349597481
"8",1917,14003.2054794521,2860,10000,31660,2420,11289.967498035
"9",1918,9344.32876712329,1680,6800,20300,1478.57142857143,8070.71502988908
"10",1919,16124.8493150685,2420,8800,37900,2230,11258.3899660461
"11",1920,11921.7486338798,2090,6760,28700,1701.42857142857,8754.94071738826
"12",1921,19181.8904109589,2880,15600,40300,2444.28571428571,15590.2556657207
"13",1922,12448.4931506849,2560,8360,29000,2110,10030.6898000815
"14",1923,8912.6301369863,2880,7100,17040,2705.71428571429,7177.19634703196
"15",1924,7677.62295081967,1850,5340,16400,1438.57142857143,5122.33461718777
"16",1925,16290.3835616438,2560,10600,34300,1982.85714285714,11437.2647111376
"17",1926,10239.4852941176,2300,5760,20110,2300,NA
"18",1950,33690.2173913043,4000,24400,81620,3985.71428571429,NA
"19",1951,20515.4520547945,2628,17000,46360,2378.57142857143,12825.0585542312
"20",1952,23036.5846994536,4440,16500,48600,3715.71428571429,17804.5750660469
"21",1953,26299.0684931507,5260,20800,43600,4540,16728.9052886431
"22",1954,20444.8767123288,4388,11800,44260,3954.28571428571,13832.47535442
"23",1955,15022.7671232877,2810,10600,24360,2338.57142857143,9145.54671751384
"24",1956,25744.1256830601,4300,17200,49500,3720,19090.675939957
"25",1957,19921.397260274,3550,11700,44040.0000000001,3101.42857142857,12499.55314366
"26",1958,29568.7123287671,4890,16400,59220,4342.85714285714,20349.8599465603
"27",1959,13365.0136986301,2904,5380,29760,2451.42857142857,9074.66704274312
"28",1960,15007.5136612022,2815,9545,32100,2542.85714285714,8706.48204527713
"29",1961,14706.6575342466,3254,8310,31600,3055.71428571429,10004.4436834094
"30",1962,14197.0136986301,3020,9940,27280,2815.71428571429,9566.64629488447
"31",1963,18442.4931506849,3000,11500,45460,2727.14285714286,13453.049839617
"32",1964,18389.0710382514,2520,11100,30550,2245.71428571429,10380.8028359707
"33",1965,15923.1780821918,3126,10800,42920,2647.14285714286,13341.7069938823
"34",1966,15607.6164383562,2570,12500,35160,2551.42857142857,9746.72480016565
"35",1967,14766.4931506849,2700,9280,31640,2537.14285714286,9399.12553296183
"36",1968,13914.8087431694,2505,8615,27300,2172.85714285714,9026.36376154204
"37",1969,20711.2328767123,2900,13100,45680,2645.71428571429,14166.8270931111
"38",1970,22957.4794520548,2540,10700,49580,2231.42857142857,11848.2631685298
"39",1971,23198.9315068493,3800,20000,41800,3401.42857142857,15612.6859099804
"40",1972,20996.9945355191,2900,8860,45850,2457.14285714286,10628.2161232355
"41",1973,20986.4383561644,2030,13400,58600,1828.57142857143,12642.4995461917
"42",1974,25777.2328767123,2968,11600,54080,2795.71428571429,14622.5412871804
"43",1975,21006.3561643836,3490,13700,43460,3282.85714285714,14705.806190493
"44",1976,9392.32240437159,3000,5050,18550,2395.71428571429,7460.1828272868
"45",1977,9665.28767123288,1454,4470,16600,1365.71428571429,5228.28170003513
"46",1978,16536.6301369863,3848,8310,37760,3291.42857142857,12667.7227658187
"47",1979,13814.5753424658,3300,10200,28300,3060,10064.2202448158
"48",1980,18906.3387978142,3680,9815,39550,3465.71428571429,13313.7282075848
"49",1981,18935.4520547945,2850,8900,43860,2345.71428571429,10328.0739440003
"50",1982,28203.6438356164,4244,22000,61040.0000000001,3895.71428571429,19156.7984728364
"51",1983,39828.7123287671,5638,32700,91480,4918.57142857143,27444.5552350953
"52",1984,22555.6557377049,3870,19750,44300,3417.14285714286,16806.4047731101
"53",1985,11043.0684931507,3280,9420,22280,3084.28571428571,8172.08924865089
"54",1986,20784.5479452055,2992,8780,45640,2532.85714285714,11466.615906925
"55",1987,12087.4794520548,2640,6690,29960,2191.42857142857,7957.02691494916
"56",1988,10572.650273224,2215,8915,19000,2015.71428571429,7535.53939204285
"57",1989,15087.2602739726,2854,6510,43460,2417.14285714286,12675.7287426171
"58",1990,10215.3424657534,2924,5600,21160,2624.28571428571,6937.60847174135
"59",1991,7431.86301369863,1970,5170,15460,1785.71428571429,5520.22694063927
"60",1992,8086.28415300546,1915,5610,16750,1762.85714285714,5108.58501054198
"61",1993,19836.7945205479,3698,12200,44620,3331.42857142857,13534.8392325364
"62",1994,7697.74725274725,1863,7395,15670,1588.57142857143,NA
"63",1995,30062.3310810811,3305,19600,78400,3132.85714285714,NA
"64",1997,10882.2826086957,4468,10500,19260,4297.14285714286,NA
"65",1998,31894.7123287671,4204,26400,71700,4047.14285714286,22833.9668391417
"66",1999,21690.4657534247,4164,14000,45720,3884.28571428571,15887.0921916272
"67",2000,15633.4699453552,3530,7700,37850,3342.85714285714,11028.2510901363
"68",2001,8894.76712328767,2600,6540,17140,2511.42857142857,6482.01774298761
"69",2002,14069.8904109589,2132,6880,27260,1960,8524.63961394219
"70",2003,16913.4794520548,3074,13100,36640,2930,12637.6750361376
"71",2004,14724.6448087432,2735,8755,30200,2500,10405.7645660351
"72",2005,17665.4520547945,3250,11600,35060,3014.28571428571,11641.3972938247
"73",2006,25448.1643835616,3174,19100,57180,2948.57142857143,18614.3702620774
"74",2007,11694.0273972603,2754,8660,25800,2554.28571428571,9588.22613809326
"75",2008,13309.1530054645,2765,9965,26800,2520,10374.0350514781
"76",2009,10100.8767123288,2458,7390,20960,2247.14285714286,6940.31703632893
"77",2010,17301.6164383562,3260,16500,32060,2908.57142857143,12754.1183789954
"78",2011,17073.7808219178,3472,12900,39100,3207.14285714286,13474.2207676726
"79",2012,16733.6065573771,3105,10200,39100,2544.28571428571,10420.0694986632
"80",2013,8004.95890410959,2764,4750,15300,2370,6863.08719502288
"81",2014,9560.19178082192,2280,4840,21280,2042.85714285714,5341.99219828091
"82",2015,9887.80821917808,2150,5670,19140,2037.14285714286,5901.73237463584
"83",2016,20583.2786885246,2785,14700,50250,2325.71428571429,12650.5387739003
"84",2017,26363.698630137,3200,14000,68160,2987.14285714286,17321.1568166993
"85",2018,9997.04109589041,2424,6260,22600,2257.14285714286,6984.79156338334
"86",2019,16458.3287671233,2900,8050,39740,2491.42857142857,11187.4219178082
"87",2020,7337.18579234973,2280,6190,13450,2125.71428571429,5496.27738186173
"88",2021,8730.24657534247,2170,6970,17360,2007.14285714286,6029.51176903815
"89",2022,16002.5,8301,11650,33430,8101.42857142857,NA
