"","Year","Q90","MeanDischarge","MeanBaseflow","MAM7","Q10","Q50","Q95"
"1",1963,1940,1056.74520547945,NA,346.285714285714,450,740,2758
"2",1964,1925,1219.0218579235,456.915528233151,148.428571428571,292,614,2965
"3",1965,7812,3006.33150684932,1305.43832248931,607.428571428571,708,1400,13120
"4",1966,1520,774.958904109589,580.023002721041,201.857142857143,228.4,581,1700
"5",1967,3852,1499.08493150685,788.087572204857,239.857142857143,350,614,6108
"6",1968,1880,1208.41803278689,562.607684203007,305.714285714286,399.5,651,2850
"7",1969,4832.00000000001,2212.59726027397,1266.23526936094,456.571428571429,735,1380,6428
"8",1970,2740,1467.16438356164,742.069038141002,207.714285714286,356.2,937,5078
"9",1971,2702,1369.54520547945,718.406336654213,281.285714285714,431.8,903,4208
"10",1972,1020,709.953551912568,489.480042048459,227.142857142857,384.5,605,1360
"11",1973,16800,6027.01369863014,2340.60510984169,449.714285714286,752.8,2640,29000
"12",1974,5948.00000000001,2728.43287671233,1455.20781290424,556.857142857143,699.2,1630,10000
"13",1975,4822,2262.37534246575,1455.82303211696,370.714285714286,542.2,1580,7166
"14",1976,3250,1310.11475409836,643.504313946527,243.571428571429,313,549.5,4907.5
"15",1977,5732.00000000001,2130.4602739726,1049.42552686059,261.428571428571,405,997,8094
"16",1978,3010,1243.41095890411,800.316460058878,141.142857142857,266.2,668,3572
"17",1979,4884.00000000001,2470.02739726027,937.414848178385,200,270,1400,7838
"18",1980,3150,1582.28415300546,901.523832806059,197.857142857143,241,877.5,4587.5
"19",1981,2190,1200.8602739726,664.291012822794,260.714285714286,347.8,841,3514
"20",1982,4630,1722.09315068493,888.57105022831,365.285714285714,423,707,7024
"21",1983,3850,1788.50684931507,825.912046714504,260.857142857143,391,730,7194.00000000001
"22",1984,4800,1939.41530054645,946.616031823742,145,238,632,7970
"23",1985,4874,2588.58082191781,968.00215451546,446.571428571429,686.2,1330,7870.00000000001
"24",1986,3456,2041.0602739726,1066.39633105162,662.714285714286,860.4,1220,5324
"25",1987,8802,3821.04931506849,1760.79258621672,747.428571428571,954,2100,12720
"26",1988,2210,1213.28961748634,831.268861643018,194.571428571429,295,907,3105
"27",1989,3494,1556.78356164384,765.136394206967,278.571428571429,373.8,626,5776
"28",1990,1806,932.964383561644,642.647830821154,248,294.4,600,2374
"29",1991,961,580.043835616438,324.525752271574,124.285714285714,191.8,384,1760
"30",1992,3040,1451.72950819672,681.710477925232,344.142857142857,371.5,704.5,4700
"31",1993,11060,5404.09863013699,2085.43760165666,877.428571428571,959,2670,22000
"32",1994,1280,898.824657534247,583.495013046314,254.571428571429,334.2,727,1736
"33",1995,7652,3148.14520547945,1121.94330898021,391.285714285714,441.4,804,15440
"34",1996,4200,1887.27049180328,868.658504406045,420.857142857143,486.5,1185,6042.5
"35",1997,5492,2508.08219178082,1136.9751369863,905.714285714286,1030,1600,6974
"36",1998,5628,3116.74794520548,1416.31284486059,410.285714285714,602.2,1760,8176
"37",1999,7888.00000000001,3771.6602739726,2139.64414296063,733.857142857143,1020,2390,10700
"38",2000,5570,2481.82240437158,1293.3105738146,303.142857142857,415.5,1145,8162.5
"39",2001,4578,2093.93424657534,1101.73763943249,308.285714285714,449,1020,7180
"40",2002,3296,1569.87397260274,711.924770342211,308,454,697,5406
"41",2003,4586,1978.80547945205,752.554665750967,222.571428571429,419,832,6940
"42",2004,4795,2361.28961748634,993.875500910747,484.857142857143,584.5,1130,9320
"43",2005,4868,2434.66849315068,1051.50148727984,367.428571428571,534.8,1230,9054.00000000001
"44",2006,1206,658.534246575342,395.720349357867,222.285714285714,276,471,1634
"45",2007,9310.00000000001,3873.74520547945,1700.02986517355,387.571428571429,478,1300,15640
"46",2008,7000,3418.54918032787,1337.23958163972,516.857142857143,874.5,1630,10250
"47",2009,6998,3082.0301369863,1468.55618109024,312.428571428571,619.6,1320,10720
"48",2010,3988,2218.25479452055,1147.39305971672,411.285714285714,507.8,1150,6868.00000000001
"49",2011,1020,569.134246575342,375.562264533474,116.428571428571,145.4,494,1244
"50",2012,1300,655.036612021858,336.742308256139,89.7142857142857,131.5,335,2090
"51",2013,3540,2101.10136986301,547.352825884832,180.285714285714,265.4,713,9646
"52",2014,1716,945.550684931507,570.283777911586,376.571428571429,405.4,626,3400
"53",2015,3560,1755.06849315068,674.558191455953,331,390.2,636,6596
"54",2016,6845,3281.43169398907,1315.6682687531,642.428571428571,717.5,1325,13775
"55",2017,5748,2222.78082191781,1273.57790606654,408.285714285714,524,961,7924
"56",2018,3796,2072.36712328767,832.008664812717,269.714285714286,461.2,698,6242
"57",2019,11420,5890.90410958904,2356.27925091971,875.571428571429,924.2,2100,27360
"58",2020,2720,1502.58469945355,1059.3089619804,395,500,1310,3865
"59",2021,3116,1422.22465753425,NA,384,504.4,822,5178
