"","hyear","Q10","MeanQ","Q50","MeanBaseflow","Q90","MAM7","Q95"
"1",1912,4090,1472.90122117188,905,966.300508090643,205,175,202
"2",1913,3940,1457.61081482482,905,1032.73893749281,175,150,175
"3",1914,6500,2417.64046537812,1180,1841.66407789319,190,150,175
"4",1915,7450,2953.92054794521,1480,1995.48943641051,205,175,175
"5",1916,5640,2244.62635211857,870,1445.1758031131,175,151.714285714286,162
"6",1917,3520,1203.08727319097,385,646.51364472137,104,99.4285714285714,94
"7",1918,2470,850.596907487333,390,596.074111516746,87,56,82
"8",1919,4390,1385.93035841621,515,1068.03768970079,113,95.1428571428572,94
"9",1920,2470,1091.62166079006,410,396.908876304768,82,47.8571428571429,62
"10",1921,4530,1829.3620693535,805,1738.31607638504,135,84.4285714285714,113
"11",1922,4090,1354.2162582098,500,693.023673017346,120,57.7142857142857,88
"12",1923,2600,957.264252204916,500,738.953745852123,126,79.7142857142857,93
"13",1924,1350,636.320205581784,400,244.937216823417,40,31.4285714285714,34
"14",1925,4380,1580.72782165815,615,1284.65955559832,146,52.1428571428571,50
"15",1926,4230,1671.18174516795,615,721.468294752592,86,67.8571428571429,73
"16",1927,4400,1994.69255770313,1320,1304.02234158456,162,109.142857142857,114
"17",1928,3760,1551.4231458794,735,987.222867665858,135,97.4285714285714,110
"18",1929,2600,1000.70255856342,522,547.336709558307,88,62.2857142857143,68
"19",1930,2550,923.765209232502,433,678.598349362501,102,69.4285714285714,80
"20",1931,1800,660.330275849127,299,356.706780821918,59,49.2857142857143,55
"21",1932,2540,882.739451981115,364,678.152658149379,73,59.7142857142857,63
"22",1933,3340,1087.14483524232,320,756.685091724746,101,71.1428571428571,94
"23",1934,2400,1098.67488834678,770,719.422336539396,84,64.1428571428571,68
"24",1935,3220,1161.61514730719,670,958.470975898834,100,83.2857142857143,91
"25",1936,3520,1332.93551664376,688,886.234901945367,116,105.857142857143,109
"26",1937,4620,1791.10341516836,742,965.869702292905,130,109,119
"27",1938,6180,2334.61436667292,1210,1906.85526067175,170,142.714285714286,147
"28",1939,3200,1213.02441733909,567,583.462782229269,93,67.7142857142857,75
"29",1940,4820,2162.87003018701,1080,1226.31007582753,135,114.857142857143,99
