"","hyear","Q10","MeanQ","Q50","MeanBaseflow","MAM7","Q90","Q95"
"1",1914,345,310.619178082192,300,304.738097796059,272.285714285714,276.2,275
"2",1915,321,293.26301369863,297,287.696673189824,230,251,240
"3",1916,321,271.920547945205,270,266.76230969063,220,235,230
"4",1919,252,231.653846153846,230,225.148701298701,188.571428571429,200,190
"5",1923,302,262.098630136986,271,259.009796371714,185.142857142857,200,190
"6",1924,240,197.333333333333,210,190.34493468855,143.714285714286,145,145
"7",1925,271,224.052054794521,217,208.030494329431,169,197,178
"8",1926,262,201.430136986301,225,198.132511415525,120.714285714286,123,122
"9",1927,242,205.430136986301,200,198.649215442092,169,179,172
"10",1928,288,251.24043715847,258,240.298292349727,183.142857142857,198,190
"11",1929,262,211.857534246575,229,205.526079582518,133.285714285714,146,139
"12",1930,215,173.043835616438,184,166.21095890411,119.714285714286,127,125
"13",1931,182,141.350684931507,162,138.138868825239,84.2857142857143,90,86
"14",1932,184,151.087431693989,146,145.185323177126,115,125,117
"15",1933,215,183.21095890411,176,170.768318112633,130.142857142857,154,139
"16",1934,226,181.405479452055,195,172.860997541272,102.428571428571,120.4,109
"17",1935,195,173.887671232877,173,163.844908675799,141.857142857143,150,145
"18",1936,242,202.484931506849,195,187.396441311567,147.714285714286,166,160
