"","hyear","Q10","MeanQ","Q50","MeanBaseflow","Q90","MAM7","Q95"
"1",1962,2580,1214.69086755034,870,787.72603883808,276,228.571428571429,249
"2",1963,6750,2245.60360292738,982,1635.6936763921,291,238.714285714286,267
"3",1964,3970,1873.09730771529,950,883.258438218805,246,213.857142857143,225
"4",1965,3180,1437.40850754217,978,1183.72341089421,270,236.571428571429,249
"5",1966,3030,1331.52612497654,1060,829.097207012526,245,169.571428571429,225
"6",1967,3050,1343.52802401952,874,1065.52030926329,260,236.571428571429,243
"7",1968,2480,1243.65856391562,768,722.814176624832,295,236.142857142857,250
"8",1969,4280,1870.10992596593,955,1386.12965554188,301,259.571428571429,286
"9",1970,4280,2055.91914430475,1070,891.860732935254,278,232.428571428571,248
"10",1971,3300,1889.80734847063,1110,1477.191263569,322,280.857142857143,286
"11",1972,3090,1565.35803502062,937,855.204495383184,298,245.571428571429,283
"12",1973,3990,1773.62966463392,1310,912.281581569116,278,234.142857142857,253
"13",1974,6050,2672.20269468944,1270,1865.04822790353,329,316.142857142857,318
"14",1975,4580,2203.49023081254,1130,1429.32845958709,357,323.142857142857,339
"15",1976,2590,1039.51062272157,635,680.241104205448,277,268.142857142857,270
"16",1977,1240,655.915734677498,439,326.876058478186,198,181.285714285714,185
"17",1978,2840,1465.40596734847,632,1256.04371937523,330,300.571428571428,232
"18",1979,2460,1335.7530193282,996,773.862655426765,393,369.857142857143,386
"19",1980,3000,1603.11652124544,1070,1355.49734413997,419,387.142857142857,393
"20",1981,3510,1802.47357801331,1080,864.223815763351,462,387.142857142857,431
"21",1982,4540,2137.88195158566,1490,1659.31707545119,543,442.142857142857,466
"22",1983,11300,4581.46999437043,2730,3440.51409021724,605,451.857142857143,567
"23",1984,8060,2704.81530508576,1590,1774.89085014864,554,431.428571428571,446
"24",1985,2120,1179.2494130531,959,936.525147364051,465,425.571428571429,429
"25",1986,3950,1857.61071120285,929,1208.92677997871,458,355.285714285714,418
"26",1987,2660,1498.83102270595,880,846.242285851615,339,334.142857142857,338
"27",1988,1980,1101.93526265463,930,790.861072079105,336,306,317
"28",1989,2780,1332.85355956105,765,1108.32440768874,385,320.285714285714,343
"29",1990,1990,1007.64565209232,635,670.322387475538,376,358.571428571429,367
"30",1991,1540,854.866458997936,562,640.514752291688,381,365.285714285714,368
"31",1992,2200,1095.25588657145,646,769.121201426837,465,364.428571428571,421
"32",1993,3500,1664.79105440416,1020,1281.70464626698,472,447,463
"33",1994,2360,1162.48836179396,778,791.133522504892,468,437.285714285714,419
"34",1995,7300,2757.45056108088,1160,2001.19735907928,455,354.428571428571,450
"35",1996,6850,2813.8425416841,1690,1624.41221570547,553,445.571428571429,510
"36",1997,6780,2445.54504676823,1240,1707.86121004566,613,488.285714285714,560
"37",1998,8220,3616.1576956277,2050,2993.95570308332,657,526.571428571429,550
"38",1999,5190,2416.99738037155,1580,1608.13035431665,579,473.285714285714,536
"39",2000,4050,1932.03255542939,1100,1274.12288508156,558,453.857142857143,524
"40",2001,2730,1405.07594680348,844,856.885316295329,530,469.285714285714,477
"41",2002,3460,1644.61723400263,1020,1161.14878530548,497,416,425
"42",2003,4530,2053.54336648527,1550,1683.18219904525,484,375.714285714286,402.200000000001
"43",2004,4990,2208.30106675432,1760,1668.71226637556,513,359.714285714286,487
"44",2005,4990,2295.04643068776,1530,1535.75893008975,554,478.428571428571,503
"45",2006,8450,3243.6829048602,1970,2864.29189381772,548,429.142857142857,499
"46",2007,4280,1785.28781384875,919,789.807134268,494,403.428571428571,486
"47",2008,3030,1585.06742664196,1110,1276.10628415301,483,454,472
"48",2009,2890,1441.5954979485,933,973.434246575343,511,397.571428571429,482
"49",2010,4520,2150.92566710452,1700,1765.79787950127,552,459.571428571429,532
"50",2011,5100,2398.29983111278,1720,2003.90186968395,559,443.142857142857,522
"51",2012,4860,2198.68493396283,1370,1460.24630848647,542,511.428571428571,518
"52",2013,3000,1433.78171576018,1070,1031.12853804075,459,452.285714285714,426
"53",2014,2220,1207.67276412085,910,709.654209419704,459,406.285714285714,449
"54",2015,2320,1280.41687370989,910,921.831138103486,454,448.857142857143,411
"55",2016,4860,2291.57356720253,1530,1581.70090829137,522,349,508
"56",2017,6710,3090.4205690197,2000,2364.96259268691,588,516.857142857143,531
"57",2018,3740,1636.39417526741,845,898.064415525114,517,499,379
"58",2019,5100,2132.75678738975,1130,1708.79981522778,445,365.428571428571,418
"59",2020,2830,1306.56433395088,725,765.65352243385,419,413.285714285714,369
"60",2021,2000,1020.51893235737,807,755.965687216521,474,338,462
