"","hyear","Q10","MeanQ","Q50","MeanBaseflow","MAM7","Q90","Q95"
"1",1962,996.400000000001,320.802739726027,141,233.570977935455,30.7142857142857,35,34
"2",1963,1242,482.241095890411,218,222.236527461666,37.2857142857143,48,43.2
"3",1964,416.5,222.46174863388,222,164.243344119982,28.8571428571429,35,32
"4",1965,870.2,474.090410958904,320,254.161410115559,28.7142857142857,37,30
"5",1966,1200,385.695890410959,191,263.547388837094,30,33.4,31
"6",1967,1222,509.495890410959,333,295.983188228048,27.7142857142857,34,28
"7",1968,753.5,302.964480874317,116.5,183.465188918472,30.1428571428571,40,34
"8",1969,1654,548.465753424658,210,367.535230730406,30,43,41
"9",1970,931.2,460.065753424658,247,232.399794667845,29.5714285714286,35,32
"10",1971,1152,486.802739726027,307,312.517754293068,31.2857142857143,46.4,38.4
"11",1972,1145,396.669398907104,121,256.956651029316,35.2857142857143,42,37
"12",1973,1088,373.227397260274,162,245.617212126065,34,41,37
"13",1974,1800,850.909589041096,502,419.216772804325,39.7142857142857,49,42
"14",1975,1366,442.180821917808,128,309.224053916123,41.1428571428571,43,42
"15",1976,506,207.986338797814,119,145.707386571695,32.5714285714286,42,34.25
"16",1977,164.6,66.1616438356164,39,53.9386358927133,16.4285714285714,21,19
"17",1978,1400,614.430136986301,510,342.337067838467,28.1428571428571,61.4,42.6000000000001
"18",1979,781.8,263.550684931507,68,185.428329918412,30,41,35.2
"19",1980,900.5,400.300546448087,259.5,226.932598661754,29.7142857142857,44,38
"20",1981,617.2,261.613698630137,100,171.605617349783,25,27.4,25
"21",1982,1262,573.756164383562,383,336.570076069797,37,51,46.2
"22",1983,1840,817.468493150685,516,577.977060491829,47,98,65.0000000000001
"23",1984,903.5,428.546448087432,374,311.884993042121,42.4285714285714,59,49.25
"24",1985,464.000000000001,239.468493150685,166,152.233515981735,33.4285714285714,41,38
"25",1986,1132,453.646575342466,126,282.741053051975,32.7142857142857,36,34
"26",1987,854.6,277.775342465753,78,184.904382989078,32.5714285714286,36,34
"27",1988,583,280.407103825137,191,192.660266656754,28.4285714285714,34,30.25
"28",1989,842,324.695890410959,126,218.20825475894,29.4285714285714,35,34
"29",1990,514.2,237.084931506849,120,120.12073082536,31.4285714285714,37.4,34
"30",1991,459.6,152.490410958904,54,118.815916378969,20.1428571428571,29,27.2
"31",1992,820,269.412568306011,69.5,174.658992054219,20,28,21
"32",1993,1612,561.345205479452,148,346.731733241242,29,42,34
"33",1994,466.2,186.293150684932,94,136.039613840328,21,24,23
"34",1995,1816,682.334246575342,372,344.981213632378,24.1428571428571,40.4,25
"35",1996,999,416.713114754098,181,271.243138498569,37.4285714285714,41,39
"36",1997,762.2,440.912328767123,204,186.576736414271,35,39,36
"37",1998,2076,783.594520547945,417,456.355503432462,41.8571428571428,63,50.2
"38",1999,1178,452.547945205479,241,293.098641069562,35.8571428571429,57,40.2
"39",2000,1305,517.743169398907,212.5,354.583587058768,23.8571428571429,39.5,36
"40",2001,751.4,229.397260273973,74,149.502990238896,25.7142857142857,32.4,29
"41",2002,812.8,359.887671232877,204,215.647290805005,26,29.88,27.76
"42",2003,1476,562.94904109589,329,393.059324542226,24.0285714285714,34.04,30.92
"43",2004,1255,435.237704918033,231,277.056995792807,27.5142857142857,39.4,36.4
"44",2005,1298,462.000273972603,264,355.10336676098,32.6571428571429,47.24,40.02
"45",2006,2216,758.556712328767,376,483.953775401991,39.2285714285714,47.14,43.48
"46",2007,598.4,237.520547945205,119,152.164289189706,25.4571428571429,29.58,26.6
"47",2008,745,284.318852459016,102,205.306695643876,26.3,32.4,28.3
"48",2009,756,273.229863013699,102,156.87487801696,21.6857142857143,29.44,24.48
"49",2010,1270,507.673698630137,266,344.351982136585,24.0428571428571,45.32,40.6
"50",2011,1494,613.561369863014,405,411.165067469708,38.6714285714286,55.9,44.6
"51",2012,998.5,337.798907103825,94.85,218.63551888884,29.5428571428571,38.55,32.475
"52",2013,582.8,275.065479452055,160,166.417868491346,23.6571428571429,29.64,26.96
"53",2014,300.6,107.87397260274,37.8,61.9101685346617,14.1714285714286,17.54,15.62
"54",2015,612.6,291.477260273973,126,150.047659708632,21.8285714285714,23.9,22.8
"55",2016,1240,467.14262295082,109.5,262.431572382803,22.4571428571429,28.4,25.5
"56",2017,1666,742.295068493151,453,424.44772336399,30.9142857142857,43.18,39.16
"57",2018,431.6,182.33095890411,97.4,125.115603816166,21.4857142857143,23.78,22.34
"58",2019,1630,555.351780821918,192,357.193415993443,25.5571428571429,27.18,26.4
"59",2020,408.5,167.08306010929,107,128.445851081583,20.5,23.55,21.3
"60",2021,365.4,121.881369863014,41.7,93.8698461530407,14.0285714285714,17.78,16.5
