"","hyear","Q10","MeanQ","Q50","MeanBaseflow","MAM7","Q90","Q95"
"1",1913,7700,4235.11798277664,3700,4185.53841089466,2150,2150,2150
"2",1914,9710,5228.25438168512,4250,4784.66860239016,1660,1900,1900
"3",1915,7940,4230.87911428035,3520,3499.82880203734,1300,1410,1300
"4",1916,7460,4146.76716667663,3350,3918.81150300822,1410,1760,1520
"5",1917,7460,3935.74862920708,3350,3435.87606001305,1347.14285714286,1640,1520
"6",1918,5150,2915.36641020829,2260,2329.77546707219,635,950,815
"7",1919,5960,3174.67232126102,2400,2996.35373599004,1224.28571428571,1380,1160
"8",1920,4390,2568.69598995996,2260,1768.31967213115,1097.14285714286,1270,1160
"9",1921,8140,4144.27124822791,2690,4026.73477791615,1244.28571428571,1490,1270
"10",1922,7470,3805.94798273597,2990,3088.5894393518,1350,1610,1490
"11",1923,5150,2976.79241884031,2540,2152.80621897576,1337.14285714286,1730,1390
"12",1924,4010,2666.49554772007,2690,1261.81640763608,1012.14285714286,1290,900
"13",1925,5550,3792.38844414795,3150,2744.85116571511,2231.42857142857,2120,1390
"14",1926,5960,4324.19117647059,3830,NA,NA,2500,2500
"15",1951,5100,3285.55434782609,2640,NA,NA,1770,1370
"16",1952,11400,5479.87768050907,4010,4432.82522455174,1751.42857142857,2200,1820
"17",1953,10600,5890.07192631097,4780,4265.78266209807,2235.71428571429,2460,2250
"18",1954,9530,5257.42431225371,3910,4053.19125896934,1665,2150,1840
"19",1955,6790,3372.15403265153,2240,1413.09724841369,994.571428571428,1130,877
"20",1956,12200,6042.60700412359,4150,5339.44889172758,1238,1570,1250
"21",1957,11200,5270.72770164345,3870,3456.2841161122,1572.85714285714,1750,1630
"22",1958,11100,6266.50065678364,4140,5602.24280325591,2027.14285714286,2270,1760
"23",1959,7400,3810.99373240758,2730,2421.17596216569,1071.42857142857,1490,1270
"24",1960,4700,2792.85937966892,2320,1671.13270882123,1142,1220,1040
"25",1961,4840,2953.44926753527,2750,2129.19732550554,1197.71428571429,1270,1010
"26",1962,5750,3292.70332895478,2900,2151.84653414358,1053,1160,1080
"27",1963,6720,3688.71289923063,3280,3311.84802876527,1018.28571428571,1250,1140
"28",1964,5530,4135.76656905516,2840,2583.19980050308,1044.28571428571,1230,1120
"29",1965,12000,5525.28897289918,3410,5227.68557677249,1070,1340,1180
"30",1966,6640,3815.33354850816,3020,2879.55829053119,970.571428571428,1190,1140
"31",1967,6170,3485.42066428974,3210,2981.72100160114,1150,1280,1190
"32",1968,4980,2799.85639156159,2290,2269.58715334453,911.142857142857,984,942
"33",1969,8260,3902.40838002655,3100,3347.66083680399,1147.14285714286,1220,1100
"34",1970,9200,4737.51151060236,3270,3059.47556962144,975,1210,1140
"35",1971,11100,5653.70706699193,4360,4458.94069160936,1362.85714285714,1440,1350
"36",1972,11300,5375.29896013865,3830,4507.51872680335,1035.71428571429,1350,1270
"37",1973,7520,3765.03441421574,2700,2360.86912135049,814.285714285714,848,834
"38",1974,11700,5708.21356352036,3650,4853.66011345177,1270,1360,966
"39",1975,9880,5492.29093638581,4210,3934.40876733616,1327.14285714286,1600,1460
"40",1976,5870,3353.25639454969,3050,2891.90867261154,934.571428571429,1370,1120
"41",1977,3970,2162.19347120022,1580,1556.02867613361,796.571428571428,829,806
"42",1978,6890,3274.12565209233,1950,3428.01637198018,1087.14285714286,1120,897
"43",1979,5370,2816.44238693939,2340,2010.66831076078,946.428571428571,1140,1040
"44",1980,6000,3257.7951503018,2250,2734.28211707784,1006.14285714286,1220,1130
"45",1981,5830,3086.33016794557,1990,1730.59008849838,811.857142857143,934,899
"46",1982,11500,5108.65011822105,3420,4111.03155743194,1037.14285714286,1180,1060
"47",1983,14100,7046.02394445487,5520,5470.23589317836,1542.85714285714,1710,1560
"48",1984,10400,5820.23262415586,5340,4699.53755514304,1097.14285714286,1310,1220
"49",1985,7190,3565.89447707344,2900,3236.27446215348,958.142857142857,1200,1090
"50",1986,7510,3937.5936198161,2520,3285.28166663592,1009.71428571429,1210,1070
"51",1987,4840,2851.53120660537,2240,2237.73753424658,956.142857142857,1060,1030
"52",1988,3660,2127.67011295046,2000,1888.41340030404,768.285714285714,1070,913
"53",1989,6980,2992.8681338464,2000,2846.74249079209,966.857142857143,1140,1040
"54",1990,3560,2361.06872583974,1750,1792.06304957599,867.142857142857,1050,927
"55",1991,2550,1563.70054419216,1390,1398.07716270031,628.857142857143,810,776
"56",1992,1770,1227.24175282376,1240,1045.24374127694,417,552,441
"57",1993,8440,3160.58741195796,1790,2842.62468323153,1006.71428571429,1090,618
"58",1994,2460,1901.99894914618,1360,1318.42366149832,599,660,621
"59",1995,8250,3462.93691124038,1780,2709.82086546064,1042.85714285714,1130,959
"60",1996,10600,5323.13736329409,3480,3867.10600540928,1235.71428571429,1400,1270
"61",1997,10700,4960.14461771567,2540,3664.4113385192,1015.71428571429,1200,1140
"62",1998,11100,5743.91668230437,4400,4837.70950966841,1381.42857142857,1440,1270
"63",1999,10600,5233.41324826421,4310,4587.52035568373,1454.28571428571,1610,1520
"64",2000,7640,3725.85489750792,2450,3103.98790685135,1180,1300,1210
"65",2001,3650,2173.82036799508,1770,1675.5228962818,1025.71428571429,1060,1040
"66",2002,4100,2268.93547006943,1770,2107.05344307586,763.428571428571,880,798
"67",2003,5700,2961.5698630137,2270,2459.84930233603,1025.14285714286,1090,982
"68",2004,5200,2640.85821430706,2040,2264.21319064967,694,981,773
"69",2005,5180,2848.4807338899,1960,2010.65968656963,1057.14285714286,1110,1050
"70",2006,10800,5009.70508538187,2560,4821.11467675994,1187.14285714286,1260,1210
"71",2007,7010,3395.79005441922,2260,2484.64066184957,1108.57142857143,1140,1120
"72",2008,4850,2707.69557162493,2190,2531.21664143385,1154.28571428571,1170,1150
"73",2009,3580,2177.59002977865,1900,1899.61556860187,1100,1130,1120
"74",2010,3600,2328.03332707825,2310,2023.19618177865,1078.57142857143,1160,1120
"75",2011,6610,3326.44120848189,2460,3329.93563818221,1254.28571428571,1350,1280
"76",2012,6250,2986.89565529194,2090,2314.07688505109,1164.28571428571,1200,1180
"77",2013,3570,2064.99750219402,1460,1775.13388574895,961.142857142857,1040,992
"78",2014,2920,1796.05309063614,1470,1429.62324043636,945.142857142857,985,969
"79",2015,2800,1902.15239632201,1430,1583.62916227608,934,983,965
"80",2016,6370,3199.60252196259,2230,2538.71856201497,1038.57142857143,1110,1030
"81",2017,10800,4880.03832969539,2520,4005.49838551859,1182.85714285714,1250,1180
"82",2018,6410,2778.85778194783,1640,1713.13536402557,988,1100,1030
"83",2019,5470,2764.10952899231,1610,2285.80574219594,1060,1160,1080
"84",2020,3660,1979.22512400645,1500,1485.33119248693,988.142857142857,1060,1030
"85",2021,2290,1575.10169745794,1460,1448.06673189824,966.571428571429,994,980
"86",2022,2320,1712.43488943489,1670,1579.18729454306,1051.42857142857,1060,994
