"","Year","MeanDischarge","Q10","Q50","Q90","MAM7","MeanBaseflow"
"1",1960,1902.38043478261,751,1935,2759,1428.57142857143,NA
"2",1961,1664.82739726027,828.4,1680,2420,880.428571428571,939.393396315541
"3",1962,1864.04109589041,876,1620,3320,686,1555.04353812094
"4",1963,2076.82465753425,782,1780,3262,715.714285714286,1704.68926453616
"5",1964,2079.42896174863,860,1575,3200,778,1618.03671010228
"6",1965,3627.16712328767,764,2530,8728,722,3383.17734438317
"7",1966,1638.05753424658,729,1500,2984,668.857142857143,1448.43602325718
"8",1967,2147.68219178082,722,1790,3572,697,1852.67279369033
"9",1968,1337.12841530055,729,1320,1880,695,1282.89823361038
"10",1969,2313.68219178082,750,1840,3972,696,1898.13648891822
"11",1970,2530.1397260274,721,1500,5204,701.142857142857,1938.64747102213
"12",1971,3277.71780821918,836,3240,6064,714.142857142857,2486.03364147268
"13",1972,3071.89890710382,780,2790,5805,693.428571428571,2645.20995115995
"14",1973,1773.6,715,1340,3518,667.857142857143,1645.45878995434
"15",1974,3094.09863013699,762,2910,6852,725.714285714286,2552.81752223757
"16",1975,2787.09315068493,918.8,3050,4706,712.857142857143,2539.74667569873
"17",1976,1835.44535519126,719,1745,3075,712.714285714286,1752.96354054621
"18",1977,1277.70410958904,716,1010,1750,708.142857142857,1163.44027841261
"19",1978,2134.9095890411,736.8,1820,3846,728,1867.04046084945
"20",1979,1425.98082191781,733,1320,2362,697.714285714286,1284.6075651343
"21",1980,1798.23224043716,745.5,1350,3330,733.714285714286,1497.10469234334
"22",1981,1395.95342465753,740.4,1040,1810,728,1212.39411561882
"23",1982,3268.48219178082,752,2870,7112,709.571428571429,2686.61024334834
"24",1983,3752.81917808219,1000,2990,7236,721.428571428571,3170.87537076398
"25",1984,3383.71857923497,976,3210,5700,724.714285714286,2993.29298633133
"26",1985,1952.56164383562,733,1790,3260,715.714285714286,1763.60993538225
"27",1986,2521.96438356164,730,1770,4760,717.285714285714,2185.96843647262
"28",1987,1453.14794520548,741.8,1330,2550,727.142857142857,1355.32878886715
"29",1988,1243.72677595628,729.5,1040,1995,549.571428571429,1174.85371543302
"30",1989,2076.09315068493,741,1400,4886,733.142857142857,1786.30576223401
"31",1990,1352.17534246575,737,1340,1820,719.857142857143,1236.59662100457
"32",1991,827.402739726027,546.8,767,938.6,534.571428571429,775.506122872561
"33",1992,648.773224043716,410,528.5,913,390,629.1446900701
"34",1993,2046.39726027397,824.6,1370,5406.00000000001,673.428571428571,1580.93959931143
"35",1994,784.331506849315,569.4,775,963,563.142857142857,726.970995325071
"36",1995,1801.96712328767,768.8,1340,4096,731.428571428571,1283.90642704235
"37",1996,2983.19672131148,1060,1695,6315,1030,2432.83087870021
"38",1997,2625.52328767123,1030,1640,6794,807.142857142857,2330.49522261873
"39",1998,3057.80821917808,1120,2390,6362,1114.28571428571,2560.29833019966
"40",1999,2880.60273972603,1310,1830,6076,1122.85714285714,2626.85703079265
"41",2000,1968.1693989071,1060,1340,3600,1042.85714285714,1810.48004401158
"42",2001,1340.73150684932,1020,1300,1670,979.142857142857,1304.57375459196
"43",2002,1296.04109589041,758.4,988,2050,659.714285714286,1191.0533293952
"44",2003,1487.26301369863,875,1360,2638,729.857142857143,1331.09236768603
"45",2004,1236.68032786885,710,1010,2065,615.142857142857,1158.95549759894
"46",2005,1451.83561643836,824.4,1180,1876,800.428571428571,1291.78211107274
"47",2006,2984.4301369863,1000,2780,5766,978.571428571428,2451.71148983238
"48",2007,1578.19178082192,1030,1330,2802,1020,1491.52792413066
"49",2008,1627.43169398907,1020,1335,2855,1018.57142857143,1547.24252477941
"50",2009,1329.99178082192,995,1320,1610,990.428571428571,1310.24230860464
"51",2010,1197.41095890411,905,1300,1366,814.428571428571,1169.41878669276
"52",2011,1962.46575342466,1050,1340,3826,1012.85714285714,1793.83156550251
"53",2012,1447.90710382514,1000,1030,2970,990.285714285714,1318.64260741268
"54",2013,1120.59726027397,907,1010,1474,901.428571428571,1060.50811915634
"55",2014,1111.27397260274,902,1010,1440,852.714285714286,1032.42753872325
"56",2015,1071.50410958904,877,1000,1336,859.142857142857,1014.18659818112
"57",2016,1495.13114754098,937,1055,2495,916.428571428571,1230.26785383313
"58",2017,2316.35068493151,965,1210,5228,918,1679.4249377335
"59",2018,1225.12328767123,888.8,994,1798,853.857142857143,1042.81193737769
"60",2019,1484.11780821918,908.8,1100,2418,900.714285714286,1248.50395076434
"61",2020,1133.34153005464,896,988,1435,878.857142857143,1025.92496096799
"62",2021,1030.41643835616,924,994,1200,910.857142857143,1012.51016307893
"63",2022,957.708333333333,943.7,948,971.6,944.571428571429,NA
