"","Year","MeanDischarge","Q10","Q50","Q90","Q95","MAM7","MeanBaseflow"
"1",1917,891.630434782609,780,830,1136,1180,780,NA
"2",1918,895.4,630,815,1280,1460,585.428571428571,871.449192845127
"3",1919,962.517808219178,600,710,2048,2404,564.714285714286,896.781596598961
"4",1920,731.196721311475,500,700,982.5,1070,385.428571428571,666.022108378871
"5",1921,1165.42739726027,562,830,2220,2682,500,1101.15062681611
"6",1922,1102.47619047619,570,610,2416,2790,532.285714285714,NA
"7",1923,622.073170731707,548.2,626,696.2,720,530.285714285714,NA
"8",1924,644.696721311475,480,580.5,870,1050,418.714285714286,614.858366451399
"9",1925,1000.67123287671,608,671,1700,2060,569,876.655287908439
"10",1926,689.482191780822,485,610,958,1312,427.142857142857,611.932563600783
"11",1927,1236.0301369863,612.4,792,2480,2886,568.142857142857,1096.07924983692
"12",1928,935.44262295082,556,662,1720,1900,510.714285714286,837.340454224992
"13",1929,696.956164383562,517,618,940,1018,474.714285714286,645.680801344774
"14",1930,664.942465753425,487,585,952,1018,414,615.152354859752
"15",1931,541.8,417,552,631.2,676,358.714285714286,512.922802950474
"16",1932,767.398907103825,492,579,1460,1610,461.571428571429,685.820739254993
"17",1933,666.035616438356,498,567,1010,1130,442.142857142857,601.994794520548
"18",1934,571.854794520548,450,561,710.2,802.4,429.285714285714,539.154390084801
"19",1935,742.482191780822,470,579,1430,1710,420.857142857143,690.080863355017
"20",1936,856.262295081967,492,582.5,1560,2090,477.285714285714,787.411944245637
"21",1937,713.282191780822,460,585,1146,1326,421.857142857143,606.743187535048
"22",1938,1274.35342465753,557,668,3060,4662,536.428571428571,980.527902198152
"23",1939,638.821917808219,455,587,896.600000000001,1196,425.714285714286,580.114031311155
"24",1940,949.010928961749,498,611,1790,2152.5,469,741.536689046906
"25",1941,794.704109589041,534,676,1216,1382,502.428571428571,743.038032170811
"26",1942,960.358904109589,523,714,1796,1938,482.571428571429,832.432640424591
"27",1943,1523.70684931507,608.8,754,3910,4380,600.285714285714,1282.9235640471
"28",1944,720.590163934426,544,676,1010,1147.5,531.428571428571,674.447577847168
"29",1945,860.767123287671,534,683,1540,1790,509.142857142857,762.453637615289
"30",1946,1035.81917808219,546.2,705,2246,2456,521.714285714286,966.130344354036
"31",1947,655.282191780822,497,609,888,942,474,618.299452054795
"32",1948,830.909836065574,510,632.5,1420,1810,497,768.244016176598
"33",1949,808.112328767123,492,604,1570,1650,478.285714285714,736.576774298761
"34",1950,984.547945205479,501,788,1760,1856,477.571428571428,838.719509136551
"35",1951,1196.03835616438,543,876,2626,2824,480.857142857143,1069.51817691937
"36",1952,1619.25683060109,684.5,872,4210,5505,663.285714285714,1492.40949255505
"37",1953,1703.01095890411,754,1600,2888,3340,681,1485.01840943683
"38",1954,1571.90684931507,747,1060,3192,4290,674,1449.03989166443
"39",1955,1058.97260273973,554,898,1636,1844,525.142857142857,938.925391389432
"40",1956,2161.2868852459,868,1435,4740,5457.5,797.714285714286,1904.65205968894
"41",1957,1455.57808219178,648,1140,2716,3070,600,1357.85906745032
"42",1958,1955.54794520548,903.6,1270,3672,4372,842.142857142857,1647.09070282507
"43",1959,969.005479452055,587.2,874,1420,1470,543.428571428571,934.131407914764
"44",1960,948.051912568306,554,808,1555,1695,515.714285714286,904.183252652232
"45",1961,897.690410958904,535,883,1382,1470,500.571428571428,850.037220131467
"46",1962,1080.40273972603,512,966,1898,2258,485,934.948954960904
"47",1963,1154.59726027397,567,872,2226,2488,531,1028.28558960781
"48",1964,1154.39890710383,546,758,1665,2382.5,513.714285714286,886.599627060857
"49",1965,1433.62739726027,614,970,2790,3114,574.285714285714,1269.74470759163
"50",1966,930.53698630137,510.8,778,1602,2192,457,860.656237928962
"51",1967,1171.70410958904,511.4,814,2170,2828,472.428571428571,1016.35000909289
"52",1968,768.049180327869,444.5,663,1130,1437.5,409.285714285714,692.185216627635
"53",1969,1182.69315068493,484,800,2784,3608,474.142857142857,1073.91568611754
"54",1970,1194.55890410959,508,936,2176,2384,462.857142857143,999.237572431739
"55",1971,1504.14520547945,609,995,3380,3660,580.571428571429,1302.85229555832
"56",1972,1384.69945355191,601.5,912,2475,3765,564.142857142857,1268.02228853098
"57",1973,956.419178082192,455,984,1588,1804,422.142857142857,865.305552642277
"58",1974,1504.82465753425,583,1010,2948,3764,555,1281.45224933809
"59",1975,1292.12876712329,631,1030,2390,2860,606.428571428571,1212.01909565321
"60",1976,969.677595628415,610,821,1560,1680,541.142857142857,919.571174863388
"61",1977,756.865753424658,511,684,1010,1198,483.571428571428,722.860736477239
"62",1978,1146.39178082192,523,737,2106,2496,472.857142857143,1009.94522230233
"63",1979,753.764383561644,439,667,1176,1350,412.571428571429,697.551026834919
"64",1980,959.267759562842,477,751,1665,1887.5,446.142857142857,840.206174703608
"65",1981,830.660273972603,390,730,1230,1536,377.428571428571,700.147733516566
"66",1982,1556.62739726027,533.8,1020,3162,3910,494,1233.34951106638
"67",1983,1741.67671232877,709.4,1250,3158,3690,652.857142857143,1483.52905117713
"68",1984,1571.32240437158,685,1230,3035,3420,593,1463.90954115708
"69",1985,1104.35616438356,553.8,926,1888,2696,513.428571428571,1033.85129913152
"70",1986,1411.39178082192,597.4,956,2708,4034,568.714285714286,1251.00399949002
"71",1987,862.115068493151,514,772,1310,1458,491,813.694461806164
"72",1988,750.046448087432,412,756.5,1140,1250,394.571428571428,696.384432734843
"73",1989,1106.98082191781,485.4,678,2810,3104,444.428571428571,983.018336766574
"74",1990,673.304109589041,422.4,585,1146,1238,380.285714285714,625.737950412561
"75",1991,582.391780821918,404,564,813.2,847.4,365.714285714286,551.432317895195
"76",1992,478.915300546448,326,520.5,610.5,624,306.571428571429,460.584186616359
"77",1993,1139.53698630137,486,592,2522,3332,436.142857142857,975.554214692104
"78",1994,514.035616438356,309.4,532,737.6,773.6,293.571428571429,494.818150743965
"79",1995,1073.75342465753,451.8,783,2216,2450,412.571428571428,845.415820473947
"80",1996,1327.3306010929,468.5,930.5,2565,2990,433.285714285714,1107.48646872253
"81",1997,1318.8904109589,492,763,2290,2740,453,1015.35186909384
"82",1998,1427.39178082192,559.4,1350,2646,2994,500.714285714286,1256.71970319635
"83",1999,1412.95342465753,637,1010,2816,3218,566.857142857143,1282.46305936073
