"","Year","Q90","MeanDischarge","MeanBaseflow","MAM7","Q10","Q50","Q95"
"1",1963,365,269.728767123288,NA,22.8571428571429,36.4,119,863.200000000001
"2",1964,895.5,678.215846994535,92.641621129326,15.5714285714286,24,58,1872.5
"3",1965,3150,1640,302.472231949737,100.571428571429,154.8,350,8652.00000000001
"4",1966,233.6,136.208493150685,70.3080160148236,8.67142857142857,15,90,378.2
"5",1967,1376,593.917808219178,114.505422037628,7.5,20,166,3204
"6",1968,1915,844.407103825137,186.539824910015,97.2857142857143,118,238.5,3880
"7",1969,3580,1728.40821917808,440.935298708141,103.142857142857,184.4,511,9368.00000000001
"8",1970,1358,920.246575342466,186.991046716638,30.8571428571429,61,181,3412
"9",1971,818.800000000001,356.364383561644,115.215422615893,16.4285714285714,30.4,180,1176
"10",1972,465.5,259.617759562842,94.5078834650793,7.58571428571428,27.5,117.5,888.75
"11",1973,4706,2201.64657534247,444.544548879388,26.1428571428571,59,500,11460
"12",1974,2820,1310.17534246575,311.67244718529,72.5714285714286,107.4,443,5966
"13",1975,3194,1101.78082191781,391.714174845606,44.8571428571429,70.8,382,4390
"14",1976,514,630.188524590164,90.6940458381356,13.1428571428571,32,68,1487.5
"15",1977,1880,983.819178082192,178.426584064217,29.7142857142857,41,233,4176
"16",1978,1252,532.986301369863,201.025619613291,16.4285714285714,23,144,2070
"17",1979,1486,855.906849315068,180.708527829453,22,41,157,3302.00000000001
"18",1980,508.5,296.131420765027,86.4128538642948,1.1,9.15,70,1225
"19",1981,324,184.717534246575,38.9389628180039,8.12857142857143,19,41,667
"20",1982,2632,883.750684931507,290.941915717464,49,58.4,150,4164
"21",1983,1678,891.312328767123,185.123829138898,31.8571428571429,66.4,174,3710.00000000001
"22",1984,3120,1132.0956284153,372.979542288848,29.1428571428571,52.5,138,5597.5
"23",1985,3460,1541.61095890411,373.961745157728,92.7142857142857,222.4,596,5194
"24",1986,3448,1536.1397260274,485.91838141951,177.571428571429,239.4,446,6492
"25",1987,2862,1384.34520547945,461.819736763001,120.571428571429,135.4,505,5894.00000000002
"26",1988,1495,669.20218579235,251.630809228408,38.5714285714286,49,224,2202.5
"27",1989,1136,719.676712328767,133.490578878183,31.1428571428571,53,138,3506
"28",1990,1420,629.109589041096,206.309220870053,41.4285714285714,51,157,2684
"29",1991,187.6,111.020273972603,42.0036625746036,9.77142857142857,21,57,369.2
"30",1992,2330,975.346994535519,243.849153698189,60.2857142857143,75,185,4617.5
"31",1993,4962,1931.90136986301,754.497617227203,98.7142857142857,121,663,7850
"32",1994,825.400000000001,519.852054794521,118.952034889286,31.1428571428571,44,113,2294
"33",1995,6574,2305.58904109589,601.785161821171,89.5714285714286,104,213,9802
"34",1996,858.5,415.210382513661,128.413375667808,30.7142857142857,55,123,1575
"35",1997,2894,1250.09315068493,359.66832992679,122.285714285714,158,489,5012
"36",1998,3904,2027.60547945205,463.856147617535,44.8571428571429,94.6,578,8470.00000000001
"37",1999,4980,1904.95342465753,539.994723557399,111.428571428571,154.4,726,7632
"38",2000,2695,912.997267759563,244.061149793149,50.5714285714286,71.5,244,4405
"39",2001,2194,855.613698630137,240.958075217748,50.4285714285714,64,178,3468
"40",2002,1376,708.687671232877,118.915781018747,38.2857142857143,56,141,4374
"41",2003,2986,1425.80273972603,280.649582078686,57,117,369,7546
"42",2004,3740,1764.41147540984,382.952144725698,103.8,155,552.5,8190
"43",2005,4834,2126.26849315069,374.661354117462,121.428571428571,145,523,10412
"44",2006,306.6,223.811232876712,78.4103287394493,26.6714285714286,33.2,95.1,800.200000000001
"45",2007,3180,1843.35479452055,287.263413499613,61.5857142857143,85.34,245,9214
"46",2008,7995,2857.65573770492,746.304564379154,224,306,938,12250
"47",2009,3716,1768.55342465753,712.19263903124,229.571428571429,295.2,659,7482
"48",2010,1936,1028.58493150685,397.149562423615,89.6428571428571,103,441,4334
"49",2011,198.2,132.481095890411,58.9402942431138,11.5285714285714,19.32,85.4,245.8
"50",2012,604,286.977595628415,105.839790252249,11.6571428571429,22.65,76.2,1225
"51",2013,2034,998.915616438356,124.848713633399,18.0428571428571,41.74,185,5714
"52",2014,412,324.045205479452,188.349073290432,41.7714285714286,48.72,154,1440
"53",2015,1658,755.72794520548,181.987756234633,42.0571428571428,56.12,117,3296
"54",2016,5000,2100.74590163934,513.763856373191,148.428571428571,186,533.5,10135
"55",2017,3136,1252.76849315068,412.966165486511,91.3,108.4,261,5606
"56",2018,1216,880.011780821918,159.435737308622,51.0285714285714,88.18,178,3482.00000000001
"57",2019,6358,3241.12602739726,828.496450620141,212,252,937,13540
"58",2020,2780,1173.73907103825,384.503313420068,66.6,100.5,391,4900
"59",2021,2324,937.543287671233,NA,84.9285714285714,129,354,3388
