"","Year","MeanDischarge","Q10","Q50","Q90","Q95","MAM7","MeanBaseflow"
"1",1962,605.815217391304,432,522,977.2,1209,362.857142857143,NA
"2",1963,456.372602739726,170,336,754,1144,103.142857142857,266.356091636003
"3",1964,315.620218579235,71,230,434.5,697.5,50.2857142857143,158.192625842079
"4",1965,1713.38356164384,255,807,4226.00000000001,7966,201.571428571429,841.939721898705
"5",1966,452.846575342466,116.8,336,942,1056,90.5714285714286,343.518308589314
"6",1967,1032.62465753425,171,360,2966,5196,95.1428571428571,618.424406392694
"7",1968,566.24043715847,155,346,763,1395,98.4285714285714,262.84699019863
"8",1969,1172.91232876712,318.8,700,2732,4122,176.857142857143,614.717588484128
"9",1970,674.427397260274,146.2,389,1292,2572,81,290.092366818874
"10",1971,834.479452054794,141.4,451,1790,3476,107,326.592928897586
"11",1972,490.48087431694,203.5,357.5,734,1050,140.428571428571,301.577734739486
"12",1973,4019.08493150685,445.8,1720,11180,17960,248.285714285714,1530.10229863034
"13",1974,1654.54246575342,340,975,3478,6040.00000000001,240,808.350056731364
"14",1975,932.756164383562,252.8,487,2080,3926,180.714285714286,442.941478560056
"15",1976,669.418032786885,149,266.5,1340,2615,124,354.249079760294
"16",1977,1050.97260273973,183.2,450,2310,5064,90,364.790681308466
"17",1978,722.594520547945,106.4,335,1982,2326,63.8571428571429,444.63862654849
"18",1979,1366.38630136986,110,574,2940,5244,73.8571428571428,381.808468976632
"19",1980,745.22131147541,86,336.5,1300,2447.5,64.7142857142857,319.104400725351
"20",1981,677.882191780822,114,323,1444,2186,101.428571428571,277.676708970336
"21",1982,592.857534246575,139,294,1326,2542,130,310.827332028702
"22",1983,613.569863013699,110,200,1300,2000,76,285.020269234731
"23",1984,745.267759562842,69.5,185.5,1480,3755,47,278.589908754248
"24",1985,1035.81369863014,165,379,2162,3590,131.571428571429,262.45445790891
"25",1986,623.093150684932,252,353,1016,1678,202.285714285714,295.235750337942
"26",1987,2017.97260273973,290,800,5036,7340,235.428571428571,943.284686804824
"27",1988,423.084699453552,94,312.5,841,1057.5,49,265.30629952925
"28",1989,611.643835616438,90,194,1826,3210.00000000001,41,215.7775654348
"29",1990,388.53698630137,112.4,217,848,1308,71.7142857142857,235.441186391871
"30",1991,139.416438356164,28.4,104,265.6,430.8,13.4285714285714,69.4785388127854
"31",1992,809.726775956284,89.5,274.5,2265,3707.5,71.2857142857143,329.777878314764
"32",1993,3763.40273972603,519.4,1250,9342.00000000001,15240,289.142857142857,934.746622388266
"33",1994,336.712328767123,106.4,323,553.6,607.8,82.7142857142857,251.030965427267
"34",1995,1434.23287671233,158,284,2450,6988,118.428571428571,452.422743086442
"35",1996,882.398907103825,174.5,500,1765,3152.5,152.571428571429,384.132411425408
"36",1997,973.986301369863,481.4,618,1800,3352,427.428571428571,573.229996994031
"37",1998,1717.60821917808,363.2,981,3430,4942,245.285714285714,847.511112966071
"38",1999,1717.89589041096,449.4,844,4136,5348,367.857142857143,1006.13198706605
"39",2000,1128.54644808743,162.5,471.5,2390,3512.5,80.2857142857143,535.995327799643
"40",2001,1127.59178082192,190.4,450,2616,5702,143.142857142857,394.051361229423
"41",2002,573.572602739726,140,251,1140,2438,71.2857142857143,211.62395787303
"42",2003,791.553424657534,132,249,1398,3200,63.2857142857143,246.211815124727
"43",2004,719.450819672131,177,261.5,1100,2092.5,153.285714285714,247.812082931199
"44",2005,966.767123287671,191,363,1646,3784.00000000001,175.285714285714,322.012005025364
"45",2006,179.541917808219,83.72,159,280.8,365,68.7285714285714,117.0300456621
"46",2007,1797.79178082192,182.8,623,3372,6042,106.714285714286,782.432282786908
"47",2008,1155.74043715847,409,634,2185,3712.5,358.714285714286,555.369661643938
"48",2009,1271.53424657534,337.8,540,2278,5778.00000000001,317.571428571429,619.285288922734
"49",2010,925.484931506849,228,428,1156,2462,181.857142857143,384.742730928128
"50",2011,184.413698630137,28.68,182,330,380.6,17.1571428571429,137.196830389329
"51",2012,186.196994535519,26.95,80.3,408,583,24.2285714285714,91.3026030737549
"52",2013,831.821643835616,50.1,273,1126,5806,33.5714285714286,195.420429483154
"53",2014,469.613698630137,170.4,230,795,1780,153,245.418841662757
"54",2015,760.734246575342,154,248,1644,3994.00000000001,135.142857142857,282.401343572713
"55",2016,1126.28961748634,264.5,488,2735,5395,226.285714285714,465.326090507853
"56",2017,914.98904109589,218.4,334,2472,4204,151.571428571429,488.773559153176
"57",2018,769.986849315069,156.8,237,1296,2592,107.614285714286,258.572146118721
"58",2019,2145.80547945205,476.2,903,5364,10300,410.428571428571,1155.54408784518
"59",2020,698.185792349727,230.5,513.5,1385,1927.5,205.857142857143,472.192068683189
"60",2021,799.380952380952,221.6,428,1684,2949.99999999999,164.285714285714,NA
