"","Year","MeanDischarge","Q10","Q50","Q90","MAM7","MeanBaseflow"
"1",1962,152.684782608696,100,137.5,228.3,79.7142857142857,NA
"2",1963,95.7575342465753,14,63,186.8,9,52.7307171635778
"3",1964,41.8950819672131,2.3,11,79,1.7,13.0776155986272
"4",1965,780.583835616438,13,454,1620,6.12857142857143,296.22150761035
"5",1966,206.292054794521,31.4,114,568,15.6857142857143,170.678103896104
"6",1967,211.380273972603,40,102,457.6,3.85714285714286,126.71046042888
"7",1968,112.836612021858,8.5,55.5,165,5.77142857142857,48.0530681946455
"8",1969,222.723287671233,70,205,325.2,35.7142857142857,152.914189349463
"9",1970,131.90904109589,8.6,66,244.6,6.01428571428571,78.2855042446138
"10",1971,206.744931506849,11,83,262.6,6.32857142857143,44.0615252038721
"11",1972,137.926229508197,40,82,291,17,65.3732774839483
"12",1973,742.775342465753,71,244,1348,27.1428571428571,241.89526888749
"13",1974,143.27397260274,24.4,102,298,10.5714285714286,110.933367563354
"14",1975,50.326301369863,11,35,76.6,7.04285714285714,28.6718608692437
"15",1976,46.6360655737705,3,8.9,101.5,2.34285714285714,12.7123822140216
"16",1977,22.3309589041096,4.3,8.7,34.8000000000001,3.7,9.27116513315252
"17",1978,74.212602739726,4.5,8.4,242.6,2.84285714285714,39.6179189697989
"18",1979,116.434794520548,5.2,11,141.2,3.57142857142857,13.5810816387305
"19",1980,57.5072131147541,0.15,8.4,82,0,15.8394852941176
"20",1981,148.692109589041,0.484,36,220.8,0,41.4489568249391
"21",1982,40.8301369863014,5.4,25,68.6,4.52857142857143,18.8903130522446
"22",1983,20.2886849315069,1.24,5.3,11.6,0.73,4.1558718007751
"23",1984,5.66713114754098,0.03,2.3,11,0,3.36039126954986
"24",1985,2.9547397260274,1.2,2.6,5.66,0.698571428571429,1.86246483632456
"25",1986,30.9991780821918,2.5,3.3,44.6,2.45714285714286,4.4548731245923
"26",1987,540.146301369863,5,96,1656,3.78571428571429,285.48964524424
"27",1988,36.8327049180328,1.5,12,101.5,1.15714285714286,32.9773367849872
"28",1989,32.5487671232877,1.9,5.6,37.8000000000001,1.21428571428571,7.07483240292512
"29",1990,31.5986301369863,5.3,6.8,48.4000000000001,4.37142857142857,8.35030136986301
"30",1991,2.83624657534247,0.668,2,5.1,0.268571428571429,2.69669146521622
"31",1992,37.3806010928962,1.4,5.85,84,0.944285714285714,10.6759091163803
"32",1993,392.918082191781,43.4,118,938.600000000001,8.85714285714286,122.472967023754
"33",1994,21.5287671232877,4.4,15,40,3.95714285714286,18.9991689497717
"34",1995,104.138082191781,5,13,261.4,4.05714285714286,39.059387198131
"35",1996,347.363661202186,5.9,77,977.5,3.38571428571429,97.0743792130293
"36",1997,216.652054794521,110,161,368.2,82,168.352550554468
"37",1998,310.194520547945,34.4,182,746.6,17.7142857142857,273.144377966574
"38",1999,473.975342465753,122,201,1458,109.571428571429,397.70349238987
"39",2000,132.151639344262,10,93,286,8.75714285714286,97.0817834220552
"40",2001,125.175890410959,11,27,218.800000000001,9.94285714285714,27.6677586135326
"41",2002,7.33095890410959,1.8,6.1,13,0.981428571428571,5.94732941943901
"42",2003,2.10243835616438,0.04,2,4.26,0.02,1.80470719636333
"43",2004,17.5853825136612,0.03,0.4,5.25,0.02,0.833462570360327
"44",2005,0.580082191780822,0,0.3,1.46,0,0.493261578604044
"45",2006,28.8605479452055,0,0.12,7.12,0,0.258774093587792
"46",2007,276.00498630137,15.8,49.5,661.800000000001,8.09714285714286,66.0001314078463
"47",2008,100.451912568306,20.5,35,150,17.4714285714286,32.9001091896065
"48",2009,81.6846575342466,16.94,31.2,129.2,15.9571428571429,31.4272160388128
"49",2010,81.3627397260274,12.04,16.1,95.54,10.2142857142857,21.0382491319992
"50",2011,9.12997260273973,1.322,6.29,13.16,0.68,6.16507623711905
"51",2012,1.70040983606557,0.01,0.335,4.33,0.01,1.55849810176582
"52",2013,3.05435616438356,0.22,0.78,4.612,0.0971428571428571,1.46176682085038
"53",2014,9.394,1.95,3.89,9.67000000000001,1.26,4.18744544861531
"54",2015,45.1080821917808,4.2,7.7,49.8,2.64428571428571,11.2647050290295
"55",2016,136.981174863388,6.4,15.2,171.5,5.97857142857143,25.2584264778937
"56",2017,199.732767123288,11.04,17,472.000000000002,10.0342857142857,69.4567482061318
"57",2018,106.248273972603,8.76,12.5,137.4,6.28,23.6576585294073
"58",2019,453.181917808219,62.34,88,690.800000000001,52.8571428571429,127.007563057186
"59",2020,68.7628415300546,17.65,56.55,89.45,14.6142857142857,40.5413374967473
"60",2021,59.3654945054945,13.52,28.4,92.84,9.78285714285714,NA
