"","Year","Q90","MeanDischarge","MeanBaseflow","MAM7","Q10","Q50","Q95"
"1",1963,754,456.372602739726,NA,103.142857142857,170,336,1144
"2",1964,434.5,315.620218579235,152.105432340883,50.2857142857143,71,230,697.5
"3",1965,4226.00000000001,1713.38356164384,700.343194271482,201.571428571429,255,807,7966
"4",1966,942,452.846575342466,350.151453576865,90.5714285714286,116.8,336,1056
"5",1967,2966,1032.62465753425,484.641895835479,95.1428571428571,171,360,5196
"6",1968,763,566.24043715847,260.798894093156,98.4285714285714,155,346,1395
"7",1969,2732,1172.91232876712,607.882944336313,176.857142857143,318.8,700,4122
"8",1970,1292,674.427397260274,290.286733208314,81,146.2,389,2572
"9",1971,1790,834.479452054794,342.112959713881,107,141.4,451,3476
"10",1972,734,490.48087431694,271.347538355189,140.428571428571,203.5,357.5,1050
"11",1973,11180,4019.08493150685,1568.47166924588,248.285714285714,445.8,1720,17960
"12",1974,3478,1654.54246575342,789.261431280758,240,340,975,6040.00000000001
"13",1975,2080,932.756164383562,434.695562770563,180.714285714286,252.8,487,3926
"14",1976,1340,669.418032786885,359.282919569805,124,149,266.5,2615
"15",1977,2310,1050.97260273973,381.044079147641,90,183.2,450,5064
"16",1978,1982,722.594520547945,451.804642864522,63.8571428571429,106.4,335,2326
"17",1979,2940,1366.38630136986,370.296105943644,73.8571428571428,110,574,5244
"18",1980,1300,745.22131147541,312.688530822547,64.7142857142857,86,336.5,2447.5
"19",1981,1444,677.882191780822,258.534847708252,101.428571428571,114,323,2186
"20",1982,1326,592.857534246575,310.099174323477,130,139,294,2542
"21",1983,1300,613.569863013699,281.115816640438,76,110,200,2000
"22",1984,1480,745.267759562842,289.940085870414,47,69.5,185.5,3755
"23",1985,2162,1035.81369863014,261.363812785388,131.571428571429,165,379,3590
"24",1986,1016,623.093150684932,294.486886781407,202.285714285714,252,353,1678
"25",1987,5036,2017.97260273973,958.543522472404,235.428571428571,290,800,7340
"26",1988,841,423.084699453552,265.701527889233,49,94,312.5,1057.5
"27",1989,1826,611.643835616438,215.689978055757,41,90,194,3210.00000000001
"28",1990,848,388.53698630137,240.68480193904,71.7142857142857,112.4,217,1308
"29",1991,265.6,139.416438356164,72.9178105534451,13.4285714285714,28.4,104,430.8
"30",1992,2265,809.726775956284,332.436528283822,71.2857142857143,89.5,274.5,3707.5
"31",1993,9342.00000000001,3763.40273972603,1144.58854149879,289.142857142857,519.4,1250,15240
"32",1994,553.6,336.712328767123,256.432572987045,82.7142857142857,106.4,323,607.8
"33",1995,2450,1434.23287671233,473.690682468217,118.428571428571,158,284,6988
"34",1996,1765,882.398907103825,388.03768106514,152.571428571429,174.5,500,3152.5
"35",1997,1800,973.986301369863,524.118463351717,427.428571428571,481.4,618,3352
"36",1998,3430,1717.60821917808,838.69481946254,245.285714285714,363.2,981,4942
"37",1999,4136,1717.89589041096,1012.21125778331,367.857142857143,449.4,844,5348
"38",2000,2390,1128.54644808743,526.244019429265,80.2857142857143,162.5,471.5,3512.5
"39",2001,2616,1127.59178082192,485.657782539533,143.142857142857,190.4,450,5702
"40",2002,1140,573.572602739726,212.224515741408,71.2857142857143,140,251,2438
"41",2003,1398,791.553424657534,246.116227505627,63.2857142857143,132,249,3200
"42",2004,1100,719.450819672131,271.02058287796,153.285714285714,177,261.5,2092.5
"43",2005,1646,966.767123287671,330.950030717436,175.285714285714,191,363,3784.00000000001
"44",2006,280.8,179.541917808219,123.138886445566,68.7285714285714,83.72,159,365
"45",2007,3372,1797.79178082192,773.072043371193,106.714285714286,182.8,623,6042
"46",2008,2185,1155.74043715847,544.46616139828,358.714285714286,409,634,3712.5
"47",2009,2278,1271.53424657534,605.07819927409,317.571428571429,337.8,540,5778.00000000001
"48",2010,1156,925.484931506849,385.815779373234,181.857142857143,228,428,2462
"49",2011,330,184.413698630137,133.387466109097,17.1571428571429,28.68,182,380.6
"50",2012,408,186.196994535519,91.0620775589378,24.2285714285714,26.95,80.3,583
"51",2013,1126,831.821643835616,194.784953368082,33.5714285714286,50.1,273,5806
"52",2014,795,469.613698630137,241.82094017094,153,170.4,230,1780
"53",2015,1644,760.734246575342,284.01423941266,135.142857142857,154,248,3994.00000000001
"54",2016,2735,1126.28961748634,437.638387978142,226.285714285714,264.5,488,5395
"55",2017,2472,914.98904109589,516.227810839476,151.571428571429,218.4,334,4204
"56",2018,1296,769.986849315069,267.541658255227,107.614285714286,156.8,237,2592
"57",2019,5364,2145.80547945205,1083.38872999147,410.428571428571,476.2,903,10300
"58",2020,1385,698.185792349727,470.452692685275,205.857142857143,230.5,513.5,1927.5
"59",2021,1370,684.550684931507,NA,164.285714285714,205.4,363,2412
