"","Year","MeanDischarge","Q10","Q50","Q90","MAM7","MeanBaseflow"
"1",1958,191.926168224299,8,14,494.900000000001,6.15714285714286,NA
"2",1959,174.092602739726,4.28,13,86.6000000000001,0.2,20.0738201851868
"3",1960,112.757923497268,7,22,168,3.45714285714286,19.8540180006429
"4",1961,135.870684931507,10,23,181.4,5.98571428571429,18.8309374928053
"5",1962,75.2452054794521,14,26,85.6,10.5,20.2611714503153
"6",1963,50.2775342465753,2.14,11,67.6,0,8.35520290341857
"7",1964,9.23715846994535,0,2.95,14.5,0,2.54137918745545
"8",1965,36.6679452054795,0,0.4,53.2,0,2.63608148016367
"9",1966,3.30328767123288,0,0,4,0,0.499178082191781
"10",1967,133.830383561644,0,1,214.6,0,14.1032704807951
"11",1968,23.6831147540984,0,0.38,8.7,0,0.638077889875666
"12",1969,43.8503835616438,0.05,3.7,60,0,1.50991297340854
"13",1970,36.0416712328767,0.08,1,9.26000000000002,0.00285714285714286,0.541580507803829
"14",1971,34.608904109589,0.06,2,39.2,0,1.10938877423946
"15",1972,26.574043715847,0.54,1.4,29.5,0.294285714285714,2.29152286240558
"16",1973,174.968219178082,4.62,31,266.8,2.17142857142857,32.5724735597326
"17",1974,35.7499726027397,1,17,63.6,0.605714285714286,19.9284455075224
"18",1975,21.0870684931507,0.13,4.4,12,0.0442857142857143,3.06914393154522
"19",1976,19.4584972677596,0,0.3,14,0,0.36116145839089
"20",1977,3.72342465753425,0,0,3.2,0,0.22684516672117
"21",1978,17.0279178082192,0,0,6.20000000000002,0,0.125232876712329
"22",1979,56.847397260274,0,0.12,24.6,0,1.01731176946101
"23",1980,12.8381147540984,0,0,1.95,0,0
"24",1981,21.241397260274,0,0,16,0,0.657016985244335
"25",1982,5.74756164383562,0,0,8.18000000000001,0,0
"26",1983,0.0851506849315068,0,0,0,0,0
"27",1984,2.99450819672131,0,0,4.5,0,0
"28",1985,2.15021917808219,0,0,0.0560000000000014,0,0
"29",1986,9.68487671232877,0,0,12.6,0,0.00299191919191919
"30",1987,111.436136986301,0,0.02,192.6,0,11.1439145937776
"31",1988,1.15786885245902,0,0,1.35,0,0.0552101400421073
"32",1989,8.16024657534247,0,0,6.12000000000002,0,0
"33",1990,19.4364931506849,0,0,18.6,0,0.269981735159817
"34",1991,1.57339726027397,0,0,0,0,0
"35",1992,37.2513387978142,0,0,50.5,0,2.54159691602286
"36",1993,203.899726027397,15.4,75,387.6,1.77142857142857,56.2036276748142
"37",1994,30.5294246575342,1.2,30,55.6,0.00142857142857143,23.3969743323647
"38",1995,28.9310136986301,1.54,14,43.8000000000001,0,17.8842924693215
"39",1996,106.796994535519,10,48,195.5,6.07142857142857,30.3541403045325
"40",1997,43.5871232876712,17,28,62.4000000000001,10.3285714285714,25.3528030390238
"41",1998,55.4438356164384,16.4,29,88.8000000000001,13,26.6275603392042
"42",1999,84.8739726027397,24.4,34,106.8,21.7142857142857,31.8036529680365
"43",2000,41.1612021857923,4,24.5,71.5,2.4,20.0407551255479
"44",2001,108.112328767123,11.4,19,145.2,5.01428571428571,18.2471306383797
"45",2002,9.43619178082192,0.214,7.6,20,0.00714285714285714,7.99407223145947
"46",2003,4.01805479452055,0,2.5,8.12,0,2.21925994781474
"47",2004,22.0551639344262,0,0.03,19,0,0.910241781249496
"48",2005,3.41978082191781,0,0.81,6.61600000000001,0,1.14791661318734
"49",2006,41.5742191780822,0,0,15.82,0,0.460515655577299
"50",2007,105.69101369863,9.858,31,228.2,6.33714285714286,25.4659428059808
"51",2008,69.0378142076503,13.75,21.95,113,9.96285714285714,23.3627280732845
"52",2009,22.0763287671233,5.554,18.9,29.06,4.06142857142857,14.3021990199794
"53",2010,26.8395616438356,2.05,14.4,37.3,0.96,9.3280179332588
"54",2011,17.9333698630137,0,3.36,12.32,0,3.41591073795846
"55",2012,1.76341530054645,0,0,0.31,0,0.00365027322404372
"56",2013,2.64452054794521,0,0,0,0,0
"57",2014,16.5589315068493,0,0,8.434,0,0.156256669069935
"58",2015,2.70194520547945,0,0,4.01,0,0.201850092091631
"59",2016,32.0925683060109,0,0,61.9,0,0.802971932439146
"60",2017,30.5004383561644,0,2.06,50.7400000000001,0,4.82936867958275
"61",2018,27.899698630137,0.03,4.48,22.34,0,4.03138027488571
"62",2019,153.959178082192,27.68,36.6,283.6,21.8428571428571,40.1885818845307
"63",2020,44.5767759562842,16.55,25,58.9,12.9714285714286,23.4804638303409
"64",2021,71.0174246575342,15.84,21.4,122.6,8.20714285714286,22.9653609543942
"65",2022,NA,15.5,19,19.7,19.4142857142857,NA
