"","Year","MeanDischarge","Q10","Q50","Q90","MAM7","MeanBaseflow"
"1",1961,453,80.3,120,1306,57.4285714285714,NA
"2",1962,183.227397260274,29,59,270,17.1428571428571,45.9739347920412
"3",1963,99.5871232876712,10,24,55,5.14285714285714,17.7120741337631
"4",1964,127.912295081967,4.65,16,104,1.44285714285714,16.0146001254451
"5",1965,437.852054794521,35,59,623.000000000001,23.1428571428571,41.8923720528827
"6",1966,25.5501369863014,1.5,13,46,0.971428571428571,14.5723421971528
"7",1967,185.848410958904,4.2,28,162.2,1.28142857142857,22.5139463124395
"8",1968,222.982240437158,18,37,233.5,12.8571428571429,29.5122222119371
"9",1969,373.087671232877,37,82,581.6,19.2857142857143,71.2806001304631
"10",1970,177.409589041096,11.4,35,167.2,4.18571428571429,30.1600964537835
"11",1971,53.7618082191781,2.3,21,89.6,1.24285714285714,13.0111905459757
"12",1972,40.4048087431694,1.7,15,40.5,0.532857142857143,9.27149848210085
"13",1973,432.76904109589,16.4,70,730.8,4.71428571428571,60.0999411945058
"14",1974,243.082191780822,23,72,350.4,17,51.1662018132284
"15",1975,257.482191780822,16,59,336.4,12,59.7415354228607
"16",1976,109.252459016393,6.05,17,72.5,3.41428571428571,14.0771966970426
"17",1977,156.563835616438,7.94,29,161.4,6.02857142857143,19.5024708834008
"18",1978,116.697260273973,4.6,21,153,3.75714285714286,31.9315937031006
"19",1979,263.887945205479,10,41,260.6,7,31.6375678203075
"20",1980,63.2678961748634,1.25,17,97,0.642857142857143,19.5786567180275
"21",1981,35.9575342465753,4.6,12,114,3.14285714285714,9.72353840679868
"22",1982,95.9221917808219,9.18,24,163.8,4.51428571428571,30.7190518223859
"23",1983,126.02904109589,6.42,18,148.6,3.12857142857143,22.0819771672623
"24",1984,178.847540983607,6.05,29.5,334.5,3.45714285714286,46.7260484664317
"25",1985,350.476712328767,42.4,81,407.4,21.1428571428571,55.9862051155041
"26",1986,188.501369863014,33,63,176.6,25.4285714285714,49.1431308109953
"27",1987,237.624657534247,27,71,320.6,22.4285714285714,56.5797005019995
"28",1988,119.401092896175,10,38,141,7.7,36.0842357827882
"29",1989,138.593150684932,12,25,239.6,9,24.4290883134219
"30",1990,172.380821917808,16.4,38,252.6,13.2857142857143,42.9843226788432
"31",1991,22.6425479452055,1.34,16,29.6,0.468571428571429,10.2377990463137
"32",1992,204.660109289617,13,30,293.5,9.17142857142857,27.682724207075
"33",1993,451.487671232877,27,95,740.200000000001,23.7142857142857,76.9244945947001
"34",1994,69.5257534246575,5.74,22,64.0000000000001,3.77142857142857,17.0952651914296
"35",1995,608.394520547945,17,44,1078,14.2857142857143,58.2935803819245
"36",1996,82.5827868852459,14,25.5,102,5.95714285714286,25.8722279561731
"37",1997,307.131506849315,25,60,540.8,22.5714285714286,47.6314033683212
"38",1998,490.132876712329,19,77,543.4,10.5,61.0517116690464
"39",1999,372.991780821918,33,78,828.200000000001,28.1428571428571,66.0238885297709
"40",2000,122.414754098361,9.2,42,241,6.14285714285714,39.5289875977713
"41",2001,213.365753424658,12,30,436.4,10.3571428571429,36.9485432451871
"42",2002,90.5098630136986,4.68,15,76.8000000000001,2.11428571428571,10.5657933558871
"43",2003,249.588219178082,13,40,270.4,4.71428571428571,31.5065796739344
"44",2004,305.148907103825,29.5,55,400.5,22,47.1353885185852
"45",2005,415.756438356164,28.9,56.1,390.400000000001,26.7428571428571,46.7330326725091
"46",2006,16.6417534246575,1.63,10.1,25.04,0.968571428571429,10.8492676377536
"47",2007,149.020191780822,5.8,27.7,149.2,3.82857142857143,20.1445012321519
"48",2008,419.32650273224,42.55,95.7,827,33.0857142857143,67.0521032747492
"49",2009,352.172054794521,36.28,71.2,393.6,23.5571428571429,60.3771985935655
"50",2010,299.243561643836,24.6,68.2,322.6,23.3857142857143,54.193052687039
"51",2011,37.9412328767123,2.052,18,40.4,1.47428571428571,13.6891610946131
"52",2012,51.8881967213115,2.55,14.75,66.7,1.31285714285714,15.15032671814
"53",2013,309.780520547945,6.726,33.4,208.2,3.86,23.3353212463067
"54",2014,86.9979726027397,10,28.3,74.68,6.01714285714286,23.51091886196
"55",2015,215.960109589041,10.24,23.3,371,7.18714285714286,27.417762241959
"56",2016,411.380054644809,33.45,69.1,738,22.8857142857143,63.260146310884
"57",2017,240.377808219178,22.14,49.4,462.2,18.2,56.5079449073195
"58",2018,136.552849315068,10.92,24.9,121.6,5.20285714285714,21.6554119524311
"59",2019,526.41698630137,40.4,82.9,860.2,35.1428571428571,81.0901828878884
"60",2020,211.299453551913,16.8,62.15,341.5,12.3571428571429,65.1267435337545
"61",2021,190.458356164384,25.76,41.1,316.400000000001,15.8285714285714,34.9461083662047
"62",2022,NA,22.7,25.4,28.24,23.6571428571429,NA
