"","hyear","Q10","MeanQ","Q50","MeanBaseflow","MAM7","Q90","Q95"
"1",1925,46.2,33.3416829311158,9,8.78682463128621,2.14285714285714,4,4
"2",1926,19.6,16.5167123287671,4,2.05148316741825,0.857142857142857,2,1
"3",1927,58,27.9578678303247,7,6.21239192526579,1,2,1
"4",1928,55,30.6261653768814,12,16.1355421415657,2,3,2
"5",1929,25,39.4897499943743,11,9.19104038115213,2.85714285714286,6,4
"6",1930,17,37.5933195721524,8,5.52745596868885,0,1,0
"7",1931,48,24.0017504222181,11,10.2326480181114,0,1,0
"8",1932,15.5,15.5624633956852,4,3.55219907237811,0.2,2,1
"9",1933,95,63.9497468439884,4,12.2961747034791,0,2,2
"10",1934,15.6,39.838573841246,4,3.15985137433969,1,2,1
"11",1935,242.4,128.689893038093,2,4.28988315874295,0,0,0
"12",1936,16.5,69.7083457837806,6,4.35865221647526,0,0,0
"13",1937,12.6,25.2715257619058,2,1.3466500622665,0,0,0
"14",1938,68,47.9235503846876,3,4.07924252562874,0,1,0
"15",1939,20.6,39.9285419403265,2,1.50306136785589,0,0,0
"16",1940,66.5,94.3283021646296,2,2.57094972067039,0,0,0
