"","hyear","Q10","MeanQ","Q50","MeanBaseflow","MAM7","Q90","Q95"
"1",1903,2670,1192.86419262041,445,536.660908953551,44,145,105
"2",1904,5000,2008.97881431901,644,911.163554890411,150,238,195
"3",1905,5206,2309.21553257727,1210,994.556781756352,134.714285714286,500,389.000000000001
"4",1922,3894,1542.58655986088,362,542.061220040355,5.64285714285714,8.54,6.4
"5",1923,4890,2419.60861700131,483,807.506223916139,13.8571428571429,28.4,24
"6",1924,2990,1551.77789398195,1320,1050.44832266737,133.571428571429,296,181.25
"7",1925,755,621.112386267318,322,265.412241219252,101.285714285714,150,124.2
"8",1926,755,853.19101519985,439,305.410780031143,55.1428571428571,177,104.6
"9",1927,5440,1937.85477200225,1030,1171.62037409318,460,485,475
"10",1928,3400,1850.65968445587,930,953.265836224164,224.285714285714,550,371.25
"11",1929,4688,1798.2595918,1140,829.837891560494,222.142857142857,415,295
"12",1930,1620,1192.38627134547,672,531.314060087403,117.285714285714,314,209.8
"13",1931,1350,772.167483580409,718,585.138430121936,69.4285714285714,158.2,104
"14",1932,1120,615.790952010996,545,473.675983104565,107.857142857143,144,135.75
"15",1933,1286,753.58790701861,295,322.82722154798,71.4285714285714,121.8,95
"16",1934,559.6,477.755143554138,360,285.708508829151,59.8571428571429,71,63.4
"17",1935,4970,1434.04607993995,327,705.721557127412,116.142857142857,207.6,182
"18",1936,883.5,824.884524592123,374,293.239571357604,84.8571428571429,170,150
"19",1937,2130,843.249773097204,510,456.557062112241,288.428571428571,318,297
"20",1938,3046,1245.23656220679,525,594.931460076843,254.571428571429,293,265.2
"21",1939,1312,875.511443047476,500,443.797025696123,184,318,272
"22",1940,1660,863.608415549993,340,381.694090728213,138.428571428571,150,150
