"","hyear","Q10","MeanQ","Q50","MeanBaseflow","Q90","MAM7","Q95"
"1",1963,1960,1070.31040893913,771,671.376721272555,453,352.285714285714,374
"2",1964,1930,1178.31449829678,650,458.072058038349,342,148.428571428571,265
"3",1965,5360,2554.90902885604,1120,1032.70840516677,552,253.571428571429,432
"4",1966,2180,1337.38706699193,785,930.697276581866,250,206.142857142857,222
"5",1967,3020,1316.56549446425,614,828.352853881279,305,201.857142857143,258
"6",1968,2190,1281.33229247595,638,494.979391100703,377,305.714285714286,328
"7",1969,3990,1958.97076891919,1120,1240.07267616946,554,392.857142857143,477
"8",1970,3240,1655.05431413023,1000,849.879096839234,413,207.714285714286,297
"9",1971,2740,1394.15058735222,910,532.612954548668,407,281.285714285714,332
"10",1972,1500,875.413180541445,649,645.09143081717,391,227.142857142857,350
"11",1973,11300,4684.07881965541,1480,1594.77627787052,514,365.285714285714,449
"12",1974,7580,3559.85598799024,1750,2089.71129647089,712,616.857142857143,624
"13",1975,5100,2379.84737849503,1590,1450.9196486054,580,516.571428571429,440
"14",1976,3760,1548.99085639156,631,829.807040406906,335,243.571428571429,292
"15",1977,5000,1923.26483494228,857,775.627457137555,377,261.428571428571,326
"16",1978,3360,1466.99599174329,768,958.427944898766,295,141.142857142857,196
"17",1979,4260,2160.85284293488,1270,694.837214418912,270,200,228
"18",1980,3570,1804.97597561704,1120,1183.12309193539,246,211.142857142857,223
"19",1981,2400,1297.19686161555,843,468.951460500566,327,197.857142857143,263
"20",1982,3690,1590.71390504785,745,1026.59404233304,392,457.428571428571,363
"21",1983,4000,1771.7669581535,729,833.305036174084,399,276.428571428571,349
"22",1984,4600,1901.55967250344,649,997.443590449488,267,145,198
"23",1985,4850,2424.62047600831,1150,714.838353733851,505,186,356
"24",1986,3740,2179.06545318071,1240,1048.42300564061,778,662.714285714286,700
"25",1987,7790,3372.39454306624,1700,1808.82634971797,911,962.571428571429,790
"26",1988,3640,1867.45033765613,1250,1008.95585585816,306,194.571428571429,279
"27",1989,3140,1470.02697330423,670,668.142423410123,355,242,300
"28",1990,2010,1090.20099831113,606,756.62101087343,312,248,281
"29",1991,1360,668.999151810846,400,333.667963158537,207,124.285714285714,176
"30",1992,2580,1233.06575330186,541,511.52547173434,342,170.714285714286,234
"31",1993,9630,4405.84504601814,2000,2112.02504146899,520,376.571428571429,409
"32",1994,4200,2034.4005629574,907,727.482279375813,363,276.142857142857,308
"33",1995,5970,2581.19317695628,776,1391.152927157,417,254.571428571429,380
"34",1996,4960,2203.56294448097,1100,670.696018507904,473,406.857142857143,439
"35",1997,5210,2351.28319719166,1520,1227.26354642314,776,905.714285714286,556
"36",1998,5560,2963.33082379433,1700,1574.57226301096,797,410.285714285714,514
"37",1999,7660,3606.58648151623,2230,2156.28937155601,895,596.142857142857,757
"38",2000,6390,2805.38031136078,1550,1291.17285974499,464,303.142857142857,360
"39",2001,4920,2191.90352318159,1050,1120.61883103019,443,308.285714285714,354
"40",2002,3630,1701.96587727529,723,553.927475137762,454,308,386
"41",2003,4190,1875.73233252017,798,794.271949237977,441,222.571428571429,337
"42",2004,4780,2265.34285543537,1030,985.387219770212,570,492.714285714286,487
"43",2005,4940,2416.13512155239,1180,1066.40438933573,550,484.857142857143,491
"44",2006,2120,1106.2173991368,525,452.515001498563,292,257.428571428571,256
"45",2007,7950,3063.33586789266,774,1634.59774498114,392,222.285714285714,305
"46",2008,7650,3532.73583637124,1610,1195.95358499907,617,475.285714285714,502
"47",2009,7010,3167.02506807084,1420,1568.99131243063,647,312.428571428571,530
"48",2010,4800,2435.97351097767,1180,1129.1778267348,528,471.285714285714,461
"49",2011,1610,984.802987427285,570,433.233939129161,154,123.857142857143,134
"50",2012,1200,633.487865296121,381,350.747256281917,137,89.7142857142857,106
"51",2013,2840,1735.86743476076,621,424.74962686223,206,158.571428571429,168
"52",2014,2140,1236.81277538,638,650.783178951946,389,389.714285714286,322
"53",2015,3070,1551.02564833928,632,618.924015854108,394,372.714285714286,375
"54",2016,6030,2898.54102671368,1200,1130.80887245856,510,331,437
"55",2017,6210,2490.1652677453,1010,1369.91977190485,536,408.285714285714,488
"56",2018,4390,2110.27961718897,769,500.689071537291,468,269.714285714286,417
"57",2019,10100,4928.42355413774,1810,2544.73215442092,577,600.428571428571,495
"58",2020,4310,2603.40169126875,1430,1195.75816633977,516,485.857142857143,468
"59",2021,3280,1598.13729078289,1040,751.830221115579,515,384,467
