"","hyear","Q10","MeanQ","Q50","MeanBaseflow","MAM7","Q90","Q95"
"1",1963,172.4,84.3520547945206,41,40.4037128969898,3.02857142857143,5.7,4.5
"2",1964,101,106.601639344262,24.5,20.7146876918537,1.77142857142857,3.3,2.6
"3",1965,1514,990.739726027397,24,147.308065762226,2.71428571428571,4.1,3.2
"4",1966,634,387.043835616438,350,271.64125807982,173.428571428571,199.4,176
"5",1967,490,271.035616438356,216,207.087766945204,36.1428571428571,110,83.4
"6",1968,333,155.805191256831,126,101.088964387161,7.78571428571428,35,17.25
"7",1969,337.6,171.334246575342,117,98.4417005196032,11.5571428571429,56,32.4000000000001
"8",1970,468.8,200.597260273973,146,137.196146148972,44,74.8,59.2
"9",1971,270,159.879452054795,141,102.954599866514,28.1428571428571,62,43.4
"10",1972,287.5,156.44262295082,123,84.1927413366661,26.4285714285714,58,47.0000000000001
"11",1973,378,159.879452054795,112,94.5534176187124,22,50,34
"12",1974,161,92.555397260274,91,63.3841217329006,0.0642857142857143,0.363999999999999,0.112
"13",1975,100.2,48.0573424657534,17,13.8462120427518,0.118571428571429,0.58,0.29
"14",1976,43.5,25.6696994535519,13,11.2315945409028,0.371428571428571,0.93,0.6425
"15",1977,79.6,29.4190410958904,5.6,6.94547824324374,0.164285714285714,0.791999999999999,0.454000000000003
"16",1978,111.6,45.401397260274,1.4,10.8573619362174,0.591428571428571,0.76,0.68
"17",1979,24.6,13.996904109589,1.3,1.77334122635356,0.628571428571429,0.73,0.662
"18",1980,607.5,139.975546448087,27,113.125648095801,0.568571428571429,0.875,0.6625
"19",1981,108.2,66.6520547945206,43,32.4148321145329,6.78571428571428,15,12
"20",1982,228.6,85.2219178082192,45,39.2855513986417,14,20,18
"21",1983,493,192.975342465753,108,157.733202154931,53.2857142857143,81.4,75
"22",1984,488,239.489071038251,153,168.115186703097,60.5714285714286,100,84.25
"23",1985,556.8,327.386301369863,223,224.677572170421,97.8571428571428,142,131
"24",1986,570.8,322.002739726027,246,225.369178789035,140.571428571429,162,151.2
"25",1987,2210,681.895890410959,255,514.078671755998,188.571428571429,194,191
"26",1988,640.5,324.890710382514,238,250.501385243658,152.142857142857,182,165.25
"27",1989,305.400000000001,188.704109589041,168,152.358971378697,84.8571428571428,107.4,92.2
"28",1990,157,115.841095890411,111,87.5174037834312,20.1428571428571,40,26.2
"29",1991,123,93.186301369863,78,78.8556976154236,19.4285714285714,39.4,25
"30",1992,156,100.234972677596,86.5,64.7782062958292,19,26,23.25
"31",1993,263.600000000001,140.547945205479,108,115.530616141849,38.8571428571429,63.8,52.4
"32",1994,323,160.432876712329,142,130.650243578472,51.4285714285714,77.4,70
"33",1995,732.400000000003,365.997260273973,155,270.962097947714,78.4285714285714,117,109.2
"34",1996,668.5,364.196721311475,240.5,264.328025276181,157.285714285714,176.5,165
"35",1997,585.4,352.761643835616,264,280.130190950602,187.714285714286,201,192.4
"36",1998,1040,575.186301369863,471,426.007257337853,176.428571428571,278.8,246.4
"37",1999,2526,715.024657534247,313,588.084492075384,192.142857142857,204,201
"38",2000,689,364.672131147541,303,297.439259433207,121.428571428571,222,152
"39",2001,480,247.279452054795,193,210.061078812543,95.4285714285714,136.8,113.4
"40",2002,131,91.5882191780822,101,67.3210197869102,2.64285714285714,17.4,5.92
"41",2003,57,37.0978082191781,44,33.1316078165909,1.21428571428571,1.5,1.3
"42",2004,147.5,68.0830601092896,34,30.6203267521678,1.27142857142857,1.45,1.3
"43",2005,291.2,115.968657534247,66.2,99.3509876524398,6.31857142857143,24.34,9.28800000000001
"44",2006,103,63.4345205479452,53.7,37.7773695609665,1.77,6.948,4.32
"45",2007,250.8,167.527671232877,133,136.118685260663,48.9142857142857,70.56,56.44
"46",2008,163.5,115.667486338798,94.5,103.625404789503,41.3428571428571,61.2,48.675
"47",2009,188,125.18904109589,94.5,107.663150860555,54.4142857142857,69.42,63.64
"48",2010,210.8,149.952876712329,118,99.9592316407457,44.7857142857143,62.54,51.3
"49",2011,118.2,75.5290410958904,57.8,60.0155284081943,10.9857142857143,26.44,19.7
"50",2012,79.95,36.6317759562842,43.5,31.6834781420765,0.295714285714286,0.53,0.43
"51",2013,1.888,2.76643835616438,0.51,0.532050196887581,0,0.06,0.0120000000000002
"52",2014,163.4,69.044301369863,29.4,45.0859181698951,0.277142857142857,8.218,3.20000000000002
"53",2015,571.6,161.94301369863,59.7,135.368587354406,26.9571428571429,42.12,36.24
"54",2016,512.5,198.077322404372,128,145.419221745164,76.9285714285714,88.15,79.6
"55",2017,457,200.68,128,171.071521383367,87.2142857142857,96.72,91.24
"56",2018,478.2,216.827123287671,162,181.848153195763,70.9285714285714,98.84,93.54
"57",2019,471.6,195.952876712329,136,178.27191817378,79.4714285714286,101,89.52
"58",2020,218,119.241530054645,110,111.561744430433,29,42,33.05
"59",2021,209.6,85.1994520547945,59.5,73.4071058094219,24.5714285714286,29.78,25.24
