"","Year","Q90","MeanDischarge","MeanBaseflow","MAM7","Q10","Q50","Q95"
"1",1902,322,116.428571428571,NA,30,30,40,563
"2",1903,572.000000000001,485.991780821918,32.3829937330154,8,8,20,2650.00000000001
"3",1904,1740,821.114754098361,116.424174084782,2,8,130,3662.5
"4",1905,4150,1240.38356164384,468.199166372195,23.1428571428571,42,110,5800
"5",1906,690,330.040441176471,NA,7.71428571428571,20,100,1340
"6",1921,6915,2199.30373831776,NA,73.8571428571428,80,200,8675
"7",1922,259,102.776504297994,NA,3.14285714285714,4,71,341
"8",1923,3188,1195.2,445.604474589338,5,18,653,4420
"9",1924,1100,421.387978142077,303.831150079297,6,9,244,1247.5
"10",1925,351,381.928767123288,88.5952695598787,7,10.4,124,2024
"11",1926,276.6,105.904109589041,59.3293496609935,2.28571428571429,5,64,340
"12",1927,1090,515.068493150685,159.326321650952,4.28571428571429,9.4,84,3842.00000000001
"13",1928,899,436.133879781421,171.69107420794,6,11,117,2757.5
"14",1929,387,319.668493150685,110.507991327144,3.57142857142857,11.4,148,609.4
"15",1930,645.4,307.490410958904,154.349785888829,7.14285714285714,12,220,810.8
"16",1931,463,154.586301369863,100.285722486078,1,2,63,533
"17",1932,184,84.4508196721311,31.9130543295502,3.57142857142857,6,30,300
"18",1933,323.6,236.67397260274,41.6535954744607,6,15,78,945.6
"19",1934,137,75.8328767123288,28.0481996086106,1.71428571428571,2,11,160
"20",1935,590.200000000001,317.112328767123,84.2992504683963,13,15,59,1236
"21",1936,668.5,451.213114754098,39.6941227255364,3.28571428571429,11,70,1815
"22",1937,152.4,150.153424657534,26.2230922398073,1.57142857142857,3,29,391.2
"23",1938,550.400000000002,302.797260273973,48.7110531861794,4.71428571428571,18,103,1256
"24",1939,231,78.0630136986301,39.9674825722849,1,1,7,291
"25",1940,81,38.0437158469945,9.07603922330936,1,2,10,146
"26",1941,1280,552.356164383562,226.622872561229,26,38,388,1504
"27",1942,5480,1875.19178082192,1031.97028450018,152.714285714286,235.8,635,6850
"28",1943,402,192.104109589041,102.5341054631,2,4,135,694.8
"29",1944,855,430.590163934426,154.68259592431,48.5714285714286,95,170,1377.5
"30",1945,413.2,219.534246575342,138.383183950082,87.2857142857143,104,170,479
"31",1946,322,181.652054794521,95.1768541982428,1,6,140,604.6
"32",1947,1538,562.493150684931,290.57662585792,44.2857142857143,128,224,2330
"33",1948,463,269.445355191257,164.054232804233,94.4285714285714,135,203,583.75
