"","Year","MeanDischarge","Q10","Q50","Q90","Q95","MAM7","MeanBaseflow"
"1",1922,116.687804878049,21,38,118,216.4,18.8571428571429,NA
"2",1923,356.860273972603,28,64,476.400000000001,1602,24.2857142857143,63.9954980273554
"3",1924,138.748633879781,33,64,145,299,27.8571428571429,53.2083631589267
"4",1925,33.5561643835616,19,25,50,61,17,26.9840149196314
"5",1926,92.1452054794521,15,27,114.2,211.4,12.7142857142857,26.7901977400206
"6",1927,260.26301369863,41,60,542.600000000001,1080,32.4285714285714,68.5342718096611
"7",1928,198.062841530055,44,60,449,950,38,72.03872191864
"8",1929,295.597260273973,50,72,386,1400,41.4285714285714,64.4176445848707
"9",1930,88.4164383561644,30,47,110.4,229.4,22.8571428571429,46.8669153930968
"10",1931,52.4493150684931,16,32,64,85.0000000000001,11.5714285714286,30.5492987606001
"11",1932,87.2486338797814,23,41,115,278.75,19.8571428571429,36.300173869846
"12",1933,79.1616438356164,10,24,94,301.8,7.85714285714286,19.4965715240323
"13",1934,27.4301369863014,12,21,40.6,68.4,9.71428571428571,16.930511617539
"14",1935,213.816438356164,21,28,248.400000000001,968.600000000002,18.7142857142857,47.2092096561669
"15",1936,38.2131147540984,11,23,31,43.75,9,20.5155602366668
"16",1937,119.802739726027,21,27,239.6,577.2,18.4285714285714,28.8935099401682
"17",1938,243.832876712329,25,43,557.4,1308,21.8571428571429,48.7791988634752
"18",1939,117.953424657534,24,38,143,353.600000000001,22.2857142857143,32.4959817351598
"19",1940,87.7568306010929,22,34,143,251,19.8571428571429,33.9620530150513
"20",1941,296.504109589041,36,69,689.000000000001,1406,30.8571428571429,65.6541661230702
"21",1942,386.652054794521,70,118,1016.8,2280,62.4285714285714,113.286809999026
"22",1943,150.832876712329,39,71,264,522.2,32.1428571428571,64.1595335033572
"23",1944,750.31693989071,56,125,1840,4255,39.8571428571429,120.281946571188
"24",1945,496.386301369863,66,117,749,1820,43.8571428571429,119.88883437562
"25",1946,89.186301369863,28.4,58,140,246.6,26.2857142857143,51.1456469557492
"26",1947,285.049315068493,30,51,564.600000000001,1600,27.2857142857143,60.135538247736
"27",1948,552.024590163934,45.5,91,1280,3560,37.8571428571429,99.5434204380926
"28",1949,496.304109589041,53,121,1562,2796,49.2857142857143,141.883767123288
"29",1950,343.747945205479,45,63,733.200000000001,1782,40.7142857142857,84.2197179103464
"30",1951,1014.21095890411,58,180,2442,5688.00000000001,43.5714285714286,161.770530747791
"31",1952,126.707650273224,30,52,242.5,462.75,27.2857142857143,75.3273879679376
"32",1953,47.2849315068493,18,38,71.6,124.6,16,30.3907332697744
"33",1954,36.2378082191781,12,21,45.6,80.2,10.9714285714286,17.7435992774349
"34",1955,84.3890410958904,6,20,60.8000000000002,167,4.35714285714286,15.3694403737921
"35",1956,14.7218579234973,3.5,12,23,28,1.92857142857143,9.99737583941639
"36",1957,452.087671232877,10,39,585.400000000002,1554,7.11428571428571,54.9659334724726
"37",1958,435.07397260274,37,100,1378,2572,32.8571428571429,90.9906956890054
"38",1959,163.830136986301,28,66,239.2,567.8,21.2857142857143,52.78191115557
"39",1960,528.909836065574,66,132.5,1160,2652.5,51.7142857142857,97.1776855550964
"40",1961,332.978082191781,60.4,95,586.000000000001,1390,53.5714285714286,83.4898386376901
"41",1962,451.983561643836,59.4,85,414.8,1368,40.5714285714286,73.5139455002677
"42",1963,119.049315068493,26,46,136.2,483.2,17.8571428571429,39.0633020765384
"43",1964,122.590163934426,21,40,182,367.75,15.5714285714286,31.3796324718726
"44",1965,483.715068493151,45,72,858.6,2862,40.5714285714286,76.323846683403
"45",1966,59.5671232876712,18,38,76,107,16.2857142857143,34.501015433163
"46",1967,379.161643835616,21,57,1096,2330,14.5714285714286,63.9683197931025
"47",1968,196.27868852459,24,52.5,200,496.25,18,40.0621539019363
"48",1969,363.783561643836,49.4,90,925.6,1648,36,83.8490704500978
"49",1970,208.150684931507,23,47,283.6,1108,15.1428571428571,44.460338495136
"50",1971,299.065753424658,28,58,560.600000000003,1868,19,51.6843527946671
"51",1972,113.713114754098,27,42,149,298.5,19.2857142857143,36.9629195940671
"52",1973,1252.8,59,215,3462,7908,50.1428571428571,199.121851329889
"53",1974,553.076712328767,63.4,134,1242,3022,48,118.507962811869
"54",1975,284.430136986301,50,101,482.8,1270,37.5714285714286,92.0456273102848
"55",1976,233.975409836066,29,52,374.5,935.5,23.4285714285714,58.9253924885072
"56",1977,593.816438356164,36,98,1366,4556.00000000001,30.8571428571429,77.8589683375985
"57",1978,230.8,22,66,519.200000000001,892,13.8571428571429,72.03030047924
"58",1979,588.750684931507,23,116,1416,2246,18.5714285714286,70.6461571239189
"59",1980,343.795081967213,21,80,432,1497.5,14.1428571428571,67.3689201596922
"60",1981,209.832876712329,26,47,277.4,474.6,12,39.3932107050204
"61",1982,241.143561643836,18,56,539.400000000001,1320,13.2857142857143,58.3967971173638
"62",1983,267.995616438356,14,33,525,1264,8.84285714285714,45.524021747438
"63",1984,395.15956284153,8.85,41,808.5,2302.5,5.62857142857143,70.0086146045878
"64",1985,614.257534246575,39.4,101,1562,3080,17.5714285714286,66.4109687876811
"65",1986,295.208219178082,56.4,83,428.6,1062,39.8571428571428,71.4485172828836
"66",1987,633.780821917808,60,114,1292,3934,54.8571428571429,100.308104063543
"67",1988,90.5901639344262,14,52,137,217.75,12,39.4874740014084
"68",1989,225.883561643836,22,36,544.800000000001,1266,10.0142857142857,40.6680433492421
"69",1990,107.776438356164,12,37,185,457.6,3.15714285714286,35.3775409068429
"70",1991,48.806301369863,4.32,20,102.6,219.8,2.02857142857143,14.5801625339399
"71",1992,350.437158469945,22,44,787,2075,19.1428571428571,57.8226724502609
"72",1993,1588.86301369863,67,189,5628,9176,64.4285714285714,172.715428452826
"73",1994,73.0728767123288,13,50,96.4000000000001,160.6,9.94285714285714,34.4845699065014
"74",1995,693.608219178082,27,48,1242,5084.00000000002,24.4285714285714,112.144791297527
"75",1996,242.29262295082,34.5,55,429.5,1247.5,7.44285714285714,45.8660483247778
"76",1997,358.249315068493,53.4,80,1180,2120,34.8571428571429,63.9693150684932
"77",1998,616.824657534247,26,138,1558,2528,18.1428571428571,120.074120672675
"78",1999,509.002739726027,60.4,132,1778,2596,55.2857142857143,124.045182648402
"79",2000,331.754098360656,23,90,829.5,1767.5,21,85.0786640339196
"80",2001,486.67397260274,24.4,69,613.600000000001,2734,16.8571428571429,80.8965143000075
"81",2002,255.896712328767,11,45,433.200000000002,1202,5.85714285714286,35.0366870307593
"82",2003,395.535068493151,13,59,778.800000000001,1770,7.2,52.5971147463071
"83",2004,323.903005464481,38,63.7,393.5,1127.5,31.8285714285714,61.4507370962318
"84",2005,451.174794520548,38.86,81.1,1003.2,2360,34.6285714285714,74.6627778421897
"85",2006,39.9298630136986,11,26.8,60.02,95.12,8.48428571428571,24.884875698972
"86",2007,451.588493150685,21.84,63,1080,2468,17.8857142857143,59.0631711714518
"87",2008,370.67349726776,57.95,102.5,697,1610,29.7285714285714,79.6323949929172
