"","Year","MeanDischarge","Q10","Q50","Q90","Q95","MAM7","MeanBaseflow"
"1",1958,51.5434782608696,38,52,62,69.9,37.1428571428571,NA
"2",1959,288.967123287671,47,166,666.6,1088,26.4285714285714,149.439870359275
"3",1960,232.81693989071,25,104,527.5,772.5,23.1428571428571,106.420599350023
"4",1961,118.071232876712,30.8,82,200.8,346.2,20,79.7637512499517
"5",1962,142.120547945205,36,57,264.8,485,7.71428571428571,67.6494082581682
"6",1963,92.9315068493151,17,30,209,394.2,13.5714285714286,37.6760792201203
"7",1964,46.6284153005465,15,31,102.5,145.25,10.8,32.0257539599399
"8",1965,162.104109589041,17,49,408,820.4,10.1428571428571,46.3021974020666
"9",1966,152.808219178082,28,86,385.200000000001,496,22,76.0740575075609
"10",1967,210.523287671233,36,128,515,739,24.5714285714286,141.92944949647
"11",1968,281.188524590164,73,138,587.5,958.75,60.5714285714286,109.476782742598
"12",1969,243.950684931507,38,135,609,832,30,134.945294259016
"13",1970,185.457534246575,42,126,389.4,574,33.5714285714286,95.8362910253597
"14",1971,173.342465753425,20,65,365.4,724,16,83.6576680549283
"15",1972,225.773224043716,47,135,433,618.75,38.8571428571429,144.074173274625
"16",1973,320.808219178082,42,177,934,1098,21.5714285714286,205.344470688957
"17",1974,328.479452054795,34.8,108,1028,1470,26.8571428571429,132.484530899912
"18",1975,349.076712328767,70.2,198,710.000000000001,995,41.7142857142857,151.583572021586
"19",1976,270.445355191257,34,84,785,1040,22.7142857142857,159.592246917835
"20",1977,123.701369863014,28,55,335,462,20.8571428571429,69.8537801696021
"21",1978,137.997260273973,24,65,283.8,625,15.2857142857143,58.9676837591963
"22",1979,153.364383561644,28.4,65,369.4,549,18,77.8680158730159
"23",1980,206.248633879781,55,129,468.5,662.5,40.1428571428571,112.575852198803
"24",1981,247.53698630137,34,156,508,952,22.5714285714286,112.766836124861
"25",1982,237.764383561644,38,111,548,845.000000000001,26.4285714285714,128.117707064962
"26",1983,238.235616438356,38,135,646,809,27.8571428571429,152.308538394826
"27",1984,163.948087431694,24,88,460,603.75,13.5714285714286,85.7065675217315
"28",1985,335.224657534247,51,149,851,1228,31,211.736664399212
"29",1986,298.882191780822,50,200,573,1064,36,137.606053885232
"30",1987,142.257534246575,36.8,99,282,419,18.5714285714286,92.7534962978222
"31",1988,194.620218579235,24,143,460,583.25,14.4285714285714,122.903873942183
"32",1989,228.515068493151,67,143,484.2,606.8,52.1428571428571,146.55691385207
"33",1990,291.471232876712,50.4,225,602,800.200000000001,28.7142857142857,153.101081840534
"34",1991,223.052054794521,33,159,540.4,632,26,127.748050024957
"35",1992,339.407103825137,105,275,647,872.5,52.4285714285714,185.276031733276
"36",1993,381.161643835616,129.6,253,767.600000000001,1058,89.5714285714286,210.885603154836
"37",1994,376.243835616438,101.4,268,760,980.8,76.7142857142857,162.888811256035
"38",1995,221.986301369863,50.4,153,473.8,666.2,34.5714285714286,132.460846055831
"39",1996,191.439890710383,41,119,409,523.75,31,107.049785824376
"40",1997,241.287671232877,72,161,453.2,678,54.1428571428571,140.735603775757
"41",1998,267.46301369863,35,76,715.2,1148,27.1428571428571,149.556427733358
"42",1999,144.967123287671,30,61,284.6,460.6,16.8571428571429,71.3058463454354
"43",2000,165.021857923497,49.5,127,290,445.25,44.7142857142857,91.9253567648792
"44",2001,310.205479452055,43,207,586,887.6,28.5714285714286,162.55216814215
"45",2002,181.081917808219,31,75.7,451.6,591.4,20,124.200266885679
"46",2003,128.065479452055,27.08,62.4,281.8,388,18.3428571428571,76.7236421486712
"47",2004,236.137431693989,54.6,139.5,529,672.5,37.9571428571428,133.188586337459
"48",2005,206.709589041096,24.84,81.6,548.6,710,15.3,107.640976169406
"49",2006,278.730684931507,57.78,199,603,828.6,32.4285714285714,137.632618956739
"50",2007,257.16301369863,52.82,154,600,826,33.5857142857143,136.437577832886
"51",2008,355.871857923497,56.1,186,807,1140,31.6,167.482874464307
"52",2009,370.401643835616,71.38,190,915.6,1248,52.2285714285714,184.603394877904
"53",2010,188.493424657534,43.54,111,460.4,725,35.8714285714286,104.420953136265
"54",2011,333.478904109589,67.1,191,878.8,1050,56.9142857142857,179.871883018047
"55",2012,162.069672131148,27.8,69.85,411,504.75,21.2,106.272287224544
"56",2013,237.189315068493,49.54,140,524.2,853.6,32.9714285714286,96.7124774587557
"57",2014,259.28904109589,96.08,141,540.8,936,78.4428571428572,159.038001528187
"58",2015,187.210410958904,59.6,119,337.2,614.6,51.2714285714286,110.966035439185
"59",2016,275.262295081967,57.25,203.5,599,742.5,31.2857142857143,165.832072468284
"60",2017,348.94301369863,41.84,229,840.6,1015.6,32.0285714285714,164.809899243767
"61",2018,313.479178082192,48.3,185,603.2,1026.8,39.0714285714286,137.646981024878
"62",2019,305.513150684932,61.26,247,667.6,797.8,50.8142857142857,158.651474687314
"63",2020,305.527322404372,59.85,167.5,672,1050,47.3857142857143,150.471282801898
"64",2021,224.264468864469,73.52,136,529,723.8,61.5714285714286,NA
