"","Year","Q90","MeanDischarge","MeanBaseflow","MAM7","Q10","Q50","Q95"
"1",1960,2155,1013.37431693989,NA,205.714285714286,250,664,2735
"2",1961,1220,625.778082191781,389.664840182648,178.571428571429,220,472,1708
"3",1962,1318,641.668493150685,396.57335050832,162.428571428571,219,333,2228
"4",1963,952,409.942465753425,198.706297811777,85.2857142857143,122,200,1474
"5",1964,559,293.431693989071,178.946135831382,101.142857142857,131,220,732
"6",1965,1812,749.178082191781,291.739344673591,115,160.4,329,3026
"7",1966,1646,724.328767123288,416.958113804004,167.571428571429,185.4,480,2058
"8",1967,2190,926.597260273973,666.165519240362,165.714285714286,223.6,631,2846
"9",1968,2295,1246.01639344262,702.68430361157,394.142857142857,450,900,3575
"10",1969,2548,1206.38904109589,804.162377690802,248.857142857143,320.8,851,3286
"11",1970,1714,942.904109589041,647.519416639597,262,340,795,2128
"12",1971,1832,844.183561643836,550.101878208309,171.714285714286,226,445,3000
"13",1972,1790,1097.66393442623,751.898797945923,307.142857142857,371,838.5,2685
"14",1973,3286,1434.77260273973,963.418950532973,241.285714285714,400,964,3820
"15",1974,4200,1517.11780821918,801.946010002174,252.857142857143,285.8,735,5300
"16",1975,2636,1397.76438356164,788.382341220423,286.714285714286,418,1050,3364
"17",1976,3380,1229.34153005464,862.480794176958,187.285714285714,262,577.5,4110
"18",1977,1500,629.827397260274,414.732420091324,161.285714285714,213.4,379,1908
"19",1978,1512,756.797260273973,454.120589456206,151.285714285714,237.4,450,3182
"20",1979,1850,803.309589041096,489.429008206405,174.285714285714,220,450,2376
"21",1980,2015,990.644808743169,711.443925101917,320,420,750,2607.5
"22",1981,2286,1154.22191780822,676.661430237657,285.285714285714,445.8,878,3440
"23",1982,5535,1759.94444444444,NA,487.142857142857,499,699.5,7476.5
"24",1988,1889,758.799065420561,NA,153,186,385,2511.5
"25",1989,2050,1117.61917808219,793.236284466607,396.142857142857,454.8,854,2512
"26",1990,2480,1429.27397260274,920.152844268205,328.857142857143,410.4,1270,3030
"27",1991,2356,1177.83561643836,774.052739726027,230.714285714286,309.6,943,2772
"28",1992,2410,1455.07650273224,983.239936748133,397.428571428571,675.5,1360,2837.5
"29",1993,2910,1660.35342465753,1179.62884978099,549.285714285714,744.6,1230,3886
"30",1994,2496,1370.48219178082,783.070319634703,429.142857142857,523.2,1220,2998
"31",1995,1856,1023.55890410959,680.383399083825,307.857142857143,392.4,840,2346
"32",1996,1695,886.112021857924,572.292110113626,209,290,699,2030
"33",1997,2046,1107.04109589041,754.944642857143,325.142857142857,430.8,849,2668
"34",1998,2902,1245.21643835616,798.007474437963,282.571428571429,331,698,3982
"35",1999,1482,763.06301369863,436.364665716125,148.714285714286,239.2,469,1972
"36",2000,1570,935.598360655738,602.458424089572,307.142857142857,412.5,800,1840
"37",2001,2450,1395.4602739726,967.889274632708,223.428571428571,303.4,1170,3610
"38",2002,1930,880.493150684931,665.504566210046,202.285714285714,230,527,2340
"39",2003,1410,673.380821917808,453.801587242286,205.571428571429,240,432,1636
"40",2004,2205,1175.48360655738,776.393371536656,278.428571428571,395.5,811.5,3002.5
"41",2005,2190,995.084931506849,632.562046966732,225.142857142857,266.4,600,2646
"42",2006,2384,1313.14246575342,843.495302175665,282.142857142857,465,1130,2810
"43",2007,2546,1211.67397260274,823.032487625187,206.285714285714,312,955,2942
"44",2008,3445,1668.85245901639,1060.45233749431,232.857142857143,439.5,1135,4272.5
"45",2009,3468,1668.60273972603,1081.96564134496,407.857142857143,502.4,1120,4436
"46",2010,2240,1040.94520547945,725.119486408726,320.285714285714,361.4,751,2774
"47",2011,3612,1697.07123287671,1043.56736947618,383.571428571428,477,1230,4264
"48",2012,2230,940.114754098361,715.082647771172,186.285714285714,218,504,2547.5
"49",2013,2282,1116.75890410959,699.21961679649,329.714285714286,376.2,818,3426
"50",2014,2360,1203.61369863014,889.791393481342,422.857142857143,517,815,3630
"51",2015,1816,1045.38356164384,730.64269250283,321.857142857143,426.2,748,3048
"52",2016,2420,1241.53278688525,831.287346192932,231,336.5,996.5,2760
"53",2017,3196,1556.55342465753,930.143892870775,206.571428571429,296.2,1190,3632
"54",2018,2984,1442.48219178082,838.010478197602,297,357.4,964,4180
"55",2019,2646,1493.97534246575,965.264454227527,370.571428571429,485.6,1300,3198
"56",2020,2975,1486.26229508197,950.777204618778,323.571428571429,417.5,1045,3997.5
"57",2021,2158,1183.6301369863,NA,339.142857142857,417,1010,2972
