"","Year","MeanDischarge","Q10","Q50","Q90","MAM7","MeanBaseflow"
"1",1923,1339.51612903226,1200,1250,1570,1200,NA
"2",1924,1329.17486338798,660,1200,2190,550.857142857143,754.547970335675
"3",1925,1116.7397260274,514,960,1882,404.428571428571,676.371206784083
"4",1926,1750.01369863014,855,1550,2906,648.571428571428,1159.71650358774
"5",1927,1545.16712328767,580,1240,3170,536.857142857143,949.546391508035
"6",1928,1611.45901639344,810,1360,2780,751.428571428571,1118.22891828117
"7",1929,1655.64383561644,515.2,1120,3956,376.571428571428,1136.49478474604
"8",1930,1252.86849315069,448,835,2420,390,905.316121195762
"9",1931,775.279452054795,448,798,1082,353.142857142857,540.250273237435
"10",1932,1358.40163934426,622,1210,2230,554.857142857143,883.937043608317
"11",1933,1571.70410958904,760,1330,2874,603.714285714286,1116.97389733554
"12",1934,943.756164383562,456,712,1492,429.142857142857,691.657382039574
"13",1935,1054.98082191781,622,975,1710,512.714285714286,687.44
"14",1936,1087.90983606557,407.5,885,1970,348.285714285714,753.170344546164
"15",1937,1749.89863013699,885,1620,2718,772.857142857143,1120.45264187867
"16",1938,1650.99726027397,652,1260,3030,555.285714285714,1156.89686888454
"17",1939,1637.65753424658,760,1150,3680,594.571428571428,1157.47137337548
"18",1940,1292.04371584699,706,1140,1975,570,770.8014571949
"19",1941,1241.37808219178,422.4,1300,1946,309.142857142857,871.27644684083
"20",1942,1884.50410958904,1030,1580,3380,802.285714285714,1382.57956077408
"21",1943,2470.6904109589,1314,2120,4350,1092.28571428571,1935.56595383665
"22",1944,1520.82513661202,622,1050,3420,498,1090.84044583225
"23",1945,1352.51506849315,694.8,1200,2090,653.142857142857,920.425815394651
"24",1946,1034.27671232877,378,824,1948,310.857142857143,673.894443647382
"25",1947,2141.16164383562,900.8,1380,4876,792.857142857143,1663.25550501916
"26",1948,1682.36338797814,640,1210,3485,486.142857142857,1148.28967544295
"27",1949,1634.19452054795,820,1360,2728,660,1248.87062183479
"28",1950,2904.54794520548,1110,2420,5248,909.571428571428,2058.30891198236
"29",1951,2114.91506849315,1150,2100,3060,948,1770.17645140248
"30",1952,2130.24590163934,846,1590,4020,733.571428571429,1727.45290729307
"31",1953,980.476712328767,449.8,874,1640,432.857142857143,770.520287018917
"32",1954,1590.65753424658,661.4,1600,2756,555.857142857143,1198.47278538813
"33",1955,1413.78630136986,613.2,1210,2752,494.714285714286,1057.95595877059
"34",1956,1377.24863387978,602,983,3025,515.428571428571,965.391380932365
"35",1957,1086.06849315068,585.4,1020,1696,502,769.705283757339
"36",1958,1112.74520547945,708,997,1610,613.142857142857,827.273778580628
"37",1959,1545.6904109589,647,1250,3032,489,1260.79497106439
"38",1960,1836.39890710383,827,1620,3225,769.428571428571,1448.93205276812
"39",1961,1331.81095890411,698.8,1180,2152,552,827.214807566862
"40",1962,1200.53150684932,547.6,913,2406,459,817.723364638246
"41",1963,746.109589041096,255.4,609,1306,291,378.257701418985
"42",1964,596.401639344262,329,538,1030,277.571428571429,345.515118172764
"43",1965,1334.13150684931,605.6,1060,2544,486.714285714286,997.826040443575
"44",1966,1541.41095890411,702.4,1470,2644,654,1027.88475212003
"45",1967,1711.46575342466,650,1620,3170,585.857142857143,1398.49331509211
"46",1968,1877.17486338798,1085,1770,2680,935.428571428571,1372.58445167685
"47",1969,2064.79178082192,938.4,1980,3340,779.571428571429,1658.42777678942
"48",1970,1694.74520547945,913.4,1570,2882,804.857142857143,1359.3816224871
"49",1971,1292.68219178082,555.8,949,2624,500.857142857143,1049.53479044548
"50",1972,1518.49726775956,782,1380,2485,607.285714285714,1222.73643637783
"51",1973,2149.42739726027,1094,1890,3492,963,1681.44637587118
"52",1974,2153.23835616438,769.2,1840,4236,731,1673.59688570742
"53",1975,1942.23287671233,1020,2000,2900,824.142857142857,1552.12372410478
"54",1976,1910.25956284153,697.5,1390,4030,550.428571428571,1414.22624189116
"55",1977,1290.93150684932,642.8,1050,2446,459.428571428571,1027.03428451801
"56",1978,1818.87945205479,967.2,1450,3498,670.857142857143,1426.50961396941
"57",1979,1808.99452054795,904.4,1500,3348,715.571428571428,1435.88845717969
"58",1980,2103.85245901639,1375,1845,3460,1290,1637.9997553954
"59",1981,2279.09589041096,1450,2080,3466,1168.57142857143,1710.91128506197
"60",1982,2390.56164383562,955.2,2000,4156,871,2014.75687163113
"61",1983,1941.55342465753,874.2,1770,3378,675.714285714286,1568.38834989212
"62",1984,1685.30327868852,663.5,1600,2970,383,1261.921583534
"63",1985,2256.19178082192,780,1750,4568,670.142857142857,1583.15348808018
"64",1986,2191.03835616438,1268,2050,3180,935,1708.50017562346
"65",1987,1380.86575342466,640.4,1350,1982,519.571428571428,1070.23798705518
"66",1988,1615.16393442623,448.5,1755,2830,281.857142857143,1341.38382022307
"67",1989,1985.81095890411,1034,1670,2830,906.142857142857,1413.11252372746
"68",1990,2245.47945205479,1020,2100,3598,810.285714285714,1724.78955299725
"69",1991,2033.75890410959,823,2160,3100,741.142857142857,1652.70108561983
"70",1992,2020.27322404372,1175,1990,2830,790.142857142857,1732.21276333252
"71",1993,2500.57260273973,1260,2210,3966,956,2063.39483677926
"72",1994,1576.86301369863,830.8,1550,2422,784,1328.59647544237
"73",1995,1517.81369863014,885.8,1530,2120,783.571428571429,1231.62461649742
"74",1996,1567.85245901639,729.5,1440,2770,577.428571428571,1192.44086651054
"75",1997,2047.62465753425,1094,1890,3374,639.428571428571,1698.47015438139
"76",1998,1858.79178082192,764.8,1280,3806,538.857142857143,1518.48986812274
"77",1999,1419.82739726027,572,975,2770,433.428571428571,1148.29508218133
"78",2000,1517.20491803279,793,1270,2675,755.285714285714,1230.87236533958
"79",2001,2261.03561643836,963.6,2140,3540,624.714285714286,1882.21254749816
"80",2002,1685.61095890411,623.2,1120,3088,547.285714285714,1450.71095890411
"81",2003,1285.14794520548,687.4,1050,2196,532.285714285714,983.344762657434
"82",2004,1772.82513661202,871,1605,2785,747.857142857143,1325.23287470726
"83",2005,1569.68493150685,580.4,1060,3144,467,1247.76556207871
"84",2006,1762.51506849315,946.2,1630,2626,626.571428571429,1461.97075582793
"85",2007,2006.24931506849,772.2,1980,3336,378.857142857143,1623.52871794872
"86",2008,2703.05464480874,782.5,2170,5005,455,2089.85224884405
"87",2009,2535.17260273973,1064,2050,4566,887.142857142857,2007.23405977584
"88",2010,1703.44657534247,861.8,1570,3010,800.857142857143,1456.98916562889
"89",2011,2042.03287671233,879.6,1770,3820,784.857142857143,1632.76569807666
"90",2012,1533.37431693989,442.5,902.5,3390,335.857142857143,1281.3201795169
"91",2013,1700.02191780822,817.4,1440,2896,620.142857142857,1149.8247553816
"92",2014,1857.57808219178,920,1690,3032,651.428571428571,1512.8825297699
"93",2015,1551.91506849315,901,1320,2604,830.285714285714,1269.45482138061
"94",2016,1685.44262295082,904,1670,2475,567.857142857143,1400.21677513864
"95",2017,2177.95342465753,602.4,2100,3692,535.142857142857,1680.81155562474
"96",2018,2656.01369863014,1260,2090,4590,1018.85714285714,1924.5536520317
"97",2019,2540.2301369863,1210,2560,3746,971.857142857143,2147.99795554121
"98",2020,2282.89617486339,890,1740,4180,674.857142857143,1814.64707159871
"99",2021,1793.23287671233,896.8,1510,2976,661.428571428571,1439.79916445807
"100",2022,2001.875,1630,1830,2686,1641.42857142857,NA
