"","Year","MeanDischarge","Q10","Q50","Q90","Q95","MAM7","MeanBaseflow"
"1",1901,952.006535947712,332,615,1645,2622.5,260,NA
"2",1902,1051.83561643836,398.4,842,1924,2214,204,622.759708632311
"3",1903,1220.1397260274,395.2,776,2412,3934,333.285714285714,661.582384949408
"4",1904,1300.89617486339,248,416,2780,6690,206,544.356577954335
"5",1905,964.975342465753,342.8,646,1798,2636,306.142857142857,482.983105022831
"6",1906,965.213235294118,290,674,2019,2808.5,210,NA
"7",1934,137.804347826087,100,130,200,227.6,100,NA
"8",1935,479.660273972603,126,292,1056,1674,102.428571428571,204.399985950123
"9",1936,427.978142076503,78.5,233.5,1135,1767.5,44.4285714285714,215.552155434123
"10",1937,832.545205479452,247,427,1902,3444,189.285714285714,373.288158295282
"11",1938,704.224657534247,138.8,352,1760,2300,115.142857142857,400.280160704124
"12",1939,580.18904109589,111,248,1606,2180,75.4285714285714,343.269107574537
"13",1940,548.021857923497,161,378.5,1175,1687.5,92.1428571428571,306.584907485218
"14",1941,548.120547945205,106,412,1050,1360,69.8571428571429,287.131395953399
"15",1942,854.958904109589,241.4,516,1618,3220,152,401.888110096398
"16",1943,1341.56164383562,313.2,830,3410,4768,223.714285714286,796.481914546641
"17",1944,709.926229508197,152,264.5,1770,2295,126.857142857143,419.472092115535
"18",1945,823.934246575343,201.2,565,1770,2316,176.428571428571,496.988430181935
"19",1946,561.282191780822,102.8,319,1230,2176,78.4285714285714,250.45498140328
"20",1947,1260.31780821918,274,644,2928,3574,232.142857142857,806.886433809721
"21",1948,1036.53005464481,175.5,387,2600,4105,133.285714285714,477.884270101483
"22",1949,816.947945205479,196,491,1824,2472,168.285714285714,404.257061762806
"23",1950,1339.74794520548,293.4,772,3014,4450,191.285714285714,704.898858447489
"24",1951,1033.91506849315,249,778,2020,2468,193.571428571429,678.691036588982
"25",1952,1011.34426229508,212.5,591.5,2510,3122.5,162,604.607723329841
"26",1953,541.978082191781,152.4,358,1256,1480,126.857142857143,355.412150862836
"27",1954,929.087671232877,208.8,655,1960,2496,157.428571428571,569.847498979099
"28",1955,674.93698630137,158,428,1780,2128,114,484.961120310987
"29",1956,930.407103825137,176.5,360,2260,4310,146.285714285714,492.385327786967
"30",1957,751.169863013699,196,582,1506,1912,171,402.199271012093
"31",1958,453.517808219178,188,324,895.8,1168,166.571428571429,276.409608718795
"32",1959,930.221917808219,189.6,588,2246,3244,108.428571428571,582.73786058602
"33",1960,880.994535519126,217,533.5,2010,2542.5,169,524.415277344573
"34",1961,555.813698630137,190,408,1100,1606,158.428571428571,329.569284336456
"35",1962,539.66301369863,174,264,1202,2044,113.857142857143,332.093784700392
"36",1963,357.950684931507,77,158,884.2,1320,44.7142857142857,160.685118169502
"37",1964,243.896174863388,99,178,487,671.75,78,146.526069499797
"38",1965,617.542465753425,125,251,1536,2350,75.5714285714286,240.570491169876
"39",1966,589.906849315068,124,388,1360,1690,99.2857142857143,320.473249210324
"40",1967,751.367123287671,158,510,1772,2410,124.714285714286,522.170327343889
"41",1968,1130.0956284153,382,768,2095,3037.5,311.857142857143,570.213224043716
"42",1969,1051.32876712329,275.8,741,2220,2946,205.571428571429,674.664396026148
"43",1970,781.356164383562,275,642,1472,1898,184.142857142857,509.978188290225
"44",1971,694.747945205479,136.4,355,1578,2596,94.5714285714286,419.10295281583
"45",1972,895.989071038251,264,678.5,1535,2337.5,209.714285714286,605.016137224744
"46",1973,1202.7095890411,317.4,795,2808,3274,215,804.397654501551
"47",1974,1276.55890410959,223,601,3432,4472,182.285714285714,649.96352902805
"48",1975,1208.32328767123,372.4,912,2244,2782,226.714285714286,722.842414719312
"49",1976,1061.40983606557,220,518,2875,3385,146.714285714286,731.568638631504
"50",1977,557.994520547945,172.2,326,1422,1668,126.857142857143,343.577168949772
"51",1978,652.808219178082,171,399,1376,2750,104.285714285714,378.86061348018
"52",1979,675.895890410959,162,404,1546,2018,128.142857142857,410.2404411828
"53",1980,889.002732240437,356,699,1800,2170,282.714285714286,621.549815413857
"54",1981,1011.44931506849,366.8,807,1992,2678,225.571428571429,604.862804500093
"55",1982,1024.42191780822,246,650,2192,3316,178,709.269545602303
"56",1983,990.386301369863,272.4,748,2124,2746,211.142857142857,708.126760204609
"57",1984,744.625683060109,180.5,498.5,1775,2142.5,114.571428571429,439.158309480441
"58",1985,1294.96438356164,280,676,3234,4372,220.571428571429,730.021900471272
"59",1986,1165.40547945205,324.8,945,2058,3292,219.142857142857,650.237937012519
"60",1987,602.378082191781,190,496,1120,1440,110.428571428571,422.676719745062
"61",1988,809.215846994535,141.5,713.5,1615,2047.5,95.7142857142857,483.01085709507
"62",1989,933.906849315068,367.4,714,1730,2130,305.285714285714,662.34027807383
"63",1990,1180.80273972603,331.4,1080,2116,2568,240.142857142857,771.281817082998
"64",1991,1014.13150684932,231,869,1980,2258,175.571428571429,694.751550966457
"65",1992,1305.82786885246,565,1195,2195,2725,358.714285714286,862.410918576039
"66",1993,1474.01369863014,598.2,1160,2620,3450,429.571428571428,1020.8204718417
"67",1994,1244.56712328767,452,1150,2308,2646,325.857142857143,705.853913041625
"68",1995,928.068493150685,300,766,1728,2104,245.714285714286,605.779661762696
"69",1996,780.904371584699,231.5,596.5,1565,1872.5,175.142857142857,493.722368421053
"70",1997,1008.33424657534,375,776,1896,2500,264.142857142857,662.53698630137
"71",1998,1122.65205479452,259,604,2650,3480,218,699.912478446211
"72",1999,677.317808219178,193.2,401,1360,1864,111.571428571429,367.944467176659
"73",2000,801.866120218579,345.5,699.5,1420,1647.5,256.857142857143,515.938367911636
"74",2001,1238.22191780822,284.2,1040,2176,3090,193.714285714286,834.240706790436
"75",2002,772.216438356164,180.6,436,1818,2126,140.571428571429,563.463179556992
"76",2003,583.402739726027,178,386,1258,1476,154.142857142857,391.530222844245
"77",2004,1000.30054644809,312,711,1965,2470,215,653.978641337346
"78",2005,836.980821917808,181.4,508,1914,2248,135.857142857143,538.261463954615
"79",2006,1169.62739726027,433.2,1020,2082,2480,218.285714285714,720.249028634988
"80",2007,1037.61369863014,270.4,804,2208,2600,186.857142857143,696.137139138058
"81",2008,1455.64207650273,368.5,994,2995,3692.5,187.714285714286,851.5572141897
"82",2009,1462.10684931507,440.4,975,3096,3782,355.857142857143,933.077139595564
"83",2010,903.016438356164,288.4,653,1952,2536,260.714285714286,620.329092688134
