"","Year","MeanDischarge","Q10","Q50","Q90","MAM7","MeanBaseflow"
"1",1947,2316.30434782609,1781,2250,3117,1727.14285714286,NA
"2",1948,2975.35519125683,1260,2105,5855,1081.57142857143,2156.77450980392
"3",1949,2834.89315068493,1400,2460,5060,1090.85714285714,2146.71405802801
"4",1950,5397.78082191781,2240,4520,9380,2011.42857142857,4387.49696969697
"5",1951,3973.75342465753,2154,3830,5560,1790,3069.39939598973
"6",1952,3764.83606557377,1680,3030,6860,1518.57142857143,3115.98783335669
"7",1953,1884.72328767123,925,1590,3060,871.285714285714,1616.82250489237
"8",1954,3246.47671232877,1410,3090,5610,1024.85714285714,2612.23731895287
"9",1955,2846.32328767123,1492,2530,4812,1138.28571428571,2266.81057774708
"10",1956,2955.51912568306,1290,2120,6750,911.857142857143,2388.2797393863
"11",1957,2308.58082191781,1174,2250,3962,995.142857142857,1833.92583513578
"12",1958,2334.35342465753,1620,2210,3180,1427,1905.49521133357
"13",1959,3096.0904109589,1380,2530,5988,1034.14285714286,2578.90180172307
"14",1960,3441.72131147541,1745,3070,5895,1344.28571428571,2791.41786693943
"15",1961,2862.87123287671,1560,2520,4646,1285.71428571429,2160.1774773172
"16",1962,2521.82739726027,1154,2020,4530,1043.85714285714,1887.05941607859
"17",1963,1630.26575342466,800,1240,2816,689.714285714286,1060.8698630137
"18",1964,1298.08469945355,713.5,1110,2375,561.142857142857,1027.40269160712
"19",1965,2799.09589041096,1370,2190,5286,1132.85714285714,2177.47969825137
"20",1966,3077.44657534247,1348,2820,5546,1264.28571428571,2196.34537431411
"21",1967,3256.12328767123,1170,2950,6168,1050.14285714286,2722.22331453129
"22",1968,3763.06010928962,2065,3400,5755,1850,2864.46073839372
"23",1969,4022.38356164384,1770,3760,6582,1474.28571428571,3401.16365118899
"24",1970,3166.05479452055,1804,2800,5632,1391.42857142857,2665.32502953667
"25",1971,2388.03561643836,1050,1690,5036,845.714285714286,1940.78841843088
"26",1972,3114.34426229508,1465,2985,4970,1187.14285714286,2605.00185151825
"27",1973,3731.31506849315,1720,3350,6516,1414.28571428571,3038.65004714103
"28",1974,3790.51232876712,1400,3010,7532,1278.57142857143,3036.32420091324
"29",1975,3425.39726027397,1640,3590,5258,1421.42857142857,2864.04073540014
"30",1976,3481.19672131148,1375,2640,6915,1298.57142857143,2716.57442003958
"31",1977,2498.19178082192,1154,1950,4818,950,2056.48943669324
"32",1978,3292.79452054795,1514,2460,6348,1127.14285714286,2702.06481043131
"33",1979,3210.49315068493,1574,2470,6076,1258.57142857143,2586.90411100273
"34",1980,3659.28961748634,2275,3175,6440,2091.42857142857,2918.4753892929
"35",1981,4336.35616438356,2648,3760,6872,2300,3252.47139892071
"36",1982,4521.2602739726,1734,3770,7834,1544.28571428571,3738.85215165352
"37",1983,3416.1095890411,1520,3160,6034,1132.85714285714,2803.650456621
"38",1984,3341.03825136612,1500,3085,5975,1080,2598.11969249567
"39",1985,4420.7397260274,1550,3250,9406,1385.71428571429,3259.66830536283
"40",1986,3982.90410958904,2292,3700,5776,1852.85714285714,3123.31789519461
"41",1987,2593.29589041096,1434,2370,3916,1187.14285714286,2095.64446869721
"42",1988,3038.02459016393,982,3165,5320,658.428571428571,2536.92858073046
"43",1989,3403.53424657534,1908,2940,5092,1678.57142857143,2572.5303652968
"44",1990,4383.15068493151,2388,4030,6886,1867.14285714286,3394.82198647303
"45",1991,3913.15068493151,1654,4030,6142,1472.85714285714,3186.2322636588
"46",1992,3643.08743169399,2170,3645,4985,1571.42857142857,3166.4465164545
"47",1993,4832.32876712329,2594,4060,8000,1927.14285714286,3995.4353160298
"48",1994,2857.97260273973,1470,2540,4620,1395.71428571429,2461.14877666476
"49",1995,2819.47945205479,1650,2770,4178,1440,2292.60740269104
"50",1996,3267.9781420765,1690,2700,6035,1554.28571428571,2678.99166480257
"51",1997,3914.21917808219,2320,3580,6326,1530,3238.51282233748
"52",1998,3710.65753424658,1720,2610,7226,1320,3054.37291407223
"53",1999,2811.56712328767,1210,1880,5506,953.142857142857,2210.38815792275
"54",2000,2492.13114754098,1560,2200,3945,1405.71428571429,2012.94249557364
"55",2001,3643.20547945205,1734,3420,5880,1152.85714285714,3056.13195845251
