"","hyear","Q10","MeanQ","Q50","MeanBaseflow","Q90","MAM7","Q95"
"1",1902,485,243.235772357724,210,25.6764705882353,36,32.1428571428571,29
"2",1903,825,335.455952992493,174,150.92617026313,80,58.1428571428571,65
"3",1904,872,345.928767123288,170,98.4381932575986,80,84.4285714285714,72
"4",1931,95,51.6235294117647,42,28.5196679820842,18,6.68571428571429,15
"5",1932,353,161.075022579339,94,67.9053558847657,23,19.7142857142857,22
"6",1933,477,187.094406564804,113,123.011341921576,25,10.7142857142857,23
"7",1934,254,100.943473822481,36,33.3804108605886,9,3.9,6
"8",1935,256,117.817205479452,58,58.6756955212394,15,13,12
"9",1936,273,110.690514253272,47,40.0815091610415,13,7.45714285714286,9
"10",1937,434,178.053646571705,72,72.4383753905311,26,20.2857142857143,16
"11",1938,454,192.308425595797,56,86.2471326149006,20,13.1428571428571,16
"12",1939,366,138.522332895478,39,50.3264305299157,14,10.6714285714286,12
"13",1940,275,126.272356795759,61,39.7944425603026,15,11.4142857142857,13
