"","hyear","Q10","MeanQ","Q50","MeanBaseflow","MAM7","Q90","Q95"
"1",1901,1961,1090.71962616822,672,442.853571428571,310,392,332
"2",1902,1858,991.043835616438,776,547.784087845184,204,309.6,236.8
"3",1903,2412,1296.34520547945,875,710.742902831367,382.714285714286,488,392
"4",1904,2780,1358.72950819672,512,586.793049287938,206,255,227
"5",1905,1798,891.293150684932,531,443.596400752082,249,290,269
"6",1906,1764,880.601648351648,638,448.264490027456,210,320,270
"7",1935,1056,430.597260273973,186,187.333825079031,100,110,100
"8",1936,1135,441.289617486339,221,213.317230972535,44.4285714285714,76.5,62.25
"9",1937,1902,825.268493150685,429,361.502721819321,149.714285714286,219.8,185.4
"10",1938,1760,744.47397260274,384,436.532575335849,161.714285714286,241.4,210.2
"11",1939,1606,573.402739726027,230,341.226738604912,75.4285714285714,109,90
"12",1940,1040,433.31693989071,233.5,249.679267755489,82.4285714285714,131,99.25
