"","hyear","Q10","MeanQ","Q50","MeanBaseflow","Q90","MAM7","Q95"
"1",1960,12,6.11784713282083,2,2.70838697340111,0.27,0.184285714285714,0.24
"2",1961,5.6,3.33889391450453,1.2,0.630761741117529,0.24,0.12,0.17
"3",1962,5.6,3.41710189528992,0.8,1.18992683075721,0.17,0.121428571428571,0.14
"4",1963,6,2.80750452242447,0.25,0.294413835488533,0.08,0.0357142857142857,0.06
"5",1964,2.4,1.22356391561585,0.27,0.310592097792917,0.09,0.0571428571428571,0.07
"6",1965,7.6,3.92987293443447,0.36,0.543529488503221,0.09,0.0357142857142857,0.05
"7",1966,11,4.65906166260086,0.97,1.04941520890541,0.12,0.107142857142857,0.11
"8",1967,13,6.11924999061738,2.2,2.2934999377335,0.26,0.13,0.19
"9",1968,15,7.90858109723301,2.2,1.66024821103305,0.61,0.298571428571429,0.39
"10",1969,16,6.42224119954694,1.9,2.27921946526188,0.4,0.272857142857143,0.32
"11",1970,12,5.36237320322762,2.5,1.00212365648051,0.4,0.218571428571429,0.29
"12",1971,9.8,5.20954242822293,1.4,2.20226752688622,0.16,0.0642857142857143,0.08
"13",1972,16,7.58862606824837,2.8,1.79428370105035,0.36,0.167142857142857,0.24
"14",1973,24,8.33791669479511,2.9,3.77168056382768,0.31,0.128571428571429,0.22
"15",1974,26,8.11216393319572,1.6,1.61214778408025,0.17,0.0742857142857143,0.13
"16",1975,24,10.2760123100019,2.9,2.59468082661986,0.33,0.138571428571429,0.2
"17",1976,20,7.9680826809299,1.7,2.61816934272001,0.23,0.0914285714285714,0.15
"18",1977,8.6,3.78377611257379,0.6,0.634950345169634,0.16,0.0857142857142857,0.13
"19",1978,5.9,3.99974081441171,0.84,0.921817482893618,0.19,0.105714285714286,0.15
"20",1979,7.6,4.18795894164008,0.75,1.165564364841,0.13,0.0571428571428571,0.1
"21",1980,13,5.34167931632104,1.7,1.28809000704107,0.4,0.0714285714285714,0.18
"22",1981,14,7.07988613605167,2.7,1.7442120323813,0.5,0.18,0.34
"23",1982,13,6.95049585288047,1.9,1.95376995601968,0.32,0.12,0.26
"24",1983,18,6.87329442672171,2.5,3.01555642023922,0.28,0.17,0.22
"25",1984,15,4.98995413255244,1.7,1.25092535359664,0.15,0.0657142857142857,0.11
"26",1985,22,8.4432043175289,1.7,2.51307287927118,0.17,0.101428571428571,0.13
"27",1986,20,8.45627449802965,3.2,2.40083859460929,0.35,0.19,0.25
"28",1987,8.7,4.30085862263089,1.8,1.67772855218358,0.13,0.0514285714285714,0.08
"29",1988,10,4.16792087491783,1.7,1.6403309381695,0.07,0.0314285714285714,0.05
"30",1989,12,4.70760885708499,1.8,1.99511786950265,0.22,0.16,0.14
"31",1990,16,6.58579696003002,2.6,1.9657156452661,0.25,0.108571428571429,0.2
"32",1991,15,5.62552321261025,2.6,2.30775917555568,0.16,0.0757142857142857,0.1
"33",1992,19,7.82432573358035,4.1,2.04171833222208,0.49,0.128571428571429,0.2
"34",1993,22,8.98182084805389,4.3,3.43598275494673,1.2,0.697142857142857,0.8
"35",1994,22,9.3075367986489,4.3,2.3401053506906,1.2,0.715714285714286,0.95
"36",1995,13,5.78419936198161,2.5,2.46965081622601,0.3,0.19,0.24
"37",1996,8.7,4.34141277714695,1.5,1.21889177103486,0.21,0.152857142857143,0.19
"38",1997,11,5.28887921270356,2.5,1.82583944386631,0.36,0.204285714285714,0.25
"39",1998,17,6.67495755301182,1.5,2.730760881366,0.17,0.0857142857142857,0.14
"40",1999,8.4,4.14687401013323,0.34,0.881944221988058,0.08,0.0357142857142857,0.05
"41",2000,6.7,3.46610335863264,1.4,0.566504858908547,0.17,0.0714285714285714,0.09
"42",2001,14.3,7.51246082645124,3.5,2.60660306824521,0.21,0.0585714285714286,0.14
"43",2002,12.8,5.4552087070745,2.7,2.68248546379116,0.12,0.06,0.08
"44",2003,7.01,2.85785152936761,0.37,0.489611009796853,0.06,0.0328571428571429,0.05
