"","hyear","Q10","MeanQ","Q50","MeanBaseflow","MAM7","Q90","Q95"
"1",1960,2130,1080.33333333333,853,614.740272910337,188.571428571429,264.5,219
"2",1961,1100,527.580821917808,348,400.806366849768,158.428571428571,182.4,164
"3",1962,1202,588.6,368,354.948183442525,113.857142857143,178,147
"4",1963,884.2,385.808219178082,210,188.841972262401,44.7142857142857,88.8,70.2
"5",1964,487,232.344262295082,162.5,143.075852198803,68.8571428571428,89.5,77.25
"6",1965,1506,570.761643835616,224,231.092288941532,75.5714285714286,111.4,90.8000000000001
"7",1966,1316,558.265753424658,350,318.069547174287,103.571428571429,144.8,113.4
"8",1967,1698,680.87397260274,405,449.754317144043,99.2857142857143,135.4,118.2
"9",1968,2195,1145.03278688525,754,582.035994093945,164.428571428571,393,337
"10",1969,2220,1118.14520547945,859,714.491519895629,205.571428571429,297,225.4
"11",1970,1472,701.657534246575,481,442.061037349257,184.142857142857,258.6,213
"12",1971,1578,780.32602739726,535,503.554822052109,94.5714285714286,136.4,104
"13",1972,1320,714.72131147541,476,441.20400904385,198.285714285714,222,198.25
"14",1973,2800,1285.87123287671,1070,936.975038981969,215,322,282.8
"15",1974,3432,1371.95616438356,820,786.821464069923,182.285714285714,231.4,207
"16",1975,2162,1083.38904109589,728,632.337314078615,226.714285714286,288.6,231
"17",1976,2940,1215.38524590164,683.5,815.61702846334,146.714285714286,226.5,181.5
"18",1977,1276,509.438356164384,297,311.533736858872,126.857142857143,174,128.2
"19",1978,1440,686.934246575343,399,393.592216368107,104.285714285714,175.8,137.6
"20",1979,1546,663.547945205479,402,406.926978957116,128.142857142857,176.4,150
"21",1980,1690,814.437158469945,640.5,515.686520947177,129.571428571429,246,187
"22",1981,1842,928.561643835616,638,554.434227892204,225.571428571429,361.4,289.2
"23",1982,2636,1082.78082191781,680,728.300037702252,178,284.2,203.4
"24",1983,2124,1041.57534246575,885,748.570080731739,211.142857142857,263,226.6
"25",1984,1745,752.956284153005,502.5,454.707291069586,114.571428571429,182.5,145.25
"26",1985,3234,1160.71780821918,580,748.643431139076,211.857142857143,256.6,220
"27",1986,1996,1138.37808219178,939,705.73880611053,219.142857142857,296.8,254.2
"28",1987,1200,712.980821917808,602,481.880455438424,110.428571428571,190,126.2
"29",1988,1480,726.915300546448,527,470.927552487777,95.7142857142857,141.5,118.25
"30",1989,1986,1050.54246575342,822,765.896004928608,267,411,353.8
"31",1990,1922,1000.56712328767,701,694.480741131015,240.142857142857,314.4,269
"32",1991,2076,1125.4301369863,1080,747.563452904646,175.571428571429,231.8,206.2
"33",1992,1780,1085.86338797814,944,691.054038258741,231,433,363.25
"34",1993,2904,1637.94794520548,1400,1104.59634674835,429.571428571428,632.4,512.8
"35",1994,2330,1205.6,989,684.813869336143,325.857142857143,452,412.6
"36",1995,1952,1091.20547945205,970,666.313169622749,245.714285714286,331.6,284.4
"37",1996,1530,792.983606557377,640.5,501.976648025294,175.142857142857,246.5,203
"38",1997,1896,991.961643835616,762,624.213046314416,197.571428571429,301.2,249
"39",1998,2650,1189.26301369863,722,777.314116112198,224.428571428571,282.4,226
"40",1999,1360,702.780821917808,441,383.428578544743,111.571428571429,206.6,157.6
"41",2000,1420,688.079234972678,526.5,441.846872748319,185.857142857143,214.5,203.25
"42",2001,2072,1085.98356164384,794,717.756435314249,193.714285714286,284.2,229.6
"43",2002,2026,1042.31232876712,979,742.312947408988,140.571428571429,202,161.2
"44",2003,1166,498.701369863014,290,363.098834838609,154.142857142857,176.4,160.2
"45",2004,1830,943.852459016393,673,593.795227957933,215,324.5,235
"46",2005,2016,968.293150684932,707,573.163563545323,135.857142857143,204,174
"47",2006,1850,916.030136986301,698,556.260398505604,169.285714285714,222,182.8
"48",2007,2302,1203.06301369863,1050,781.564084336516,186.857142857143,285.4,235
"49",2008,2890,1370.41530054645,953,828.245775570451,187.714285714286,318,244.5
"50",2009,3184,1521.49315068493,1020,972.73881769817,355.857142857143,441,383.4
"51",2010,1952,1000.36712328767,742,688.724393705309,269.285714285714,412.2,298.6
"52",2011,2922,1211.21095890411,649,756.365237972025,260.714285714286,316.8,275.6
"53",2012,2140,1071.8606557377,928.5,761.589354976963,151,188.5,159.25
"54",2013,1940,880.495890410959,551,446.868339341504,162,269.8,246
"55",2014,2024,987.545205479452,680,696.186976435052,229.142857142857,350.2,304.8
"56",2015,1722,928.758904109589,622,644.346390842035,307.285714285714,373.4,346.6
"57",2016,1960,901.590163934426,651.5,636.655404563321,183.571428571429,269,224.5
"58",2017,2612,1296.55342465753,1050,787.179647749511,167,217,176
"59",2018,2570,1302.01917808219,960,723.033409827108,170.428571428571,275,238.4
"60",2019,2060,1118,893,755.39425146771,278.285714285714,340.6,299.6
"61",2020,2530,1392.21584699454,1185,875.963247432064,256.285714285714,376.5,309.25
"62",2021,1332,791.608219178082,604,489.481032398538,275.285714285714,332.8,295.2
