"","hyear","Q10","MeanQ","Q50","MeanBaseflow","Q90","MAM7","Q95"
"1",1960,575,247.105620333248,137,153.228314930623,25,27.8571428571429,18
"2",1961,295,147.052663951334,82,70.03372545383,30,20,18
"3",1962,242,136.058802777257,65,73.0745473704378,36,7.71428571428571,20
"4",1963,231,105.329840495402,36,44.2961064483595,17,14.5714285714286,15
"5",1964,120,58.2436203908445,31,30.3864964960923,17,10.8,13
"6",1965,326,132.938304942355,39,42.4493947252913,16,10.1428571428571,13
"7",1966,400,155.151292925502,77,70.9050439184104,24,22.7142857142857,22
"8",1967,472,195.975927941452,122,129.798747219295,31,22,28
"9",1968,570,263.462036096337,135,111.461617181838,66,45.1428571428571,50
"10",1969,610,253.355881095434,135,146.009960861057,46,30,36
"11",1970,453,200.201013323325,129,81.5299534651013,42,32.2857142857143,36
"12",1971,367,176.396126853068,79,100.954529016605,21,16,17
"13",1972,427,212.620883882149,114,95.8307751680541,38,20.2857142857143,24
"14",1973,835,296.805141129788,166,243.944350769638,44,21.5714285714286,36
"15",1974,1000,326.545881028336,125,137.50469667319,36,26.8571428571429,32
"16",1975,750,343.885074122725,177,127.622476131175,49,34,38
"17",1976,765,290.170157772067,135,189.079711889111,38,22.7142857142857,28
"18",1977,440,160.764636167931,57,64.5561897235185,29,20.8571428571429,23
"19",1978,307,134.39391255395,64,62.2118132522299,26,15.2857142857143,21
"20",1979,367,149.491026458998,65,78.9847082977905,26,18,21
"21",1980,453,192.98253451264,111,99.8435206869633,44,19.2857142857143,34
"22",1981,505,237.108748321669,149,99.6624982253175,44,22.5714285714286,32
"23",1982,545,240.227614937136,114,142.925336606356,38,26.4285714285714,32
"24",1983,625,238.116839932445,123,156.687552689048,38,27.8571428571429,34
"25",1984,505,182.583233729756,92,86.5759116339034,26,13.5714285714286,20
"26",1985,705,291.965173233721,131,178.634407792,40,31,31
"27",1986,660,308.042484518671,191,146.241207903253,50,36,42
"28",1987,372,181.735530118221,128,111.655566971081,40,18.5714285714286,26
"29",1988,433,181.484954879579,134,107.884789345445,26,14.4285714285714,20
"30",1989,483,219.954214391263,143,155.912841143956,55,51.2857142857143,34
"31",1990,566,275.602829799212,200,145.582200931729,53,28.7142857142857,45
"32",1991,552,240.297436667292,172,138.917361211247,37,26,29
"33",1992,613,310.219252375545,254,139.167750393558,65,31.7142857142857,47
"34",1993,732,370.615660418401,263,239.164549198675,120,89.5714285714286,97
"35",1994,762,377.483392756615,262,156.321176006642,104,76.7142857142857,93
"36",1995,567,260.86765246763,182,161.433068101989,56,34.5714285714286,46
"37",1996,431,199.102507022052,124,108.441198032387,42,31,38
"38",1997,443,228.69757045238,152,131.46841203536,62,40,51
"39",1998,673,260.86539313192,113,166.913318997975,36,27.1428571428571,31
"40",1999,424,175.842799774817,65,72.9198249963842,31,16.8571428571429,21
"41",2000,289,159.991095440148,118,72.0051380679006,43,30.1428571428571,35
"42",2001,536,273.536315698673,190,144.09490510838,45,28.5714285714286,37
"43",2002,486,213.628130606117,160,162.807182055119,31.2,20,27.5
"44",2003,313,141.428526928129,63,67.6129519897836,28,18.3428571428571,24.1
"45",2004,483,209.02740841451,126,120.069954624963,38.9,31.6285714285714,32.9
"46",2005,543,214.142206920348,110,128.771234049714,27.8,15.3,21.4
"47",2006,590,260.577422405705,174,103.041305336576,43.2,23.3428571428571,31.2
"48",2007,604,262.59924863952,163,159.240452904094,53.4,33.5857142857143,42.6
"49",2008,763,331.110585370226,179,152.255719923671,54,31.6,43.2
"50",2009,859,366.731842150663,189,193.845056039851,70.9,52.2285714285714,60.1
"51",2010,606,234.344263464065,123,119.630700749383,48.3,35.8714285714286,41.1
"52",2011,829,296.934618877838,155,152.511887315657,59.8,40.7714285714286,51.7
"53",2012,488,205.067954042909,103,134.810865485456,29.6,21.2,26.2
"54",2013,478,218.21627624384,133,90.6183082558054,41,26.5142857142857,32.6
"55",2014,546,253.718699193094,140,149.892528339382,77.6,32.9714285714286,60
"56",2015,392,205.378175267405,124,117.966051429945,66.4,51.2714285714286,55.4
"57",2016,564,253.174338134226,179,142.729625930304,58.6,31.2857142857143,47.2
"58",2017,797,330.333405342154,225,174.191755632495,45,32.3714285714286,37
"59",2018,722,322.418007881404,197,138.284710415667,47.2,32.0285714285714,42.4
"60",2019,667,307.521026083693,221,156.56438075385,57,50.8142857142857,51.6
"61",2020,671,305.523767405725,191,165.079643307512,59.7,47.3857142857143,53.1
"62",2021,571,249.553355329433,140,101.510001970193,69.5,60.4142857142857,63.2
