"","hyear","Q10","MeanQ","Q50","MeanBaseflow","MAM7","Q90","Q95"
"1",1901,8015.00000000001,4130.18691588785,2395,1801.37202380952,1291.42857142857,1555,1420
"2",1902,5840,3189.31506849315,2450,2251.52467828975,977.142857142857,1340,1150
"3",1903,10180,4894.54794520548,3860,3275.74958578632,1364.28571428571,1910,1608
"4",1904,11500,5117.7868852459,2600,3438.15871833085,1045.71428571429,1300,1150
"5",1905,8662.00000000001,4683.91780821918,2720,2450.91472697466,1437.14285714286,1640,1590
"6",1906,4018,3025,2935,2371.14571004302,1861.42857142857,1910,1860
"7",1931,1916,1263.72876712329,1120,973.150348725309,652.714285714286,698,659
"8",1932,5300,2607.20765027322,2070,1731.28806921676,778.714285714286,860,828
"9",1933,7660,3359.41369863014,2500,2363.17062234701,881,1050,952.8
"10",1934,3200,2002.0904109589,1690,1410.63291055797,533.285714285714,640,586
"11",1935,4368,2855.35616438356,2110,1653.03830995757,834.285714285714,1090,952
"12",1936,4940,2528.83879781421,1710,1577.41695644974,437.571428571429,737,531.75
"13",1937,5660,3381.78630136986,2500,2179.37426776046,950,1190,1050
"14",1938,7298,3687.41369863014,1920,2596.58662752772,1143.71428571429,1310,1226
"15",1939,6476,2880.80273972603,1690,2103.21025588666,958.714285714286,1092,960
"16",1940,3835,2175.21038251366,1480,1480.75552453011,892.571428571428,1010,955
"17",1941,5882,2895.65479452055,2230,2233.76696272607,826.142857142857,972,907.2
"18",1942,6120,4002.21917808219,2780,2420.29582074739,1392.85714285714,1880,1540
"19",1943,14000,6313.56164383562,4620,4476.21436402706,1572.85714285714,1810,1670
"20",1944,6220,3055.0737704918,2020,2307.46759578148,994.285714285714,1110,1070
"21",1945,5080,2633.66849315068,1540,2000.64406668182,1021.28571428571,1200,1150
"22",1946,7292,3587.80821917808,2700,1862.41748568529,945.285714285714,1010,972
"23",1947,10560,4527.72602739726,2100,3134.62114370356,871.428571428571,1180,979
"24",1948,11600,4849.57103825137,2500,2767.84780478613,956.857142857143,1230,1040
"25",1949,5480,2872.38356164384,1960,1814.05404672093,1024.28571428571,1230,1150
"26",1950,11420,5217.67123287671,3580,3095.69861996595,1167.14285714286,1420,1320
"27",1951,8200,4308.46575342466,2980,2978.34472924706,1420,1670,1520
"28",1952,10500,5019.12568306011,3760,3495.72668133324,1505.71428571429,1670,1570
"29",1953,4680,2664.46575342466,2420,2008.60953468145,834.285714285714,1050,930
"30",1954,6006,2739.94794520548,1520,1836.78136078732,861.428571428571,1080,970
"31",1955,7442,3415.05205479452,2560,2328.01563629144,912.142857142857,1060,973.6
"32",1956,10950,4165.06010928962,2070,2001.46476122781,1067.42857142857,1300,1205
"33",1957,6254,3004.38904109589,2090,1850.11121648519,1033.71428571429,1170,1084
"34",1958,4832,2496.76438356164,2000,1520.47724328342,958,1080,1020
"35",1959,7746.00000000001,3033.75342465753,1430,2387.89575051856,860.571428571428,1110,1024
"36",1960,6915,4247.43169398907,3525,2773.92077055817,1160,1500,1302.5
"37",1961,4302,2172.27123287671,1590,1596.50655793978,964.428571428571,1100,1000
"38",1962,5060,2830.03835616438,1940,1687.31493803001,853,992,884
"39",1963,3392,1767.31780821918,1200,1211.30344940054,726.857142857143,923,852
"40",1964,3235,1621.3306010929,1200,1278.65312583088,792.571428571428,900,852
"41",1965,7600,3065.58904109589,1520,1529.13796789568,724,833.8,776.2
"42",1966,6288,3005.54794520548,2090,2185.41156578074,910.142857142857,1100,1004
"43",1967,8932.00000000001,3769.10410958904,2750,2704.58148837464,1051.42857142857,1250,1110
"44",1968,6915,3974.45355191257,2870,2401.90731024073,1380,1715,1520
"45",1969,7502,3806.69863013699,3260,2799.61568544649,1004.28571428571,1348,1072
"46",1970,5690,3017.00273972603,2270,2237.75100579598,1048.71428571429,1408,1246
"47",1971,6976,3808.81095890411,3000,2813.68845911607,859.428571428571,1090,999.2
"48",1972,7300,3974.97267759563,2905,2793.81256645155,1284.28571428571,1480,1370
"49",1973,11460,5855.67123287671,5110,4758.99370442129,1315.71428571429,1868,1632
"50",1974,12660,5814.13698630137,4200,3840.66080687253,1361.42857142857,1600,1500
"51",1975,9968,4985.20547945205,3770,3333.75160376154,1441.42857142857,1850,1650
"52",1976,13650,5694.01639344262,3360,4449.93973476972,1181.42857142857,1515,1340
"53",1977,4752,2248.3095890411,1600,1785.16927697605,764.857142857143,1080,996.8
"54",1978,5504,3148.2904109589,2100,1873.42834483469,1002.14285714286,1292,1134
"55",1979,7708,3248.67671232877,2060,2395.22123375822,996.285714285714,1296,1108
"56",1980,5845,3131.30327868852,2350,2193.58618789896,1003.85714285714,1500,1332.5
"57",1981,7930,3838.41095890411,2550,2441.30204652353,1120,1558,1392
"58",1982,9554.00000000001,4541.23287671233,2890,3121.81484018265,1387.14285714286,1884,1600
"59",1983,9856,4617.97260273973,4010,3557.91172429286,1344.28571428571,1560,1450
"60",1984,6515,3427.13661202186,2515,2364.77783469945,983.142857142857,1210,1092.5
"61",1985,12240,4815.28767123288,2700,3542.59963836532,1448.57142857143,1640,1522
"62",1986,9430,5173.61643835616,4350,3478.44308032502,1342.85714285714,1858,1510
"63",1987,5512,4094.23561643836,3610,2873.88025741382,1124.28571428571,1420,1222
"64",1988,7070,3799.21038251366,3070,2955.15955042226,857.571428571428,1080,948
"65",1989,8356,4717.50684931507,3980,3337.19235416162,2044.28571428571,2304,2200
"66",1990,6648,4286.19178082192,3270,3401.15679135933,1470,1890,1762
"67",1991,10720,5730.43835616438,5380,4258.03314208163,1541.42857142857,1870,1622
"68",1992,7910,4843.46994535519,4300,3864.43812087169,1638.57142857143,2460,2275
"69",1993,10060,6157.2602739726,5260,4470.62089344223,2730,3134,2982
"70",1994,9792.00000000001,5452.7397260274,4700,4089.04321511151,2241.42857142857,2500,2400
"71",1995,7766,4622.76712328767,4220,3330.06048521747,1375.71428571429,2004,1586
"72",1996,6255,3790.32786885246,3100,2627.07367291179,1298.57142857143,1510,1410
"73",1997,7688,4559.31506849315,3680,3334.36048909659,1335.71428571429,1730,1504
"74",1998,9326,4070.81369863014,2340,3134.01495509057,1045,1238,1110
"75",1999,5358,3004.99726027397,2110,2132.79516811955,812.142857142857,1162,923.2
"76",2000,5985,3191.84699453552,2170,1962.96937052019,1180.85714285714,1340,1255
"77",2001,8370,4476.68493150685,3310,3288.42476341943,1230,1600,1382
"78",2002,7386,4188.8904109589,4040,3189.18323548598,986.428571428571,1378,1160
"79",2003,4388,2205.43835616438,1620,1755.78830331635,849.714285714286,1120,926
"80",2004,8670,4297.45901639344,2815,2974.63408241169,1075.71428571429,1380,1235
"81",2005,7300,3720.64109589041,3000,2713.96762310293,839.285714285714,1180,1032
"82",2006,6744,3876.62465753425,3010,2663.2069340897,1055.42857142857,1494,1212
"83",2007,9236,4758.75068493151,3800,3762.35600130463,1006.28571428571,1354,1194
"84",2008,10150,4818.03278688525,3495,3382.83197312705,1182.85714285714,1500,1302.5
"85",2009,12760,6196,4310,4118.4888379885,1421.42857142857,2348,1672
"86",2010,7586,4296.95890410959,3570,3152.24041985412,1375.71428571429,1886,1620
"87",2011,10720,4988.82191780822,3130,3617.42573311965,1541.42857142857,1840,1760
"88",2012,7565,4006.40163934426,3875,3104.5285267472,1028.57142857143,1185,1110
"89",2013,9978,4890.1095890411,3130,2859.47188017462,1138.57142857143,1630,1500
