,site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,startDate,endDate,yearsAvail,id,Q10,p_Q10,tau_Q10,MeanQ,p_MeanQ,tau_MeanQ,Q50,p_Q50,tau_Q50,Baseflow,p_Baseflow,tau_Baseflow,MAM7,p_MAM7,tau_MAM7,Q90,p_Q90,tau_Q90,Q95,p_Q95,tau_Q95
1,11502500,"WILLIAMSON RIVER BLW SPRAGUE RIVER NR CHILOQUIN,OR",42.564375,-121.8797139,18010201,10/1/1961,9/30/2021,60,1,1950,0.007823443,-,1005.940178,0.000675251,-,711,2.15E-06,-,895.6068785,0.000233175,-,459.5857143,0.033149222,-,476,0.020253782,-,434,0.018595048,-
3,11493500,"WILLIAMSON RIVER NEAR KLAMATH AGENCY, OR",42.74013528,-121.8344618,18010201,10/1/1961,9/30/2021,60,2,385,9.18E-07,-,121.9399793,2.26E-07,-,25.45,9.00E-07,-,111.0011505,5.40E-07,-,1.580877193,0.244253836,-,0,0.100112546,-,0,0.244253836,-
31,11501000,"SPRAGUE RIVER NEAR CHILOQUIN, OR",42.58430556,-121.8483333,18010202,10/1/1961,9/30/2021,60,3,1310,0.088579031,-,570.8039608,0.011340188,-,341,2.70E-05,-,454.9011092,0.008436454,-,159.1842857,6.71E-05,-,173,3.78E-05,-,138,0.000119962,-
5,11507500,"LINK RIVER AT KLAMATH FALLS, OR",42.22347795,-121.7941708,18010204,10/1/1961,9/30/2021,60,4,2390,0.014062921,-,1232.872211,0.040627176,-,920,0.494909192,-,875.634501,0.30449279,-,272.022619,3.68E-05,+,401,0.009261497,+,275,0.000614603,+
6,11509500,"KLAMATH RIVER AT KENO, OR",42.13319946,-121.9622313,18010206,10/1/1961,9/30/2021,60,5,2800,0.000337765,-,1418.531964,0.000172238,-,922,2.78E-05,-,1127.423844,0.000509008,-,341.3738095,6.50E-06,+,410,2.95E-05,+,298,1.67E-05,+
7,11510700,"KLAMATH RIVER BLW JOHN C.BOYLE PWRPLNT, NR KENO,OR",42.0845877,-122.0733453,18010206,10/1/1961,9/30/2021,60,6,3120,0.001044263,-,1657.598585,0.000298861,-,1180,9.21E-05,-,1307.572437,0.001168887,-,553.4690476,0.005009807,+,648,0.000496905,+,540,0.000111042,+
8,11516530,KLAMATH R BL IRON GATE DAM CA,41.92791865,-122.4441882,18010206,10/1/1961,9/30/2021,60,7,3620,0.001221802,-,1921.719233,0.000257631,-,1330,5.05E-06,-,1670.409709,0.000462677,-,785.6214286,3.53E-06,+,764.4,0.000674227,+,722,0.000136492,+
9,11520500,KLAMATH R NR SEIAD VALLEY CA,41.8537379,-123.2322733,18010206,10/1/1961,9/30/2021,60,8,7390,0.017971184,-,3486.61556,0.004359104,-,2200,2.78E-05,-,2838.682661,0.004359104,-,1026.235714,0.873315766,+,1120,0.026395219,-,1000,0.204225836,-
10,11517500,SHASTA R NR YREKA CA,41.8229179,-122.5955813,18010207,10/1/1961,9/30/2021,60,9,331,0.004721836,-,178.6675711,0.014575974,-,150,0.022404606,-,137.3361934,0.030609112,-,22.60745238,0.813418281,+,27,0.655242404,-,19,0.974552988,-
11,11519500,SCOTT R NR FORT JONES CA,41.64069017,-123.015037,18010208,10/1/1961,9/30/2021,60,10,1480,0.170295625,-,593.4842825,0.044532114,-,266,0.030609112,-,381.0473256,0.118148504,-,23.2165,2.47E-07,-,21,9.62E-07,-,10,1.21E-06,-
12,11521500,INDIAN C NR HAPPY CAMP CA,41.83512325,-123.3831113,18010209,10/1/1961,9/30/2021,60,11,940,0.348463125,-,405.6729201,0.21361148,-,203,0.225539338,-,250.5146232,0.348472929,-,37.10380952,0.007672851,-,44,0.011530132,-,37.8,0.011094535,-
13,11523000,KLAMATH R A ORLEANS,41.3034599,-123.5345036,18010209,10/1/1961,9/30/2021,60,12,18200,0.068133249,-,8101.579968,0.048749072,-,4620,0.009089254,-,5795.588361,0.050227207,-,1571.883333,0.105226547,-,1690,0.030586523,-,1450,0.087353167,-
14,11530500,KLAMATH R NR KLAMATH CA,41.5109543,-123.9795164,18010209,10/1/1961,9/30/2021,60,13,37700,0.096707472,-,16625.50033,0.061443094,-,9230,0.084257777,-,11161.0367,0.122753401,-,2544.237288,0.153981465,-,2780,0.228827087,-,2450,0.221343838,-
15,11522500,SALMON R A SOMES BAR CA,41.3765154,-123.4770026,18010210,10/1/1961,9/30/2021,60,14,4160,0.407020943,-,1809.614342,0.182536083,-,1030,0.240525613,-,1172.202159,0.432755493,-,143.7080952,0.113655768,-,182,0.057341335,-,146,0.132246122,-
16,11530000,TRINITY R A HOOPA CA,41.049852,-123.673668,18010211,10/1/1961,9/30/2021,60,15,11200,0.301479259,-,4730.22893,0.34195411,-,2230,0.764348929,+,2976.272694,0.933920666,-,538.6904762,5.11E-06,+,626,2.04E-05,+,531,6.91E-06,+
