"","site_no","station_nm","dec_lat_va","dec_long_va","huc_cd","startDate","endDate","yearsAvail","id"
"3","04100500","ELKHART RIVER AT GOSHEN, IN",41.5933827,-85.8486057,"04050001",1962-10-01,2021-09-30,59,1
"31","04101000","ST. JOSEPH RIVER AT ELKHART, IN",41.6917158,-85.9750004,"04050001",1962-10-01,2021-09-30,59,2
"4","04101500","ST. JOSEPH RIVER AT NILES, MI",41.8292138,-86.2597325,"04050001",1962-10-01,2021-09-30,59,3
"5","04099510","PIGEON CREEK NR ANGOLA, IN",41.6344947,-85.109691,"04050001",1962-10-01,2021-09-30,59,4
"7","04097540","PRAIRIE RIVER NEAR NOTTAWA, MI",41.88838304,-85.409428,"04050001",1962-10-01,2021-09-30,59,5
"8","04099000","ST. JOSEPH RIVER AT MOTTVILLE, MI",41.80088279,-85.7561047,"04050001",1962-10-01,2021-09-30,59,6
"9","04097500","ST. JOSEPH RIVER AT THREE RIVERS, MI",41.94032575,-85.6327707,"04050001",1962-10-01,2021-09-30,59,7
"10","04096405","ST. JOSEPH RIVER AT BURLINGTON, MI",42.1031014,-85.0799764,"04050001",1962-10-01,2021-09-30,59,8
"14","04101800","DOWAGIAC RIVER AT SUMNERVILLE, MI",41.9133797,-86.2130676,"04050001",1962-10-01,2021-09-30,59,9
"15","04102500","PAW PAW RIVER AT RIVERSIDE, MI",42.18642675,-86.3689124,"04050001",1962-10-01,2021-09-30,59,10
"17","04108800","MACATAWA RIVER AT STATE ROAD NEAR ZEELAND, MI",42.77919167,-86.0183722,"04050002",1962-10-01,2021-09-30,59,11
"19","04103500","KALAMAZOO RIVER AT MARSHALL, MI",42.2647643,-84.96387,"04050003",1962-10-01,2021-09-30,59,12
"20","04105000","BATTLE CREEK AT BATTLE CREEK, MI",42.33142969,-85.1536025,"04050003",1962-10-01,2021-09-30,59,13
"21","04105500","KALAMAZOO RIVER NEAR BATTLE CREEK, MI",42.32392989,-85.1974929,"04050003",1962-10-01,2021-09-30,59,14
"23","04106000","KALAMAZOO RIVER AT COMSTOCK, MI",42.28559716,-85.513893,"04050003",1962-10-01,2021-09-30,59,15
"25","04106400","WEST FORK PORTAGE CREEK AT KALAMAZOO, MI",42.2444854,-85.6144495,"04050003",1962-10-01,2021-09-30,59,16
"30","04109000","GRAND RIVER AT JACKSON, MI",42.28364676,-84.4088483,"04050004",1962-10-01,2021-09-30,59,17
"311","04111000","GRAND RIVER NEAR EATON RAPIDS, MI",42.5347591,-84.62303529,"04050004",1962-10-01,2021-09-30,59,18
"34","04112000","SLOAN CREEK NEAR WILLIAMSTON, MI",42.67586828,-84.3638605,"04050004",1962-10-01,2021-09-30,59,19
"35","04112500","RED CEDAR RIVER AT EAST LANSING, MI",42.7272571,-84.4780317,"04050004",1962-10-01,2021-09-30,59,20
"36","04113000","GRAND RIVER AT LANSING, MI",42.75059039,-84.555257,"04050004",1962-10-01,2021-09-30,59,21
"37","04114498","LOOKING GLASS RIVER NEAR EAGLE, MI",42.82809018,-84.7594339,"04050004",1962-10-01,2021-09-30,59,22
"38","04114000","GRAND RIVER AT PORTLAND, MI",42.85642289,-84.9122182,"04050004",1962-10-01,2021-09-30,59,23
"41","04115000","MAPLE RIVER AT MAPLE RAPIDS, MI",43.10975485,-84.6930521,"04050005",1962-10-01,2021-09-30,59,24
"43","04116000","GRAND RIVER AT IONIA, MI",42.971977,-85.0691725,"04050006",1962-10-01,2021-09-30,59,25
"44","04118500","ROGUE RIVER NEAR ROCKFORD, MI",43.0822491,-85.5908648,"04050006",1962-10-01,2021-09-30,59,26
"45","04119000","GRAND RIVER AT GRAND RAPIDS, MI",42.963082,-85.6772533,"04050006",1962-10-01,2021-09-30,59,27
"46","04117500","THORNAPPLE RIVER NEAR HASTINGS, MI",42.6158688,-85.2363933,"04050007",1962-10-01,2021-09-30,59,28
