id,site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,startDate,endDate,yearsAvail,,p_MAM7,tau_MAM7,p_Baseflow,tau_Baseflow,p_MeanQ,tau_MeanQ,p_Q10,tau_Q10,p_Q50,tau_Q50,p_Q90,tau_Q90,p_Q95,tau_Q95
1,4100500,"ELKHART RIVER AT GOSHEN, IN",41.5933827,-85.8486057,4050001,01 10 1958,30 09 2021,63,,0.723775929,-,0.09129712,+,0.138320086,+,0.175562495,+,0.043088014,+,0.535534863,+,0.970923829,+
2,4101000,"ST. JOSEPH RIVER AT ELKHART, IN",41.6917158,-85.9750004,4050001,01 10 1958,30 09 2021,63,,0.440949664,+,0.0450222,+,0.138320086,+,0.160529153,+,0.112856956,+,0.378448759,+,0.395118604,+
3,4101500,"ST. JOSEPH RIVER AT NILES, MI",41.8292138,-86.2597325,4050001,01 10 1958,30 09 2021,63,,0.49418334,+,0.001340733,+,0.008690294,+,0.023838313,+,0.007939044,+,0.076124061,+,0.144901295,+
4,4099510,"PIGEON CREEK NR ANGOLA, IN",41.6344947,-85.109691,4050001,01 10 1958,30 09 2021,63,,0.009129303,+,0.010369361,+,0.003691218,+,0.002683427,+,0.012101635,+,0.011911255,+,0.081276723,+
5,4099000,"ST. JOSEPH RIVER AT MOTTVILLE, MI",41.80088279,-85.7561047,4050001,01 10 1958,30 09 2021,63,,0.706481708,+,0.001585711,+,0.010737909,+,0.118494162,+,0.028723454,+,0.028309341,+,0.026208118,+
6,4097500,"ST. JOSEPH RIVER AT THREE RIVERS, MI",41.94032575,-85.6327707,4050001,01 10 1958,30 09 2021,63,,0.285882538,+,0.007471256,+,0.004390121,+,0.035124742,+,0.02996925,+,0.044183079,+,0.053182745,+
7,4102500,"PAW PAW RIVER AT RIVERSIDE, MI",42.18642675,-86.3689124,4050001,01 10 1958,30 09 2021,63,,0.014256158,+,0.032510512,+,0.011914389,+,0.008532888,+,0.012967854,+,0.125851316,+,0.014611368,+
8,4103500,"KALAMAZOO RIVER AT MARSHALL, MI",42.2647643,-84.96387,4050003,01 10 1958,30 09 2021,63,,0.00013061,+,6.53E-06,+,0.000104549,+,0.00017671,+,0.000200786,+,0.002085218,+,0.001553402,+
9,4105000,"BATTLE CREEK AT BATTLE CREEK, MI",42.33142969,-85.1536025,4050003,01 10 1958,30 09 2021,63,,0.002587763,+,0.000670206,+,0.000267965,+,0.003411155,+,0.000970659,+,0.000560292,+,0.002916448,+
10,4105500,"KALAMAZOO RIVER NEAR BATTLE CREEK, MI",42.32392989,-85.1974929,4050003,01 10 1958,30 09 2021,63,,0.000508402,+,8.28E-05,+,0.000294429,+,0.001369039,+,0.001686746,+,0.00136773,+,0.00064073,+
11,4106000,"KALAMAZOO RIVER AT COMSTOCK, MI",42.28559716,-85.513893,4050003,01 10 1958,30 09 2021,63,,0.00038158,+,0.000195965,+,8.47E-05,+,0.000185411,+,0.000236001,+,0.0001804,+,0.000507988,+
12,4109000,"GRAND RIVER AT JACKSON, MI",42.28364676,-84.4088483,4050004,01 10 1958,30 09 2021,63,,0.004363605,+,0.000211232,+,0.009330339,+,0.009481372,+,0.017818988,+,0.007526684,+,0.016698651,+
13,4111000,"GRAND RIVER NEAR EATON RAPIDS, MI",42.5347591,-84.62303529,4050004,01 10 1958,30 09 2021,63,,4.21E-05,+,1.91E-05,+,0.000210299,+,0.000858696,+,0.000249954,+,0.00129269,+,0.023947,+
14,4112000,"SLOAN CREEK NEAR WILLIAMSTON, MI",42.67586828,-84.3638605,4050004,01 10 1958,30 09 2021,63,,0.430640694,+,0.020324695,+,0.0450222,+,0.243367442,+,0.011102186,+,0.055670464,+,0.136636531,+
15,4112500,"RED CEDAR RIVER AT EAST LANSING, MI",42.7272571,-84.4780317,4050004,01 10 1958,30 09 2021,63,,0.00020404,+,0.002487213,+,0.006042154,+,0.000415599,+,0.000546607,+,0.015889015,+,0.09013233,+
16,4113000,"GRAND RIVER AT LANSING, MI",42.75059039,-84.555257,4050004,01 10 1958,30 09 2021,63,,0.000111358,+,0.000143315,+,0.000371686,+,0.000626738,+,0.000123627,+,0.006153994,+,0.076124061,+
17,4114498,"LOOKING GLASS RIVER NEAR EAGLE, MI",42.82809018,-84.7594339,4050004,01 10 1958,30 09 2021,63,,2.16E-05,+,0.000174828,+,0.000787706,+,8.13E-06,+,8.47E-06,+,0.038359297,+,0.408292844,+
18,4114000,"GRAND RIVER AT PORTLAND, MI",42.85642289,-84.9122182,4050004,01 10 1958,30 09 2021,63,,0.000541254,+,0.000119302,+,0.000253391,+,0.000611001,+,0.000406734,+,0.001549535,+,0.030514812,+
19,4115000,"MAPLE RIVER AT MAPLE RAPIDS, MI",43.10975485,-84.6930521,4050005,01 10 1958,30 09 2021,63,,0.002587763,+,0.004826756,+,0.011914389,+,0.002245674,+,0.000684784,+,0.046330221,+,0.395109885,+
20,4116000,"GRAND RIVER AT IONIA, MI",42.971977,-85.0691725,4050006,01 10 1958,30 09 2021,63,,3.11E-05,+,7.49E-05,+,0.001285204,+,0.000456934,+,0.000249094,+,0.01670267,+,0.219835926,+
21,4118500,"ROGUE RIVER NEAR ROCKFORD, MI",43.0822491,-85.5908648,4050006,01 10 1958,30 09 2021,63,,0.049474251,+,0.001366698,+,0.003844805,+,0.006492412,+,0.000576565,+,0.055454005,+,0.16815102,+
22,4119000,"GRAND RIVER AT GRAND RAPIDS, MI",42.963082,-85.6772533,4050006,01 10 1958,30 09 2021,63,,0.000335387,+,9.64E-05,+,0.000211232,+,0.000165745,+,3.91E-05,+,0.004142882,+,0.099741828,+
23,4117500,"THORNAPPLE RIVER NEAR HASTINGS, MI",42.6158688,-85.2363933,4050007,01 10 1958,30 09 2021,63,,0.000630149,+,0.005403678,+,0.001131101,+,0.000559807,+,0.001284139,+,0.006624283,+,0.037759959,+
