,site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,startDate,endDate,yearsAvail,id,p_MAM7,tau_MAM7,p_Baseflow,tau_Baseflow,p_MeanQ,tau_MeanQ,p_Q10,tau_Q10,p_Q50,tau_Q50,p_Q90,tau_Q90,p_Q95,tau_Q95
3,4100500,"ELKHART RIVER AT GOSHEN, IN",41.5933827,-85.8486057,4050001,1962-10-01,2021-09-30,59,1,0.631821654305865,-,0.046811235464341,+,0.099362772819117,+,0.155870135887657,+,0.043297243871582,+,0.289398423661007,+,0.694744086917778,+
31,4101000,"ST. JOSEPH RIVER AT ELKHART, IN",41.6917158,-85.9750004,4050001,1962-10-01,2021-09-30,59,2,0.640681817296382,+,0.079673685242837,+,0.173762422917404,+,0.13591046172676,+,0.155834751899651,+,0.436441911389111,+,0.521607313682943,+
4,4101500,"ST. JOSEPH RIVER AT NILES, MI",41.8292138,-86.2597325,4050001,1962-10-01,2021-09-30,59,3,0.614201384423487,+,0.002988413964995,+,0.016690650698509,+,0.05209446563971,+,0.022464116242654,+,0.06709212280243,+,0.139428092776723,+
5,4099510,"PIGEON CREEK NR ANGOLA, IN",41.6344947,-85.109691,4050001,1962-10-01,2021-09-30,59,4,0.00510447195101,+,0.038783371763669,+,0.003538564570801,+,0.002457049002512,+,0.017890905505096,+,0.004353561481656,+,0.026624391786386,+
7,4097540,"PRAIRIE RIVER NEAR NOTTAWA, MI",41.88838304,-85.409428,4050001,1962-10-01,2021-09-30,59,5,0.482904520616048,+,0.02779133367425,+,0.072218183268626,+,0.038091180533078,+,0.042034795571871,+,0.209647793259305,+,0.42083328580586,+
8,4099000,"ST. JOSEPH RIVER AT MOTTVILLE, MI",41.80088279,-85.7561047,4050001,1962-10-01,2021-09-30,59,6,0.995034864467221,+,0.005558607363851,+,0.024475390622546,+,0.202209512592943,+,0.062279765023887,+,0.037547141519121,+,0.046811235464341,+
9,4097500,"ST. JOSEPH RIVER AT THREE RIVERS, MI",41.94032575,-85.6327707,4050001,1962-10-01,2021-09-30,59,7,0.661944511779589,+,0.008138013188719,+,0.007732570239216,+,0.083169110414302,+,0.046406688892082,+,0.054559698912248,+,0.077195141057777,+
10,4096405,"ST. JOSEPH RIVER AT BURLINGTON, MI",42.1031014,-85.0799764,4050001,1962-10-01,2021-09-30,59,8,0.878340403101814,+,0.088413145837671,+,0.107416059651569,+,0.767857948159433,+,0.151062397594882,+,0.085920414145414,+,0.097537712278877,+
14,4101800,"DOWAGIAC RIVER AT SUMNERVILLE, MI",41.9133797,-86.2130676,4050001,1962-10-01,2021-09-30,59,9,0.260009204590719,+,0.008902001706799,+,0.012486656258581,+,0.025733930382621,+,0.002626086928778,+,0.0774526480235,+,0.048276644505029,+
15,4102500,"PAW PAW RIVER AT RIVERSIDE, MI",42.18642675,-86.3689124,4050001,1962-10-01,2021-09-30,59,10,0.140250362184327,+,0.218913028571499,+,0.06709212280243,+,0.055340575657038,+,0.083051551411181,+,0.271927806664354,+,0.057889680468055,+
