"","site_no","station_nm","dec_lat_va","dec_long_va","huc_cd","startDate","endDate","yearsAvail","id"
"1","07137500","ARKANSAS R NR COOLIDGE, KS",38.0275129,-102.0115706,"11030001",1962-10-01,2021-09-30,59,1
"3","07138000","ARKANSAS R AT SYRACUSE, KS",37.9661241,-101.7568387,"11030001",1962-10-01,2021-09-30,59,2
"4","07139000","ARKANSAS R AT GARDEN CITY, KS",37.9558565,-100.8773844,"11030001",1962-10-01,2021-09-30,59,3
"6","07141300","ARKANSAS R AT GREAT BEND, KS",38.35306787,-98.7642519,"11030004",1962-10-01,2021-09-30,59,4
"8","07141200","PAWNEE R AT ROZEL, KS",38.2075145,-99.4062247,"11030005",1962-10-01,2021-09-30,59,5
"11","07141900","WALNUT C AT ALBERT, KS",38.46167948,-99.014817,"11030008",1962-10-01,2021-09-30,59,6
"12","07142300","RATTLESNAKE C NR MACKSVILLE, KS",37.8715361,-98.8758056,"11030009",1962-10-01,2021-09-30,59,7
"15","07143330","ARKANSAS R NR HUTCHINSON, KS",37.94614167,-97.7751194,"11030010",1962-10-01,2021-09-30,59,8
"17","07143300","COW C NR LYONS, KS",38.30951667,-98.192575,"11030011",1962-10-01,2021-09-30,59,9
"19","07144200","L ARKANSAS R AT VALLEY CENTER, KS",37.8321722,-97.3885694,"11030012",1962-10-01,2021-09-30,59,10
"20","07144300","ARKANSAS R AT WICHITA, KS",37.6433222,-97.3351944,"11030013",1962-10-01,2021-09-30,59,11
"23","07146500","ARKANSAS R AT ARKANSAS CITY, KS",37.0375083,-97.0392194,"11030013",1962-10-01,2021-09-30,59,12
"28","07145500","NINNESCAH R NR PECK, KS",37.45696389,-97.4235556,"11030016",1962-10-01,2021-09-30,59,13
"29","07147070","WHITEWATER R AT TOWANDA, KS",37.79602778,-97.0143222,"11030017",1962-10-01,2021-09-30,59,14
"30","07147800","WALNUT R AT WINFIELD, KS",37.22440278,-96.9956889,"11030018",1962-10-01,2021-09-30,59,15
