"","site_no","station_nm","dec_lat_va","dec_long_va","huc_cd","startDate","endDate","yearsAvail","id","p_MAM7","tau_MAM7","p_Baseflow","tau_Baseflow","p_MeanQ","tau_MeanQ","p_Q10","tau_Q10","p_Q50","tau_Q50","p_Q90","tau_Q90","p_Q95","tau_Q95"
"1","11502500","WILLIAMSON RIVER BLW SPRAGUE RIVER NR CHILOQUIN,OR",42.564375,-121.8797139,"18010201",1962-10-01,2021-09-30,59,1,0.0247632326194728,"-",0.000655232380192308,"-",0.000965715188509382,"-",0.0363588314595485,"-",2.30764473464834e-05,"-",0.0107986041308135,"-",0.00759013218191746,"-"
"3","11493500","WILLIAMSON RIVER NEAR KLAMATH AGENCY, OR",42.74013528,-121.8344618,"18010201",1962-10-01,2021-09-30,59,2,0.0971386930274218,"-",1.38346172441543e-06,"-",6.24286957016843e-07,"-",0.0528555204425294,"-",1.3670517764467e-06,"-",1.06569535616909e-06,"-",2.79779141474041e-06,"-"
"31","11501000","SPRAGUE RIVER NEAR CHILOQUIN, OR",42.58430556,-121.8483333,"18010202",1962-10-01,2021-09-30,59,3,6.713850277469e-05,"-",0.0210243364133733,"-",0.0259438436011629,"-",6.75079027097924e-05,"-",4.03489939025842e-05,"-",0.116483984806177,"-",0.073281655177588,"-"
"4","11507500","LINK RIVER AT KLAMATH FALLS, OR",42.22347795,-121.7941708,"18010204",1962-10-01,2021-09-30,59,4,0.000108211019292387,"+",0.314320387453721,"-",0.0722181832686264,"-",0.0307748783781906,"+",0.42077405041679,"-",0.0394561259204364,"-",0.0225561898441239,"-"
"5","11509500","KLAMATH RIVER AT KENO, OR",42.13319946,-121.9622313,"18010206",1962-10-01,2021-09-30,59,5,9.30386608942392e-06,"+",0.000537531976325371,"-",0.000564953197782744,"-",5.07566572173221e-06,"+",9.44597524805931e-05,"-",0.00289808859819333,"-",0.00248329362699881,"-"
"6","11510700","KLAMATH RIVER BLW JOHN C.BOYLE PWRPLNT, NR KENO,OR",42.0845877,-122.0733453,"18010206",1962-10-01,2021-09-30,59,6,0.00597674057715225,"+",0.00122390741776696,"-",0.00154460835638945,"-",0.000114703311058697,"+",0.00011131903290593,"-",0.00700491854146866,"-",0.00583264585568034,"-"
"7","11516530","KLAMATH R BL IRON GATE DAM CA",41.92791865,-122.4441882,"18010206",1962-10-01,2021-09-30,59,7,4.38398072975174e-06,"+",0.000462527787551283,"-",0.000623746280743316,"-",0.000653638349635269,"+",9.10205607032281e-06,"-",0.00464360908963159,"-",0.0040915225647633,"-"
"8","11520500","KLAMATH R NR SEIAD VALLEY CA",41.8537379,-123.2322733,"18010206",1962-10-01,2021-09-30,59,8,0.954225485742566,"+",0.00445250430283138,"-",0.00359967546905211,"-",0.0621281938688808,"-",0.000255918141568685,"-",0.0242035123494624,"-",0.0160304680754799,"-"
"9","11517500","SHASTA R NR YREKA CA",41.8229179,-122.5955813,"18010207",1962-10-01,2021-09-30,59,9,0.813418281423222,"+",0.0722181832686264,"-",0.0116622481949246,"-",0.75762952920033,"-",0.0732385495945904,"-",0.00774036374288422,"-",0.0268538731292507,"-"
"10","11519500","SCOTT R NR FORT JONES CA",41.64069017,-123.015037,"18010208",1962-10-01,2021-09-30,59,10,7.55588203370243e-06,"-",0.119648005859923,"-",0.0351776432317407,"-",3.48000792992198e-05,"-",0.0394561259204364,"-",0.149232022589249,"-",0.0680470176230076,"-"
"11","11521500","INDIAN C NR HAPPY CAMP CA",41.83512325,-123.3831113,"18010209",1962-10-01,2021-09-30,59,11,0.109345427622884,"-",0.586303721510184,"-",0.200818249392037,"-",0.0283970525217112,"-",0.252174503664233,"-",0.470967001881508,"-",0.198330190217656,"-"
"12","11523000","KLAMATH R A ORLEANS",41.3034599,-123.5345036,"18010209",1962-10-01,2021-09-30,59,12,0.245720593585726,"-",0.0351776432317407,"-",0.0287568782894409,"-",0.0470619180445136,"-",0.0259438436011629,"-",0.0660641523855319,"-",0.0268504444231521,"-"
"13","11530500","KLAMATH R NR KLAMATH CA",41.5109543,-123.9795164,"18010209",1962-10-01,2021-09-30,59,13,0.244412372208414,"-",0.131810360814279,"-",0.0380800826020061,"-",0.506638797410304,"-",0.124289913894979,"-",0.079551897798128,"-",0.0353929911370447,"-"
"14","11522500","SALMON R A SOMES BAR CA",41.3765154,-123.4770026,"18010210",1962-10-01,2021-09-30,59,14,0.188877629084811,"-",0.638670112331237,"-",0.197769183234328,"-",0.222120712329002,"-",0.298429110012535,"-",0.460568135092022,"-",0.232469559963592,"-"
"15","11530000","TRINITY R A HOOPA CA",41.049852,-123.673668,"18010211",1962-10-01,2021-09-30,59,15,9.99903765953106e-05,"+",0.935842911763335,"+",0.444444014518117,"-",8.69967184235504e-05,"+",0.798797659811053,"-",0.573097064598347,"-",0.175413365134439,"-"
"16","11527000","TRINITY R NR BURNT RANCH CA",40.7887498,-123.4400401,"18010211",1962-10-01,2021-09-30,59,16,7.59083557075692e-08,"+",0.193138929738655,"+",0.436494519733847,"+",3.30983238085333e-07,"+",0.141810557349711,"+",0.361618136934059,"+",0.737323898700907,"+"
