"","site_no","station_nm","dec_lat_va","dec_long_va","huc_cd","startDate","endDate","yearsAvail","id","p_MAM7","tau_MAM7","p_Baseflow","tau_Baseflow","p_MeanQ","tau_MeanQ","p_Q10","tau_Q10","p_Q50","tau_Q50","p_Q90","tau_Q90","p_Q95","tau_Q95"
"3","04100500","ELKHART RIVER AT GOSHEN, IN",41.5933827,-85.8486057,"04050001",1962-10-01,2021-09-30,59,1,0.813441875274299,"-",0.0859345266892816,"+",0.167019267565566,"+",0.219601276741275,"+",0.0788204631840463,"+",0.45245514249789,"+",0.687286997106621,"+"
"31","04101000","ST. JOSEPH RIVER AT ELKHART, IN",41.6917158,-85.9750004,"04050001",1962-10-01,2021-09-30,59,2,0.41791357201844,"+",0.14735853977574,"+",0.277172190286181,"+",0.214562522640386,"+",0.2457996690494,"+",0.614886750866497,"+",0.485408279597951,"+"
"4","04101500","ST. JOSEPH RIVER AT NILES, MI",41.8292138,-86.2597325,"04050001",1962-10-01,2021-09-30,59,3,0.459379031158979,"+",0.00729225942886562,"+",0.0351776432317407,"+",0.092216823898721,"+",0.0448751165266803,"+",0.122870387147624,"+",0.13644185144801,"+"
"5","04099510","PIGEON CREEK NR ANGOLA, IN",41.6344947,-85.109691,"04050001",1962-10-01,2021-09-30,59,4,0.0035601564267179,"+",0.0680656159915567,"+",0.00821880315478867,"+",0.0058201126945019,"+",0.036311191108056,"+",0.0103901857099684,"+",0.0263886934279471,"+"
"7","04097540","PRAIRIE RIVER NEAR NOTTAWA, MI",41.88838304,-85.409428,"04050001",1962-10-01,2021-09-30,59,5,0.482904520616048,"+",0.0277913336742502,"+",0.0722181832686264,"+",0.0380911805330784,"+",0.0420347955718708,"+",0.209647793259305,"+",0.42083328580586,"+"
"8","04099000","ST. JOSEPH RIVER AT MOTTVILLE, MI",41.80088279,-85.7561047,"04050001",1962-10-01,2021-09-30,59,6,0.735340440026433,"+",0.0130663851154098,"+",0.0517369673789104,"+",0.330690684641016,"+",0.117948780230589,"+",0.070087249081471,"+",0.0517369673789104,"+"
"9","04097500","ST. JOSEPH RIVER AT THREE RIVERS, MI",41.94032575,-85.6327707,"04050001",1962-10-01,2021-09-30,59,7,0.425451781542773,"+",0.0168079147124872,"+",0.0168079147124872,"+",0.142504863845384,"+",0.0894958892045967,"+",0.0862485915232098,"+",0.071166313656271,"+"
"10","04096405","ST. JOSEPH RIVER AT BURLINGTON, MI",42.1031014,-85.0799764,"04050001",1962-10-01,2021-09-30,59,8,0.878340403101814,"+",0.0884131458376714,"+",0.107416059651569,"+",0.767857948159433,"+",0.151062397594882,"+",0.0859204141454135,"+",0.0975377122788772,"+"
"14","04101800","DOWAGIAC RIVER AT SUMNERVILLE, MI",41.9133797,-86.2130676,"04050001",1962-10-01,2021-09-30,59,9,0.174296741807381,"+",0.0202888338088103,"+",0.0277913336742502,"+",0.0525225231235988,"+",0.00645575760752859,"+",0.14735853977574,"+",0.0935431698555506,"+"
"15","04102500","PAW PAW RIVER AT RIVERSIDE, MI",42.18642675,-86.3689124,"04050001",1962-10-01,2021-09-30,59,10,0.162475331359524,"+",0.368721848312219,"+",0.129518133780159,"+",0.10886471669313,"+",0.156884088065484,"+",0.420843737265908,"+",0.110361034469187,"+"
