"","site_no","station_nm","dec_lat_va","dec_long_va","huc_cd","startDate","endDate","yearsAvail"
"1","07137500","ARKANSAS R NR COOLIDGE, KS",38.0275129,-102.0115706,"11030001",1950-10-01,2021-12-17,71
"3","07138000","ARKANSAS R AT SYRACUSE, KS",37.9661241,-101.7568387,"11030001",1902-08-21,2021-12-17,119
"31","07138020","ARKANSAS R AT KENDALL, KS",37.930015,-101.5493371,"11030001",1979-04-13,2021-12-17,42
"4","07139000","ARKANSAS R AT GARDEN CITY, KS",37.9558565,-100.8773844,"11030001",1922-06-21,2021-09-07,99
"11","07139500","ARKANSAS R AT DODGE CITY, KS",37.7447427,-100.0329126,"11030003",1902-10-01,2007-02-28,105
"12","07141300","ARKANSAS R AT GREAT BEND, KS",38.35306787,-98.7642519,"11030004",1940-10-01,2021-12-17,81
"2","07140000","ARKANSAS R NR KINSLEY, KS",37.92779434,-99.3742817,"11030004",1944-09-01,2009-09-29,65
"13","07141200","PAWNEE R AT ROZEL, KS",38.2075145,-99.4062247,"11030005",1924-10-01,2021-12-17,97
"14","07140850","PAWNEE R NR BURDETT, KS",38.2066829,-99.6434539,"11030006",1981-10-01,2021-12-17,40
"15","07141780","WALNUT C AT NEKOMA, KS",38.47723614,-99.4381656,"11030008",1969-10-01,2021-12-17,52
"21","07141900","WALNUT C AT ALBERT, KS",38.46167948,-99.014817,"11030008",1958-06-01,2021-12-17,63
"16","07142300","RATTLESNAKE C NR MACKSVILLE, KS",37.8715361,-98.8758056,"11030009",1959-10-01,2021-12-17,62
"22","07142575","RATTLESNAKE C NR ZENITH, KS",38.09363056,-98.5461389,"11030009",1973-05-30,2021-12-17,48
"32","07142620","RATTLESNAKE C NR RAYMOND, KS",38.2293287,-98.4179046,"11030009",1960-05-01,1998-09-29,38
"17","07143330","ARKANSAS R NR HUTCHINSON, KS",37.94614167,-97.7751194,"11030010",1959-10-01,2021-12-17,62
"23","07143375","ARKANSAS R NR MAIZE, KS",37.78140109,-97.3897665,"11030010",1987-03-01,2021-12-17,34
"18","07143300","COW C NR LYONS, KS",38.30951667,-98.192575,"11030011",1938-04-01,2021-12-17,83
"19","07143665","L ARKANSAS R AT ALTA MILLS, KS",38.1122326,-97.591987,"11030012",1973-06-06,2021-12-17,48
"24","07144200","L ARKANSAS R AT VALLEY CENTER, KS",37.8321722,-97.3885694,"11030012",1922-06-10,2021-12-17,99
"110","07144300","ARKANSAS R AT WICHITA, KS",37.6433222,-97.3351944,"11030013",1934-10-01,2021-12-17,87
"25","07144550","ARKANSAS R AT DERBY, KS",37.54430556,-97.2755694,"11030013",1968-10-01,2021-12-17,53
"33","07145700","SLATE C AT WELLINGTON, KS",37.24946707,-97.4036569,"11030013",1969-04-01,2021-12-17,52
"41","07146500","ARKANSAS R AT ARKANSAS CITY, KS",37.0375083,-97.0392194,"11030013",1902-10-01,2021-12-17,119
"111","07144780","NF NINNESCAH R AB CHENEY RE, KS",37.8621972,-98.0137806,"11030014",1965-07-01,2021-12-17,56
"26","07144795","NF NINNESCAH R AT CHENEY DAM, KS",37.72140097,-97.7944956,"11030014",1964-10-01,2015-09-30,51
"112","07145200","SF NINNESCAH R NR MURDOCK, KS",37.561683,-97.8531094,"11030015",1950-10-01,2021-12-17,71
"27","07144910","SF NINNESCAH R NR PRATT, KS",37.637796,-98.7209237,"11030015",1980-10-01,2021-12-17,41
"113","07145500","NINNESCAH R NR PECK, KS",37.45696389,-97.4235556,"11030016",1938-04-01,2021-12-17,83
"114","07147070","WHITEWATER R AT TOWANDA, KS",37.79602778,-97.0143222,"11030017",1961-10-01,2021-12-17,60
"115","07147800","WALNUT R AT WINFIELD, KS",37.22440278,-96.9956889,"11030018",1921-11-14,2021-12-17,100
