,site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,startDate,endDate,yearsAvail,id,p_MAM7,tau_MAM7,p_Baseflow,tau_Baseflow,p_MeanQ,tau_MeanQ,p_Q10,tau_Q10,p_Q50,tau_Q50,p_Q90,tau_Q90,p_Q95,tau_Q95
1,7137500,"ARKANSAS R NR COOLIDGE, KS",38.0275129,-102.0115706,11030001,1962-10-01,2021-09-30,59,1,0.022040095997293,+,0.212146296526725,+,0.946518127753166,+,0.068053217033255,+,0.778126956029496,+,0.861545115133296,+,0.537145879097733,+
3,7138000,"ARKANSAS R AT SYRACUSE, KS",37.9661241,-101.7568387,11030001,1962-10-01,2021-09-30,59,2,0.154945576493027,+,0.405527345481113,+,0.914528950680144,-,0.311094235567836,+,0.957199106685965,-,0.903894007621125,-,0.76275409474702,+
4,7139000,"ARKANSAS R AT GARDEN CITY, KS",37.9558565,-100.8773844,11030001,1962-10-01,2021-09-30,59,3,0.002750191707716,-,0.003152865487601,-,0.003105371289568,-,0.000467988868745,-,0.001781537466222,-,0.002100882401578,-,0.002040523392142,-
6,7141300,"ARKANSAS R AT GREAT BEND, KS",38.35306787,-98.7642519,11030004,1962-10-01,2021-09-30,59,4,0.565819010963285,-,0.018884908199053,-,0.058537358490983,-,0.286083034326038,-,0.010587393305008,-,0.03236320028838,-,0.09094907418369,-
8,7141200,"PAWNEE R AT ROZEL, KS",38.2075145,-99.4062247,11030005,1962-10-01,2021-09-30,59,5,0.824275205222782,+,0.139188151317208,-,0.277172190286181,-,0.937353070503912,+,0.221147767731108,-,0.197274522930956,-,0.337425982951403,-
11,7141900,"WALNUT C AT ALBERT, KS",38.46167948,-99.014817,11030008,1962-10-01,2021-09-30,59,6,0.075691469443249,+,0.393960055641012,+,0.925179217861956,-,0.144692780409863,+,0.482815540932203,+,0.614865527352255,+,0.882677641268525,+
12,7142300,"RATTLESNAKE C NR MACKSVILLE, KS",37.8715361,-98.8758056,11030009,1962-10-01,2021-09-30,59,7,4.49168411223754E-07,-,3.03025763101677E-06,-,1.46851408363992E-05,-,2.00438524236073E-06,-,9.64529371406645E-07,-,9.40942819795971E-05,-,0.000462254350185,-
15,7143330,"ARKANSAS R NR HUTCHINSON, KS",37.94614167,-97.7751194,11030010,1962-10-01,2021-09-30,59,8,0.455535989560603,+,0.248593008761564,-,0.361618136934059,-,0.893271504013216,-,0.030248146238043,-,0.379499608580198,-,0.717179236282725,-
17,7143300,"COW C NR LYONS, KS",38.30951667,-98.192575,11030011,1962-10-01,2021-09-30,59,9,0.788792900415982,-,0.725531111228122,-,0.67454770700992,+,0.961563616350208,-,0.539297379733274,-,0.664519029256591,-,0.841768697294584,-
19,7144200,"L ARKANSAS R AT VALLEY CENTER, KS",37.8321722,-97.3885694,11030012,1962-10-01,2021-09-30,59,10,0.351751962257452,-,0.961567256502678,+,0.715227863676938,+,0.99450483517247,-,0.95607201371009,-,0.777756043772582,+,0.928692471927009,+
20,7144300,"ARKANSAS R AT WICHITA, KS",37.6433222,-97.3351944,11030013,1962-10-01,2021-09-30,59,11,0.455526822520182,+,0.546030657130026,-,0.610186729869702,+,0.563998397344544,+,0.27712895212966,-,0.930507945826698,-,0.600819145617613,+
23,7146500,"ARKANSAS R AT ARKANSAS CITY, KS",37.0375083,-97.0392194,11030013,1962-10-01,2021-09-30,59,12,0.269861504957932,+,0.254137346635072,+,0.122870387147624,+,0.197769183234328,+,0.568512925253484,+,0.268361994855921,+,0.093543169855551,+
28,7145500,"NINNESCAH R NR PECK, KS",37.45696389,-97.4235556,11030016,1962-10-01,2021-09-30,59,13,0.026021088975502,+,0.042784079398158,+,0.070116676042848,+,0.05940494541726,+,0.344204765285859,+,0.107416059651569,+,0.143647807159241,+
29,7147070,"WHITEWATER R AT TOWANDA, KS",37.79602778,-97.0143222,11030017,1962-10-01,2021-09-30,59,14,0.05488374972189,+,0.066064152385532,+,0.171177791606241,+,0.073186824679017,+,0.149158808302737,+,0.098909287719495,+,0.140009163841184,+
30,7147800,"WALNUT R AT WINFIELD, KS",37.22440278,-96.9956889,11030018,1962-10-01,2021-09-30,59,15,0.004356719545334,+,0.011224888627706,+,0.055049672156639,+,0.011439858947242,+,0.076549448191928,+,0.066058058864576,+,0.034595366750083,+
