"","site_no","station_nm","dec_lat_va","dec_long_va","huc_cd","startDate","endDate","yearsAvail","id","p_MAM7","tau_MAM7","p_Baseflow","tau_Baseflow","p_MeanQ","tau_MeanQ","p_Q10","tau_Q10","p_Q50","tau_Q50","p_Q90","tau_Q90","p_Q95","tau_Q95"
"1","11502500","WILLIAMSON RIVER BLW SPRAGUE RIVER NR CHILOQUIN,OR",42.564375,-121.8797139,"18010201",1962-10-01,2021-09-30,59,1,0.0463363265537308,"-",0.0010668813922112,"-",0.00143529176170131,"-",0.0833544177228544,"-",2.52720800568006e-05,"-",0.0113984302328104,"-",0.00771118834043845,"-"
"3","11493500","WILLIAMSON RIVER NEAR KLAMATH AGENCY, OR",42.74013528,-121.8344618,"18010201",1962-10-01,2021-09-30,59,2,0.0483751386420905,"-",1.0013622030732e-07,"-",2.56525923585506e-07,"-",0.0219943320513254,"-",9.69869965828682e-07,"-",3.03422725374855e-07,"-",6.38248291402161e-07,"-"
"31","11501000","SPRAGUE RIVER NEAR CHILOQUIN, OR",42.58430556,-121.8483333,"18010202",1962-10-01,2021-09-30,59,3,6.76099317972469e-05,"-",0.0172301568943258,"-",0.0322367124860625,"-",0.00021250617192444,"-",4.40507767997066e-05,"-",0.125105102221979,"-",0.0772403102949286,"-"
"4","11507500","LINK RIVER AT KLAMATH FALLS, OR",42.22347795,-121.7941708,"18010204",1962-10-01,2021-09-30,59,4,0.00646055025141958,"+",0.237889532800678,"-",0.0671764697470624,"-",0.0470358428937247,"+",0.32237213820846,"-",0.0418004984446598,"-",0.0165717500164835,"-"
"5","11509500","KLAMATH RIVER AT KENO, OR",42.13319946,-121.9622313,"18010206",1962-10-01,2021-09-30,59,5,1.27716454540358e-06,"+",0.000520149094193941,"-",0.000641060686045263,"-",3.19702446647933e-06,"+",0.000195343833208833,"-",0.00191797727078559,"-",0.00178453839965476,"-"
"6","11510700","KLAMATH RIVER BLW JOHN C.BOYLE PWRPLNT, NR KENO,OR",42.0845877,-122.0733453,"18010206",1962-10-01,2021-09-30,59,6,0.0016924872731977,"+",0.00166056719281904,"-",0.00150704666432429,"-",0.000135322887157026,"+",0.000184406307118316,"-",0.00459576087300304,"-",0.00328034374397471,"-"
"7","11516530","KLAMATH R BL IRON GATE DAM CA",41.92791865,-122.4441882,"18010206",1962-10-01,2021-09-30,59,7,3.6992348950399e-05,"+",0.000398862931226429,"-",0.000787705766097022,"-",0.000287366179088006,"+",1.31609321542299e-05,"-",0.00335674704458904,"-",0.00254585451719205,"-"
"8","11520500","KLAMATH R NR SEIAD VALLEY CA",41.8537379,-123.2322733,"18010206",1962-10-01,2021-09-30,59,8,0.798797659811053,"-",0.00623545044269891,"-",0.00524357841913519,"-",0.0759734936459641,"-",0.000547503454912438,"-",0.0172301568943258,"-",0.00892135493908547,"-"
"9","11517500","SHASTA R NR YREKA CA",41.8229179,-122.5955813,"18010207",1962-10-01,2021-09-30,59,9,0.737282150870223,"-",0.0911924415313813,"-",0.0241619883871544,"-",0.815565763483962,"-",0.107025801924967,"-",0.00723569419401227,"-",0.0241619883871544,"-"
"10","11519500","SCOTT R NR FORT JONES CA",41.64069017,-123.015037,"18010208",1962-10-01,2021-09-30,59,10,2.44933700325022e-05,"-",0.151369870217128,"-",0.0630609254872438,"-",7.32276937414451e-05,"-",0.0601065454438864,"-",0.123374941305184,"-",0.0572615042457391,"-"
"11","11521500","INDIAN C NR HAPPY CAMP CA",41.83512325,-123.3831113,"18010209",1962-10-01,2021-09-30,59,11,0.110315625210191,"-",0.601511506988415,"-",0.276057473191006,"-",0.0346848441441765,"-",0.362679952383211,"-",0.395055051294516,"-",0.158523391908471,"-"
"12","11523000","KLAMATH R A ORLEANS",41.3034599,-123.5345036,"18010209",1962-10-01,2021-09-30,59,12,0.200104415751913,"-",0.0671764697470624,"-",0.0383786370348138,"-",0.0760418957162249,"-",0.0454881297694485,"-",0.0519470723962534,"-",0.0311108495799599,"-"
"13","11530500","KLAMATH R NR KLAMATH CA",41.5109543,-123.9795164,"18010209",1962-10-01,2021-09-30,59,13,0.256025595666218,"-",0.135852985769014,"-",0.049428359188471,"-",0.39840800943737,"-",0.162445302985611,"-",0.0853667023531109,"-",0.049428359188471,"-"
"14","11522500","SALMON R A SOMES BAR CA",41.3765154,-123.4770026,"18010210",1962-10-01,2021-09-30,59,14,0.245831545826918,"-",0.605903265535664,"-",0.267170145029741,"-",0.216131489034991,"-",0.388520322733153,"-",0.515544018698117,"-",0.237889532800678,"-"
"15","11530000","TRINITY R A HOOPA CA",41.049852,-123.673668,"18010211",1962-10-01,2021-09-30,59,15,0.000315451088101399,"+",0.750455299431551,"+",0.586303721510184,"-",0.000312714911032028,"+",0.837604538786389,"-",0.676674464745651,"-",0.243556527409765,"-"
"16","11527000","TRINITY R NR BURNT RANCH CA",40.7887498,-123.4400401,"18010211",1962-10-01,2021-09-30,59,16,2.97693733425129e-07,"+",0.147380968551168,"+",0.292312254682163,"+",2.51270813386552e-06,"+",0.165969482206117,"+",0.273311695116061,"+",0.567003381532876,"+"
"18","11525500","TRINITY R A LEWISTON CA",40.7247222,-122.801111,"18010211",1962-10-01,2021-09-30,59,17,2.04468567052712e-05,"+",1.59375699196407e-10,"+",6.53543765136614e-09,"+",0.000228749623420788,"+",3.20280898924282e-07,"+",8.05742687526512e-09,"+",6.95488689483897e-06,"+"
