,site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,startDate,endDate,yearsAvail,id,Q10,p_Q10,tau_Q10,MeanQ,p_MeanQ,tau_MeanQ,Q50,p_Q50,tau_Q50,Baseflow,p_Baseflow,tau_Baseflow,MAM7,p_MAM7,tau_MAM7,Q90,p_Q90,tau_Q90,Q95,p_Q95,tau_Q95
3,4100500,"ELKHART RIVER AT GOSHEN, IN",41.5933827,-85.8486057,4050001,10/1/1959,9/30/2021,62,1,1140,0.618401163,+,566.5574848,0.131971632,+,423,0.087838513,+,404.4473592,0.111517464,+,130.9767281,0.784592852,-,161,0.051922241,+,132,0.568009977,+
31,4101000,"ST. JOSEPH RIVER AT ELKHART, IN",41.6917158,-85.9750004,4050001,10/1/1959,9/30/2021,62,2,5940,0.576287627,+,3368.677029,0.185453289,+,2920,0.104814184,+,2719.082833,0.061370424,+,1266.117512,0.922574963,+,1420,0.310351884,+,1200,0.355836006,+
4,4101500,"ST. JOSEPH RIVER AT NILES, MI",41.8292138,-86.2597325,4050001,10/1/1959,9/30/2021,62,3,6470,0.135117051,+,3749.882717,0.023104238,+,3270,0.008839421,+,2994.641818,0.006269618,+,1492.762673,0.580433488,+,1660,0.099723075,+,1400,0.144856804,+
5,4099510,"PIGEON CREEK NR ANGOLA, IN",41.6344947,-85.109691,4050001,10/1/1959,9/30/2021,62,4,197,0.026208118,+,89.22496379,0.003550517,+,59,0.012531935,+,60.14089226,0.036664165,+,16.83539171,0.002072279,+,18.7,0.009650696,+,14,0.019653053,+
8,4099000,"ST. JOSEPH RIVER AT MOTTVILLE, MI",41.80088279,-85.7561047,4050001,10/1/1959,9/30/2021,62,5,3210,0.072167359,+,1817.402985,0.04906775,+,1600,0.035551515,+,1421.907103,0.011118057,+,647.359447,0.980616243,+,727,0.248451745,+,581.25,0.131971632,+
9,4097500,"ST. JOSEPH RIVER AT THREE RIVERS, MI",41.94032575,-85.6327707,4050001,10/1/1959,9/30/2021,62,6,2470,0.128801808,+,1291.136016,0.039072831,+,1070,0.048637309,+,980.1790226,0.02271474,+,385.8436658,0.544524368,+,445.7,0.17944949,+,356,0.240548257,+
15,4102500,"PAW PAW RIVER AT RIVERSIDE, MI",42.18642675,-86.3689124,4050001,10/1/1959,9/30/2021,62,7,782,0.111517464,+,481.6037269,0.046338281,+,423,0.015885138,+,388.4881057,0.11995442,+,232.781106,0.101004734,+,250,0.044364305,+,221,0.042476814,+
19,4103500,"KALAMAZOO RIVER AT MARSHALL, MI",42.2647643,-84.96387,4050003,10/1/1959,9/30/2021,62,8,577,0.005372584,+,345.765316,0.001752042,+,298,0.003272134,+,261.9452039,8.32E-05,+,176.5448505,6.39E-05,+,168,0.000695955,+,138,0.000343391,+
20,4105000,"BATTLE CREEK AT BATTLE CREEK, MI",42.33142969,-85.1536025,4050003,10/1/1959,9/30/2021,62,9,454,0.001083655,+,229.8622538,0.000354861,+,159,0.000416282,+,149.2776957,0.001653083,+,59.02903226,0.01412515,+,66,0.00752226,+,52.325,0.008077312,+
21,4105500,"KALAMAZOO RIVER NEAR BATTLE CREEK, MI",42.32392989,-85.1974929,4050003,10/1/1959,9/30/2021,62,10,1280,0.003834365,+,731.8053961,0.00172308,+,600,0.002387355,+,546.0022083,0.000670206,+,315.6198157,0.003619002,+,330,0.006996899,+,278,0.00280398,+
