"","site_no","station_nm","dec_lat_va","dec_long_va","huc_cd","startDate","endDate","yearsAvail","county","id","Q10","p_Q10","tau_Q10","MeanQ","p_MeanQ","tau_MeanQ","Q50","p_Q50","tau_Q50","Baseflow","p_Baseflow","tau_Baseflow","MAM7","p_MAM7","tau_MAM7","Q90","p_Q90","tau_Q90","Q95","p_Q95","tau_Q95","Q90Q10","p_Q90Q10","tau_Q90Q10"
"1","07137500","ARKANSAS R NR COOLIDGE, KS",38.0275129,-102.0115706,"11030001",1962-10-01,2021-09-30,59,"Hamilton",1,445,0.678460138168756,"-",199.523490759754,0.687824254656544,"-",110,0.744953428223839,"+",133.776575294028,0.41794197969687,"+",NA,"NA","NA",12.84,0.0972579338739393,"+",6,0.0934519178708722,"+",432.16,0.0131009224438724,"+"
"3","07138000","ARKANSAS R AT SYRACUSE, KS",37.9661241,-101.7568387,"11030001",1962-10-01,2021-09-30,59,"Hamilton",2,426,0.50306024528195,"-",193.276079853981,0.490930104085873,"-",110,0.949142877461808,"+",133.158054773071,0.632404955158391,"+",NA,"NA","NA",6.9,0.375330919553658,"+",1.2,0.307496488556222,"+",419.1,0.570282431690413,"+"
"4","07139000","ARKANSAS R AT GARDEN CITY, KS",37.9558565,-100.8773844,"11030001",1962-10-01,2021-09-30,59,"Finney",3,203,0.000230430252731949,"-",90.7169786967418,0.00115628610947914,"-",0,0.0017198065162267,"-",48.4693957298957,0.000493137997490297,"-",NA,"NA","NA",0,0.000517351992251624,"-",0,0.00118612375702651,"+",203,0.119470986771701,"+"
"6","07141300","ARKANSAS R AT GREAT BEND, KS",38.35306787,-98.7642519,"11030004",1962-10-01,2021-09-30,59,"Barton",4,266,0.0119724687024206,"-",136.282219484371,0.0173612226165321,"-",17,0.0148294647890082,"-",61.9248464722649,0.0145759741410812,"-",NA,"NA","NA",1.4,0.186698114802055,"-",0.38,0.406976409255684,"+",264.6,0.202836399048495,"+"
"8","07141200","PAWNEE R AT ROZEL, KS",38.20758889,-99.405775,"11030005",1962-10-01,2021-09-30,59,"Pawnee",5,32,0.164004539994738,"-",32.8301829796943,0.101186707505444,"-",0,0.212863415290004,"-",2.92903862372011,0.0513051870082649,"-",NA,"NA","NA",0,0.939563340467033,"+",0,0.712263097250439,"+",32,0.536186771900174,"+"
"11","07141900","WALNUT C AT ALBERT, KS",38.46167948,-99.014817,"11030008",1962-10-01,2021-09-30,59,"Barton",6,53.4600000000002,0.744950089629107,"+",39.7349377138946,0.893452796278851,"-",2.42,0.36436946101957,"+",8.9911308844241,0.283670665924429,"+",NA,"NA","NA",0,0.11532713828249,"+",0,0.0757812827434379,"+",53.4600000000002,0.593738705274273,"+"
"12","07142300","RATTLESNAKE C NR MACKSVILLE, KS",37.8715361,-98.8758056,"11030009",1962-10-01,2021-09-30,59,"Stafford",7,33,2.55141039047199e-05,"-",17.9270613734885,2.43750320514655e-06,"-",8.3,8.16945419845715e-07,"-",11.2351397395724,3.71111648257761e-07,"-",NA,"NA","NA",0.02,1.8352967076083e-07,"-",0,1.65147591705414e-07,"+",32.98,NA,"-"
"15","07143330","ARKANSAS R NR HUTCHINSON, KS",37.94614167,-97.7751194,"11030010",1962-10-01,2021-09-30,59,"Reno",8,982,0.0838838303243137,"-",493.659986310746,0.0959847559684589,"-",235,0.0458933715054824,"-",290.013386722136,0.11226280536049,"-",NA,"NA","NA",90,0.803562529317392,"-",65,0.759488155867926,"+",892,0.0268879241149131,"+"
"17","07143300","COW C NR LYONS, KS",38.30951667,-98.192575,"11030011",1962-10-01,2021-09-30,59,"Rice",9,138,0.211263267394147,"-",82.3164770700928,0.994911184186299,"+",12,0.769117073407894,"-",20.8318053839218,0.368499355315375,"-",NA,"NA","NA",3.1,0.783874662682232,"-",1.98,0.858251677633446,"+",134.9,0.178385472770842,"+"
"19","07144200","L ARKANSAS R AT VALLEY CENTER, KS",37.8321722,-97.3885694,"11030012",1962-10-01,2021-09-30,59,"Sedgwick",10,598,0.863277108410593,"-",348.399013768812,0.88337486108108,"-",65,0.928827067329072,"-",66.7018834084615,0.843267451164708,"+",NA,"NA","NA",21,0.482776856047108,"-",14,0.600889816308749,"+",577,0.174305503425727,"+"
