"","site_no","station_nm","dec_lat_va","dec_long_va","huc_cd","startDate","endDate","yearsAvail","county","id","Q10","p_Q10","tau_Q10","MeanQ","p_MeanQ","tau_MeanQ","Q50","p_Q50","tau_Q50","Baseflow","p_Baseflow","tau_Baseflow","MAM7","p_MAM7","tau_MAM7","Q90","p_Q90","tau_Q90","Q95","p_Q95","tau_Q95","Q90Q10","p_Q90Q10","tau_Q90Q10"
"1","07137500","ARKANSAS R NR COOLIDGE, KS",38.0275129,-102.0115706,"11030001",1962-10-01,2021-09-30,59,"Hamilton",1,12.6009967411076,0.678460138168756,"-",5.649892880364,0.687824254656544,"-",3.11485312701535,0.744953428223839,"+",3.78813800433868,0.41794197969687,"+",47.8497336561743,"NA","NA",0.365287321259073,0.0972579338739393,"+",0.169901079655383,0.0934519178708722,"+",12.2357094198485,0.561650668396912,"+"
"3","07138000","ARKANSAS R AT SYRACUSE, KS",37.9661241,-101.7568387,"11030001",1962-10-01,2021-09-30,59,"Hamilton",2,12.0629766555322,0.50306024528195,"-",5.47296592783924,0.490930104085873,"-",3.11485312701535,0.949142877461808,"+",3.77039548605128,0.632404955158391,"+",47.8497336561743,"NA","NA",0.19538624160369,0.375330919553658,"+",0.0339802159310766,0.307496488556222,"+",11.8675904139285,0.368499355315375,"+"
"4","07139000","ARKANSAS R AT GARDEN CITY, KS",37.9558565,-100.8773844,"11030001",1962-10-01,2021-09-30,59,"Finney",3,5.74831986167379,0.000230430252731949,"-",2.56881877060847,0.00115628610947914,"-",0,0.0017198065162267,"-",1.37250044412555,0.000493137997490297,"-",47.8497336561743,"NA","NA",0,0.000517351992251624,"-",0,0.00118612375702651,"+",5.74831986167379,0.000230430252731949,"+"
"6","07141300","ARKANSAS R AT GREAT BEND, KS",38.35306787,-98.7642519,"11030004",1962-10-01,2021-09-30,59,"Barton",4,7.53228119805531,0.0119724687024206,"-",3.85908270470443,0.0173612226165321,"-",0.481386392356918,0.0148294647890082,"-",1.75351637885527,0.0145759741410812,"-",47.8497336561743,"NA","NA",0.0396435852529227,0.186698114802055,"-",0.0107604017115076,0.406976409255684,"+",7.49263761280239,0.00979280474098247,"+"
"8","07141200","PAWNEE R AT ROZEL, KS",38.20758889,-99.405775,"11030005",1962-10-01,2021-09-30,59,"Pawnee",5,0.906139091495376,0.16594708697989,"-",0.929647255588973,0.101186707505444,"-",0,0.212863415290004,"-",0.082941137420394,0.0513051870082649,"-",47.8497336561743,"NA","NA",0,0.939563340467033,"+",0,0.712263097250439,"+",0.906139091495376,0.165955715071245,"+"
"11","07141900","WALNUT C AT ALBERT, KS",38.46167948,-99.014817,"11030008",1962-10-01,2021-09-30,59,"Barton",6,1.51381861972947,0.744950089629107,"+",1.1251687694113,0.893452796278851,"-",0.0685267687943378,0.36436946101957,"+",0.254600532298999,0.283670665924429,"+",47.8497336561743,"NA","NA",0,0.110590833778003,"+",0,0.0757812827434379,"+",1.51381861972947,0.818385094697547,"+"
"12","07142300","RATTLESNAKE C NR MACKSVILLE, KS",37.8715361,-98.8758056,"11030009",1962-10-01,2021-09-30,59,"Stafford",7,0.934455938104606,2.55141039047199e-05,"-",0.507637847067334,2.43750320514655e-06,"-",0.235029826856613,8.16945419845715e-07,"-",0.318143728638742,3.71111648257761e-07,"-",47.8497336561743,"NA","NA",0.00056633693218461,1.8352967076083e-07,"-",0,1.65147591705414e-07,"+",0.933889601172422,0.000381370884443142,"+"
"15","07143330","ARKANSAS R NR HUTCHINSON, KS",37.94614167,-97.7751194,"11030010",1962-10-01,2021-09-30,59,"Reno",8,27.8071433702643,0.0838838303243137,"-",13.9788305370896,0.0959847559684589,"-",6.65445895316917,0.0445234483106314,"-",8.21201025684328,0.11226280536049,"-",47.8497336561743,"NA","NA",2.54851619483074,0.803562529317392,"-",1.84059502959998,0.759492896946748,"+",25.2586271754336,0.0445277812297323,"+"
"17","07143300","COW C NR LYONS, KS",38.30951667,-98.192575,"11030011",1962-10-01,2021-09-30,59,"Rice",9,3.90772483207381,0.211253980054141,"-",2.33093866550131,0.994911184186299,"+",0.339802159310766,0.769117073407894,"-",0.58988768326444,0.368499355315375,"-",47.8497336561743,"NA","NA",0.0877822244886145,0.783874662682232,"-",0.0559257720532305,0.858251677633446,"+",3.81994260758519,0.208952202220903,"+"
"19","07144200","L ARKANSAS R AT VALLEY CENTER, KS",37.8321722,-97.3885694,"11030012",1962-10-01,2021-09-30,59,"Sedgwick",10,16.9221475336762,0.863277108410593,"-",9.86381904094994,0.88337486108108,"-",1.84059502959998,0.923759817563705,"-",1.88850112495596,0.843267451164708,"+",47.8497336561743,"NA","NA",0.59465377879384,0.467026607011441,"-",0.396435852529227,0.596450569612994,"+",16.3274937548824,0.853260477646848,"+"
