"","site_no","station_nm","dec_lat_va","dec_long_va","huc_cd","startDate","endDate","yearsAvail","county","id","Q10","p_Q10","tau_Q10","MeanQ","p_MeanQ","tau_MeanQ","Q50","p_Q50","tau_Q50","Baseflow","p_Baseflow","tau_Baseflow","MAM7","p_MAM7","tau_MAM7","Q90","p_Q90","tau_Q90","Q95","p_Q95","tau_Q95","Diff","p_Diff","tau_Diff"
"1","07137500","ARKANSAS R NR COOLIDGE, KS",38.0275129,-102.0115706,"11030001",1962-10-01,2021-09-30,59,"Hamilton",1,12.6009967411076,0.443936088093069,"-",5.649892880364,0.539585471094062,"-",3.11485312701535,0.686278405850185,"+",3.78813800433868,0.290872801962561,"+",1.33849284131651,"0.0159861516561579","+",0.365287321259073,0.0505802980051688,"+",0.169901079655383,0.053976824254868,"+",0.971011235955056,0.000000213288540747994,"+"
"3","07138000","ARKANSAS R AT SYRACUSE, KS",37.9661241,-101.7568387,"11030001",1962-10-01,2021-09-30,59,"Hamilton",2,12.0629766555322,0.214198192107729,"-",5.47296592783924,0.278037301145763,"-",3.11485312701535,0.934445484671782,"+",3.77039548605128,0.537242181731485,"+",1.38043211377668,"0.151761631022494","+",0.19538624160369,0.277950321068917,"+",0.0339802159310766,0.220697586123863,"+",0.983802816901408,0.0113616871733368,"+"
"4","07139000","ARKANSAS R AT GARDEN CITY, KS",37.9558565,-100.8773844,"11030001",1962-10-01,2021-09-30,59,"Finney",3,5.72566638438643,0.0000113639925207113,"-",2.56576428931167,0.00191620204068551,"-",0,0.00520797830902559,"-",1.37121082331235,0.000292224536011752,"-",0.0383840372056939,"0.000591658825039058","+",0,0.0000000527073355326241,"-",0,0.00000000969067870011774,"+",1,0.15111173323884,"+"
"6","07141300","ARKANSAS R AT GREAT BEND, KS",38.35306787,-98.7642519,"11030004",1962-10-01,2021-09-30,59,"Barton",4,7.53228119805531,0.00000000372758524141585,"-",3.85908270470443,0.000000365237601189204,"-",0.481386392356918,0.00567969018506242,"-",1.75351637885527,0.0000362041352797732,"-",0.201178385156545,"0.542023689978079","+",0.0396435852529227,0.011769530860597,"-",0.0107604017115076,0.108594121459811,"+",0.994736842105263,0.000427524192988978,"+"
"8","07141200","PAWNEE R AT ROZEL, KS",38.20758889,-99.405775,"11030005",1962-10-01,2021-09-30,59,"Pawnee",5,0.906139091495376,0.000323062140081149,"-",0.929647255588973,0.00000197761280341496,"-",0,0.0148813499718372,"-",0.082941137420394,0.000186132248096355,"-",0.00320519735191147,"0.0141067671217914","+",0,0.882405220462627,"+",0,0.363856158802801,"+",1,0.385673301684095,"+"
"11","07141900","WALNUT C AT ALBERT, KS",38.46167948,-99.014817,"11030008",1962-10-01,2021-09-30,59,"Barton",6,1.51381861972947,0.470917416849702,"+",1.1251687694113,0.732828423706321,"-",0.0685267687943378,0.413564503169306,"+",0.254600532298999,0.30861843437945,"+",0.0406137743546056,"0.0913886723038242","+",0,0.228980389521078,"+",0,0.171313619352518,"+",1,0.00977165873073965,"+"
"12","07142300","RATTLESNAKE C NR MACKSVILLE, KS",37.8715361,-98.8758056,"11030009",1962-10-01,2021-09-30,59,"Stafford",7,0.934455938104606,0.000000000000103790726228276,"-",0.507637847067334,0.00000000335672301968456,"-",0.235029826856613,0.000000000000000315911395232734,"-",0.318143728638742,0.000000000000295426729625292,"-",0.0983707024885661,"0.0000120205742009662","+",0.00056633693218461,0.000000590655461571364,"-",0,0.0000012007811638838,"+",0.999393939393939,0.0471362113196005,"+"
"15","07143330","ARKANSAS R NR HUTCHINSON, KS",37.94614167,-97.7751194,"11030010",1962-10-01,2021-09-30,59,"Reno",8,27.8071433702643,0.000000000103255606902669,"-",13.9788331213329,0.0000000230569478425957,"-",6.65445895316917,0.0000000135775613440655,"-",8.21201025684328,0.00000354958232275514,"-",2.81080435760191,"0.0144433970226663","+",2.54851619483074,0.69403920951911,"-",1.84059502959998,0.602950031993648,"+",0.908350305498982,0.000000000000000179335407348472,"+"
"17","07143300","COW C NR LYONS, KS",38.30951667,-98.192575,"11030011",1962-10-01,2021-09-30,59,"Rice",9,3.90772483207381,0.0000205003076011435,"-",2.33093866550131,0.984699446282506,"+",0.339802159310766,0.383381755631994,"-",0.58988768326444,0.0209635299462089,"-",0.100336026485373,"0.99193653653355","+",0.0877822244886145,0.693759803670279,"-",0.0559257720532305,0.790956369333213,"+",0.977536231884058,0.000705586917836171,"+"
"19","07144200","L ARKANSAS R AT VALLEY CENTER, KS",37.8321722,-97.3885694,"11030012",1962-10-01,2021-09-30,59,"Sedgwick",10,16.9221475336762,0.684907723963519,"-",9.86381904094994,0.742452059446334,"-",1.84059502959998,0.754644051176415,"-",1.88850112495596,0.578811950664962,"+",0.565050538295791,"0.0908878010218178","+",0.59465377879384,0.0230762595689549,"-",0.396435852529227,0.203777701191523,"+",0.964859437751004,0.394236502570794,"+"
"20","07144300","ARKANSAS R AT WICHITA, KS",37.6433222,-97.3351944,"11030013",1962-10-01,2021-09-30,59,"Sedgwick",11,58.0495355489225,0.0117772128361174,"-",27.5284972008386,0.318199207663653,"-",10.7887185581168,0.00658818767258846,"-",12.1436576887414,0.00281645093065403,"-",3.67082069965592,"0.00271594811706663","+",3.53960582615381,0.359253798468885,"+",2.57683304143998,0.150517292914252,"+",0.939024390243902,0.0560948958482951,"+"
"23","07146500","ARKANSAS R AT ARKANSAS CITY, KS",37.0375083,-97.0392194,"11030013",1962-10-01,2021-09-30,59,"Cowley",12,125.726798944983,0.0830966638605022,"+",59.3629002258208,0.0272985250770676,"+",27.1275390516428,0.986484126982162,"+",28.1695164044268,0.532492074030861,"+",9.40510349593913,"0.00000541490752278292","+",10.562183785243,0.0311279420531225,"+",8.14675676947564,0.0000400471447274374,"+",0.915990990990991,0.722911842731139,"+"
"28","07145500","NINNESCAH R NR PECK, KS",37.45696389,-97.4235556,"11030016",1962-10-01,2021-09-30,59,"Sumner",13,31.4316997362459,0.487268373059043,"+",14.4038414021396,0.0428983145663296,"+",6.17307256081225,0.297469134358535,"+",7.10115552780607,0.0354817334474498,"+",1.65988298243557,"0.0000000000690283194006492","+",2.26364871794188,0.000157170288016448,"+",1.59990183342152,0.000000103019843315046,"+",0.927981981981982,1,"+"
"29","07147070","WHITEWATER R AT TOWANDA, KS",37.79602778,-97.0143222,"11030017",1962-10-01,2021-09-30,59,"Butler",14,7.22079588535378,0.00000683448269282718,"+",6.09618162996129,0.000000268497700841385,"+",1.0194064779323,0.00113711809122218,"+",1.04550605819165,0.000000000616989077829608,"+",0.247019988763722,"0.0000000000152259980410285","+",0.222853582814644,0.0000000000164970598071265,"+",0.13025749440246,0.000000149603786955125,"+",0.969137254901961,0.262323635502191,"+"
"30","07147800","WALNUT R AT WINFIELD, KS",37.22440278,-96.9956889,"11030018",1962-10-01,2021-09-30,59,"Cowley",15,65.6950841334148,0.00000000000531080904977569,"+",30.6794067248999,0.00000000129974799622063,"+",6.45624102690455,0.00374527571438794,"+",8.16859650606728,0.0000000000000133654255638983,"+",1.54263438220752,"0.00000000000546929760633129","+",1.3025749440246,0.000000311330219237633,"+",0.877822244886145,0.00000000220766987671048,"+",0.980172413793103,0.855110366110049,"+"
