"","site_no","station_nm","dec_lat_va","dec_long_va","huc_cd","startDate","endDate","yearsAvail","id","Q10","p_Q10","tau_Q10","MeanQ","p_MeanQ","tau_MeanQ","Q50","p_Q50","tau_Q50","Baseflow","p_Baseflow","tau_Baseflow","MAM7","p_MAM7","tau_MAM7","Q90","p_Q90","tau_Q90","Q95","p_Q95","tau_Q95"
"1","11502500","WILLIAMSON RIVER BLW SPRAGUE RIVER NR CHILOQUIN,OR",42.564375,-121.8797139,"18010201",1917-10-01,1940-09-30,23,1,1450,1,"-",835.350811949919,0.597354194826704,"-",630,0.019916777288009,"-",748.082398307293,0.204904423719751,"-",468.428571428571,0.139144174822425,"-",492.6,0.00470002828466833,"-",465,0.00702308764188316,"-"
"3","11501000","SPRAGUE RIVER NEAR CHILOQUIN, OR",42.58430556,-121.8483333,"18010202",1921-03-01,1940-09-30,19,2,969.4,0.845574385382534,"+",440.147190383003,0.721176307474874,"-",275,0.153205400986193,"-",339.70443137244,0.537603236348886,"-",151.121428571429,0.0554643196080902,"-",177,0.023068628828586,"-",153,0.0686986665753597,"-"
"31","11504000","WOOD RIVER AT FORT KLAMATH, OR",42.70115278,-121.9896778,"18010203",1913-10-01,1936-09-29,23,3,292,0.000829246298065005,"-",214.844491783323,0.000652031322535211,"-",211.5,0.000236200728592659,"-",207.062606133944,0.000370143827994695,"-",158.666666666667,0.000561945954178071,"-",145,0.00213845947580451,"-",126,0.00122595041942602,"-"
"4","11507501","LINK RIVER BELOW KENO CANAL, NEAR KLAMATH FALLS,OR",42.2193114,-121.7902816,"18010204",1904-05-15,1940-09-30,36,4,3050,4.42402539031666e-07,"-",1608.34196267309,4.25202731195197e-08,"-",1360,3.64687233904573e-08,"-",1359.05119121617,2.2495713746641e-10,"-",598.316602316602,1.59946507864521e-10,"-",522,2.66686753171856e-09,"-",292.350000000001,7.96203064348553e-11,"-"
"5","11509500","KLAMATH RIVER AT KENO, OR",42.13319946,-121.9622313,"18010206",1904-06-01,1940-09-30,36,5,3060,0.0130137347685832,"-",1558.88136720309,0.00336153218805778,"-",1270,0.00117842275436944,"-",1317.10506675937,6.22524410751429e-05,"-",684.467532467532,0.013086088114277,"-",394,0.0120521375803155,"-",222.800000000001,0.0119840277829242,"-"
"6","11510500","KLAMATH R AT SPENCER BRIDGE NR KENO,OREG.",42.13319849,-122.034456,"18010206",1913-10-01,1931-09-29,18,6,2800,0.00565647151236171,"-",1508.88837110782,0.000652031322535211,"-",1320,0.000471451810306899,"-",1354.69036257169,0.000111762221588975,"-",623.042857142857,0.012266061386213,"-",559.999999999999,0.0188533773670192,"-",324,0.00447096303695419,"-"
"7","11512500","KLAMATH R BL FALL C NR COPCO CA",41.97208569,-122.3691862,"18010206",1923-10-01,1940-09-30,17,7,2220,0.773080066312313,"+",1390.75700483092,0.901649504895373,"-",1370,0.59230128143299,"-",520.399785383811,0.303096532467549,"-",664.100840336134,0.536648236300515,"-",390,0.14937517875499,"-",288,0.0912390290553886,"-"
"8","11517000","SHASTA R NR  MONTAGUE CA",41.70903196,-122.5380787,"18010207",1911-10-01,1933-09-29,22,8,280,0.0150836225946948,"-",144.102867729982,0.00578179847845661,"-",135,0.0528611484384968,"-",111.257130075355,0.00447905438254336,"-",15.7991596638655,0.409227366048541,"-",16,0.0167933103445939,"-",12,0.173302304550783,"-"
"9","11530500","KLAMATH R NR KLAMATH CA",41.5109543,-123.9795164,"18010209",1910-10-01,1926-09-29,16,9,33700,0.104705784808487,"-",14715.2164983741,0.137347096984784,"-",9100,0.0376380023275152,"-",11136.7489995007,0.0528715926149876,"-",2421.07142857143,0.0381594387768593,"-",2600,0.0423430653625325,"-",2300,0.0305200784930743,"-"
"10","11522500","SALMON R A SOMES BAR CA",41.3765154,-123.4770026,"18010210",1911-10-01,1940-09-30,29,10,4040,0.967142330906372,"-",1565.30165888227,0.536648236300515,"-",900,0.364402748202945,"-",1115.44619010564,0.650463122950713,"-",134.302521008403,0.283756801782319,"-",146,0.117196619983915,"-",118,0.117196619983915,"-"
"11","11530000","TRINITY R A HOOPA CA",41.049852,-123.673668,"18010211",1911-10-01,1940-09-30,29,11,11000,0.541049008790059,"+",4701.80492942911,0.582950557761892,"+",2470,0.951352130954404,"-",3115.01313504463,0.854777098065548,"+",310.450549450549,0.669334014464053,"-",366,0.328092163832295,"-",295,0.502158251500749,"-"
"12","11525500","TRINITY R A LEWISTON CA",40.7247222,-122.801111,"18010211",1911-10-01,1940-09-30,29,12,3950,0.487651926831611,"-",1454.55668837912,0.560903574193679,"-",585,0.430710018939204,"-",964.122875425962,0.487651926831611,"-",92.3940886699507,0.377809641570003,"-",112,0.0466565364592549,"-",82,0.0776652694514968,"-"
