"","site_no","station_nm","dec_lat_va","dec_long_va","huc_cd","startDate","endDate","yearsAvail","id","Q10","p_Q10","tau_Q10","MeanQ","p_MeanQ","tau_MeanQ","Q50","p_Q50","tau_Q50","Baseflow","p_Baseflow","tau_Baseflow","MAM7","p_MAM7","tau_MAM7","Q90","p_Q90","tau_Q90","Q95","p_Q95","tau_Q95"
"1","11502500","WILLIAMSON RIVER BLW SPRAGUE RIVER NR CHILOQUIN,OR",42.564375,-121.8797139,"18010201",1961-10-01,2021-09-30,60,1,1950,0.000889428712763688,"-",1008.13697800906,4.85000069119619e-05,"-",713,3.87639827426328e-06,"-",895.606878549589,0.000233174985394111,"-",459.585714285714,0.0331492220736817,"-",476,0.023149513232032,"-",434,0.0532446257245955,"-"
"3","11493500","WILLIAMSON RIVER NEAR KLAMATH AGENCY, OR",42.74013528,-121.8344618,"18010201",1961-10-01,2021-09-30,60,2,386,2.92346473284885e-08,"-",122.446375770473,1.86629969454438e-08,"-",26,6.95337619775431e-08,"-",111.001150493365,5.39903301230897e-07,"-",1.58087719298246,0.244253836464646,"-",0,0.0825075051977277,"-",0,0.216466129212829,"-"
"31","11501000","SPRAGUE RIVER NEAR CHILOQUIN, OR",42.58430556,-121.8483333,"18010202",1961-10-01,2021-09-30,60,3,1320,0.0223809223038739,"-",572.748415969208,0.00234799871838428,"-",342,5.92019750369939e-06,"-",454.90110923589,0.00843645437205673,"-",159.184285714286,6.713850277469e-05,"-",173,4.70296160129957e-05,"-",138,6.68333089954327e-05,"-"
"5","11507500","LINK RIVER AT KLAMATH FALLS, OR",42.22347795,-121.7941708,"18010204",1961-10-01,2021-09-30,60,4,2400,0.00671130086375061,"-",1233.38663797,0.0185998366485941,"-",920,0.507109626840116,"-",875.63450098519,0.304492789766597,"-",272.022619047619,3.68294879957402e-05,"+",400,0.00453390582841918,"+",275,0.000257481437510052,"+"
"6","11509500","KLAMATH RIVER AT KENO, OR",42.13319946,-121.9622313,"18010206",1961-10-01,2021-09-30,60,5,2800,0.000221387816275112,"-",1419.03893562083,3.89260097162307e-05,"-",922,3.75731277248054e-06,"-",1127.4238441491,0.00050900773660115,"-",341.373809523809,6.50459131573075e-06,"+",409,3.28727284510468e-05,"+",297,6.49616017106416e-06,"+"
"7","11510700","KLAMATH RIVER BLW JOHN C.BOYLE PWRPLNT, NR KENO,OR",42.0845877,-122.0733453,"18010206",1961-10-01,2021-09-30,60,6,3130,0.000690996614579269,"-",1658.30082523355,0.000102685044154858,"-",1180,2.92202384345922e-06,"-",1307.57243652552,0.00116888717688265,"-",553.469047619048,0.00500980710940038,"+",646,0.000473245281976714,"+",539,6.69857724519143e-05,"+"
"8","11516530","KLAMATH R BL IRON GATE DAM CA",41.92791865,-122.4441882,"18010206",1961-10-01,2021-09-30,60,7,3630,0.000532923886405505,"-",1924.0391336286,6.02788006865482e-05,"-",1330,5.2099898497277e-08,"-",1670.40970898236,0.000462677365306599,"-",785.621428571429,3.53439790822334e-06,"+",763,0.0028270493381625,"+",722,9.69595794669377e-05,"+"
"9","11520500","KLAMATH R NR SEIAD VALLEY CA",41.8537379,-123.2322733,"18010206",1961-10-01,2021-09-30,60,8,7410,0.00752728279454459,"-",3494.52310863912,0.000257630674506931,"-",2200,3.024826146607e-05,"-",2838.68266080621,0.00435910392409013,"-",1026.23571428571,0.873315765691651,"+",1120,0.0393116973297749,"-",1000,0.364653922526034,"-"
"10","11517500","SHASTA R NR YREKA CA",41.8229179,-122.5955813,"18010207",1961-10-01,2021-09-30,60,9,332,0.00283417134708841,"-",178.874286413284,0.00314721656347367,"-",150,0.000791056860232748,"-",137.336193375341,0.0306091122880856,"-",22.6074523809524,0.813418281423222,"+",27,0.474811721574937,"-",19,0.641215758436733,"+"
"11","11519500","SCOTT R NR FORT JONES CA",41.64069017,-123.015037,"18010208",1961-10-01,2021-09-30,60,10,1480,0.102454130485143,"-",595.922387131481,0.0101609012539793,"-",269,0.00341427887172645,"-",381.047325570783,0.118148504052977,"-",23.2165,2.47288028192388e-07,"-",21,2.91174964192418e-07,"-",10,3.23160894983769e-07,"-"
